#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6422850    1.9469E+00    1.5086E+00
   0.6445519    3.1350E+00    1.4427E+00
   0.6468037    4.4218E+00    1.4804E+00
   0.6490418    7.3249E-01    1.4391E+00
   0.6512671    9.0548E-01    1.3203E+00
   0.6534807    5.0515E-01    1.0686E+00
   0.6556836   -1.2337E-01    9.9097E-01
   0.6578768    5.4833E-01    9.5159E-01
   0.6600614    7.8566E-01    9.5534E-01
   0.6622381   -9.4502E-01    9.1702E-01
   0.6644081    1.0181E+00    9.2838E-01
   0.6665722   -1.5023E+00    8.5292E-01
   0.6687313    1.3928E+00    8.0950E-01
   0.6708863    1.5920E+00    7.8251E-01
   0.6730380    2.0980E-01    7.5306E-01
   0.6751873    1.7626E+00    7.1821E-01
   0.6773350    2.7752E-01    7.2471E-01
   0.6794819    6.9017E-01    6.8113E-01
   0.6816288   -1.2177E+00    6.8533E-01
   0.6837763   -6.5828E-01    6.9175E-01
   0.6859254   -8.9027E-02    6.2863E-01
   0.6880766    8.9500E-01    5.9048E-01
   0.6902307   -3.1703E-02    5.5379E-01
   0.6923883    1.3704E+00    5.1352E-01
   0.6945502    8.1882E-01    5.1384E-01
   0.6967170    1.1804E+00    4.5474E-01
   0.6988893    1.2154E+00    4.6211E-01
   0.7010677    7.7610E-01    4.1579E-01
   0.7032529    1.5672E+00    3.9960E-01
   0.7054453    1.4906E+00    3.8399E-01
   0.7076456    8.7288E-01    3.7876E-01
   0.7098543    1.3585E+00    3.3692E-01
   0.7120720    8.1369E-01    3.4496E-01
   0.7142991   -1.0174E-01    3.2773E-01
   0.7165362    1.3849E+00    3.3412E-01
   0.7187838    1.0603E+00    3.1444E-01
   0.7210422    1.3193E+00    2.9797E-01
   0.7233121    3.1936E-01    2.8069E-01
   0.7255937    3.9944E-01    2.8505E-01
   0.7278876    7.2996E-01    2.6110E-01
   0.7301942    8.8189E-03    2.5788E-01
   0.7325138    5.8686E-02    2.4123E-01
   0.7348469    9.9373E-02    2.3766E-01
   0.7371938    1.9865E-01    2.2354E-01
   0.7395548    3.7863E-01    2.2232E-01
   0.7419303    1.4104E-01    1.9980E-01
   0.7443207    1.8345E-02    2.0760E-01
   0.7467262    5.4869E-01    1.9029E-01
   0.7491472    1.6925E-01    1.9559E-01
   0.7515839    2.1406E-01    1.8241E-01
   0.7540367    2.1630E-01    2.0024E-01
   0.7565058   -1.4021E-02    2.2986E-01
   0.7589915    2.0587E-01    2.5448E-01
   0.7614941    2.6030E-01    2.2152E-01
   0.7640136   -1.1390E-01    2.0273E-01
   0.7665504    1.2516E-01    1.6756E-01
   0.7691047    4.9900E-02    1.6395E-01
   0.7716767    1.6405E-01    1.5142E-01
   0.7742665    6.1206E-01    1.4818E-01
   0.7768744    4.4542E-02    1.4146E-01
   0.7795005    2.2882E-01    1.5077E-01
   0.7821450    4.6033E-01    1.4102E-01
   0.7848080    2.5636E-01    1.4176E-01
   0.7874897    3.5684E-01    1.3608E-01
   0.7901902    1.8053E-01    1.3930E-01
   0.7929097    2.2085E-01    1.3889E-01
   0.7956482    3.1627E-01    1.3784E-01
   0.7984058    1.7636E-01    1.2947E-01
   0.8011826    1.5981E-01    1.2854E-01
