#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6391729    3.2389E-01    4.1318E-01
   0.6414618   -9.2955E-02    3.7965E-01
   0.6437343   -1.8920E-01    3.8391E-01
   0.6459914    3.0498E-01    3.6394E-01
   0.6482344    1.6711E-02    3.7426E-01
   0.6504642    3.8165E-02    3.6481E-01
   0.6526819    2.7516E-01    3.5316E-01
   0.6548885    4.3377E-03    3.2241E-01
   0.6570851    5.6147E-01    2.9224E-01
   0.6592727    3.1550E-01    2.5541E-01
   0.6614522    3.4838E-03    2.7736E-01
   0.6636245    1.8833E-01    2.8011E-01
   0.6657906   -1.5433E-01    2.6753E-01
   0.6679514   -8.3188E-02    2.6668E-01
   0.6701078    2.8752E-01    2.5050E-01
   0.6722606   -3.0852E-03    2.4335E-01
   0.6744107   -1.2292E-02    2.4248E-01
   0.6765589    1.7678E-01    2.1715E-01
   0.6787060   -7.2930E-02    2.1744E-01
   0.6808527   -4.9874E-03    2.0848E-01
   0.6830000    4.3246E-01    2.0193E-01
   0.6851484    1.9556E-01    1.9182E-01
   0.6872987    9.7771E-03    1.9675E-01
   0.6894517    3.6005E-01    1.8985E-01
   0.6916080    4.4934E-01    1.8481E-01
   0.6937683    3.5559E-01    1.6390E-01
   0.6959332    3.1146E-01    1.5800E-01
   0.6981034    3.8209E-01    1.4682E-01
   0.7002795    1.2920E-01    1.4229E-01
   0.7024622   -8.4903E-02    1.3686E-01
   0.7046520    3.4048E-01    1.3620E-01
   0.7068493    1.8149E-01    1.2671E-01
   0.7090549    2.7127E-01    1.2477E-01
   0.7112693    2.9385E-01    1.1677E-01
   0.7134930   -2.0010E-01    1.1768E-01
   0.7157264    1.2124E-01    1.0732E-01
   0.7179701    1.8937E-01    1.0913E-01
   0.7202246    2.2681E-01    1.0172E-01
   0.7224903    1.8974E-01    1.0031E-01
   0.7247676    1.7845E-01    9.3550E-02
   0.7270571    1.4766E-01    9.3738E-02
   0.7293590    2.5534E-01    8.6681E-02
   0.7316739   -1.7535E-02    8.9333E-02
   0.7340020    2.6601E-02    8.0616E-02
   0.7363439   -5.2750E-02    7.9089E-02
   0.7386997    2.2770E-02    7.1516E-02
   0.7410700    6.9350E-02    7.4747E-02
   0.7434549   -6.3223E-02    6.9357E-02
   0.7458550    3.2686E-02    7.1660E-02
   0.7482703    3.1550E-02    6.4514E-02
   0.7507014   -1.6243E-02    6.6109E-02
   0.7531483   -4.9632E-02    6.2371E-02
   0.7556115    1.3232E-01    6.2442E-02
   0.7580912   -8.5411E-02    6.6634E-02
   0.7605876    2.2826E-02    8.3228E-02
   0.7631009    1.2030E-01    8.3917E-02
   0.7656315    1.0350E-01    8.0952E-02
   0.7681794   -1.5352E-01    6.8643E-02
   0.7707450    8.7216E-02    5.4772E-02
   0.7733283   -3.8699E-02    5.1011E-02
   0.7759297    1.7124E-01    5.2219E-02
   0.7785492    6.8324E-02    4.7589E-02
   0.7811870   -3.4802E-02    4.8633E-02
   0.7838433    1.9759E-02    4.5169E-02
   0.7865183    1.2192E-01    4.7548E-02
   0.7892120    9.3872E-02    4.4284E-02
   0.7919245   -4.6840E-02    4.6169E-02
   0.7946561   -2.7250E-02    4.5201E-02
   0.7974068   -6.6758E-02    4.8263E-02
   0.8001767    1.9868E-02    4.4929E-02
   0.8029659    7.3483E-02    4.5140E-02
   0.8057744    1.4263E-01    4.3113E-02
   0.8086023    1.0838E-02    4.4871E-02
   0.8114498    6.1475E-02    4.0670E-02
   0.8143168   -3.8376E-02    4.1819E-02
   0.8172035    5.2320E-02    3.7380E-02
   0.8201097   -1.6511E-04    3.6033E-02
   0.8230357    8.0057E-03    3.6632E-02
   0.8259813    8.3534E-03    3.6452E-02
   0.8289466    3.3867E-02    3.4995E-02
   0.8319316   -3.5450E-02    3.4724E-02
   0.8349364    3.9829E-02    3.4348E-02
   0.8379608    4.4651E-02    3.7000E-02
   0.8410050    5.8240E-02    3.6237E-02
   0.8440688    6.5242E-02    3.4991E-02
   0.8471523    1.6915E-02    3.3045E-02
   0.8502554    7.0243E-02    3.0682E-02
   0.8533781    5.2376E-02    2.8744E-02
   0.8565203    3.1404E-03    2.8172E-02
   0.8596820    3.4133E-02    2.6695E-02
   0.8628631    5.5835E-02    2.7975E-02
   0.8660637    5.6240E-02    2.6430E-02
   0.8692834    1.8167E-02    2.6796E-02
   0.8725225    1.5851E-02    2.5372E-02
   0.8757806    4.6660E-02    2.6488E-02
   0.8790578    3.9488E-02    2.5694E-02
   0.8823540    2.4880E-02    2.6332E-02
   0.8856691    3.6322E-03    2.5666E-02
   0.8890030    7.9449E-02    2.6947E-02
   0.8923555   -1.4136E-02    2.5930E-02
   0.8957266    8.9907E-02    2.5757E-02
   0.8991162    4.8494E-02    2.2648E-02
   0.9025241    2.4536E-02    2.3717E-02
   0.9059502    1.1731E-01    2.3630E-02
   0.9093944    6.2610E-02    2.3866E-02
   0.9128566    8.8474E-02    2.3241E-02
   0.9163366    1.1320E-01    2.3243E-02
   0.9198343    8.9735E-02    2.0846E-02
   0.9233495    1.0283E-01    2.0837E-02
   0.9268822    7.9865E-02    2.0352E-02
   0.9304321    5.6189E-02    2.1817E-02
   0.9339991    8.1990E-02    2.1467E-02
   0.9375831    3.6457E-02    2.2377E-02
   0.9411839    3.6357E-02    2.1508E-02
   0.9448013    1.1928E-01    2.1166E-02
   0.9484352    1.2339E-01    1.9776E-02
   0.9520855    1.1149E-01    1.8991E-02
   0.9557518    1.4432E-01    1.7945E-02
   0.9594342    1.3444E-01    1.8749E-02
   0.9631323    1.3904E-01    1.8029E-02
   0.9668460    1.7375E-01    1.8242E-02
   0.9705752    1.9195E-01    1.7502E-02
   0.9743197    1.9726E-01    1.6512E-02
   0.9780793    2.3245E-01    1.6064E-02
   0.9818537    1.9992E-01    1.6102E-02
   0.9856428    2.2730E-01    1.5937E-02
   0.9894465    2.3853E-01    1.6353E-02
   0.9932644    2.2324E-01    1.6519E-02
   0.9970966    2.5020E-01    1.6446E-02
