DATA_KEY	SOURCE_KEY	DATA_FILE	OBSERVATION_DATE	OBSERVATION_TIME	JULIAN_DATE	PROGRAM_NUMBER	PROGRAM_PI	OBSERVER	RESOLUTION	AIRMASS	REDUCTION_SPEXTOOL_VERSION	REDUCTION_PERSON	REDUCTION_DATE	QUALITY_FLAG	MEDIAN_SNR	SPEX_TYPE	PUBLISHED	DATA_REFERENCE	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPTICAL_REFERENCE	NIR_TYPE	NIR_REFERENCE	LIT_TYPE	LIT_TYPE_REF	LUMINOSITY_CLASS	METALLICITY_CLASS	OBJECT_TYPE	J_2MASS	J_2MASS_E	H_2MASS	H_2MASS_E	KS_2MASS	KS_2MASS_E	JK_SPT	DJK	COLOR_EXTREMITY	PARALLAX	PARALLAX_E	PARALLEX _REF	DISTANCE_PHOT	DISTANCE_PHOT_E	DISTANCE_PHOT_METHOD	DISTANCE	DISTANCE_E	MU_RA	MU_RA_E	MU_DEC	MU_DEC_E	MU_REF	GRAVITY_CLASS_OPTICAL	GRAVITY_CLASS_OPTICAL_REF	GRAVITY_CLASS_NIR	GRAVITY_CLASS_NIR_REF	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	BINARY_REF	SBINARY	SBINARY_REF	COMPANION	COMPANION_NAME	COMPANION_REF	RA_SDSS	RA_SDSS_E	DEC_SDSS	DEC_SDSS_E	DESIGNATION_SDSS	EPOCH_SDSS	R_SDSS	R_SDSS_E	I_SDSS	I_SDSS_E	Z_SDSS	Z_SDSS_E	RA_2MASS	RA_2MASS_E	DEC_2MASS	DEC_2MASS_E	DESIGNATION_2MASS	EPOCH_2MASS	RA_WISE	RA_WISE_E	DEC_WISE	DEC_WISE_E	DESIGNATION_WISE	EPOCH_WISE	W1_WISE	W1_WISE_E	W2_WISE	W2_WISE_E	W3_WISE	W3_WISE_E	W4_WISE	W4_WISE_E	RA_UKIDSS	RA_UKIDSS_E	DEC_UKIDSS	DEC_UKIDSS_E	DESIGNATION_UKIDSS	EPOCH_UKIDSS	Y_UKIDSS	Y_UKIDSS_E	J_UKIDSS	J_UKIDSS_E	H_UKIDSS	H_UKIDSS_E	K_UKIDSS	K_UKIDSS_E	RA_SSSPM	RA_SSSPM_E	DEC_SSSPM	DEC_SSSPM_E	DESIGNATION_SSSPM	EPOCH_SSSPM	B_SSSPM	B_SSSPM_E	R_SSSPM	R_SSSPM_E	I_SSSPM	I_SSSPM_E	MU_RA_SSSPM	MU_RA_SSSPM_E	MU_DEC_SSSPM	MU_DEC_SSSPM_E	CH1_IRAC	CH1_IRAC_E	CH2_IRAC	CH2_IRAC_E	CH3_IRAC	CH3_IRAC_E	CH4_IRAC	CH4_IRAC_E	U_ALT	V_ALT	B_ALT	R_ALT	I_ALT	J_ALT	H_ALT	K_ALT	ALT_PHOT_REF
10209	10001	10209_10001.fits	20040724	--	53210.5	--	--	--	120	--	--	Mercado	--	OK	239	T4.5	Y	2006ApJ...637.1067B	SDSS J000013.54+255418.6	J00001354+2554180	0.056416664	25.904999	2004AJ....127.3553K	--	--	T4.5	2006ApJ...637.1067B	T4.5	--	--	--	VLM	15.063	0.041	14.731	0.074	14.836	0.12	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11735	10002	11735_10002.fits	20121023	06 57 53.429747	56223.79	--	--	--	120	1.256	3.4	--	--	POOR	14	L2.0::	N	BUR-NP	2MASS J0000286-124515	J00002867-1245153	0.11945834	-12.75425	2007AJ....133..439C	M8.5	2007AJ....133..439C	--	--	M8.5	--	--	--	VLM	13.2	0.026	12.445	0.023	11.973	0.023	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11855	10002	11855_10002.fits	20130814	14 07 20.791417	56519.088	--	--	burgasser	120	1.265	3.4	--	--	OK	245	M9.2	Y	2014ApJ...794..143B	2MASS J0000286-124515	J00002867-1245153	0.11945834	-12.75425	2007AJ....133..439C	M8.5	2007AJ....133..439C	--	--	M8.5	--	--	--	VLM	13.2	0.026	12.445	0.023	11.973	0.023	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10069	10003	10069_10003.fits	20030903	--	52885.5	--	--	--	75	--	--	--	--	OK	25	L3.5::	N	CRU-NP	SDSS J000112.18+153535.5	J00011218+1535355	0.30075002	15.593194	2004AJ....127.3553K	--	--	L4 beta	2015ApJS..219...33G	L4 beta	--	--	--	VLM	15.522	0.062	14.505	0.053	13.71	0.044	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	beta	--	INT-G	--	AB Doradus	2015ApJS..219...33G	young	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10144	10004	10144_10004.fits	20030919	--	52901.5	--	--	--	120	--	--	Tomoki	--	OK	0	M6.3	Y	2004AJ....127.2856B	2MASS J00013044+1010146	J00013044+1010146	0.37683335	10.170723	2004AJ....127.2856B	--	--	M7	2004AJ....127.2856B	M7	--	--	--	VLM	15.826	0.077	15.132	0.1	15.205	0.154	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11982	10005	11982_10005.fits	20130826	09 46 32.478766	56530.907	--	--	--	75	1.375	3.4	--	--	OK	70	L3.3:	Y	2014ApJ...787..126L	WISE J000131.93-084126.9	J00013193-084126.9	0.38304168	-8.6905556	2014ApJ...787..126L	--	--	L1 pec (blue)	2014ApJ...787..126L	L1 pec (blue)	--	--	--	VLM	15.71	0.05	15.71	0.05	15.71	0.05	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	blue	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11745	10006	11745_10006.fits	20121027	07 50 10.704931	56227.827	--	--	burgasser	120	1.149	3.4	--	--	OK	75	M7.4	N	DHI-NP	SDSS J00015431-09430070	J00015431-09430070	0.47629172	-9.7168608	DHI-NP	--	--	--	--	--	--	--	--	VLM	14.791	0.036	14.168	0.041	13.817	0.056	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
11746	10007	11746_10007.fits	20121027	07 39 41.903182	56227.819	--	--	burgasser	120	1.152	3.4	--	--	OK	139	M6.1	N	DHI-NP	SDSS J00015458-09425809	J00015458-09425809	0.47741666	-9.7161112	DHI-NP	--	--	--	--	--	--	--	--	VLM	14.022	0.041	13.441	0.045	13.143	0.045	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10421	10008	10421_10008.fits	20050813	--	53595.5	--	--	--	120	--	--	--	--	POOR	25	L5.9	Y	2006AJ....131.2722C	SDSS J000250.98+245413.8	J00025097+2454141	0.71237504	24.903915	2006AJ....131.2722C	--	--	L5.5	2006AJ....131.2722C	L5.5	--	--	--	VLM	17.165	0.224	16.06	0.191	15.656	0.217	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10878	10009	10878_10009.fits	20071112	07 51 54.082764	54416.828	--	--	"cruz, sweet"	120	1.556	3.4	--	--	OK	313	M8.2	N	CRU-NP	2MASS J00034248-2822449	J00034248-2822449	0.92699999	-28.379139	--	--	--	--	--	--	--	--	--	VLM	13.068	0.024	12.376	0.028	11.972	0.025	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	young companion	--	--	--	--	Y	HD 225118	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
