age,mass,luminosity,temperature,gravity,radius
0.6,0.003,-6.928,313.0,3.779,0.1169
0.6,0.004,-6.686,358.0,3.897,0.1178
0.6,0.005,-6.495,399.0,3.992,0.118
0.6,0.006,-6.341,437.0,4.072,0.118
0.6,0.006999999999999999,-6.202999999999999,473.0,4.141,0.1177
0.6,0.008,-6.075,510.0,4.202,0.1173
0.6,0.009000000000000001,-5.952000000000001,549.0,4.256,0.1169
0.6,0.01,-5.8,599.0,4.302,0.1169
0.6,0.011000000000000001,-5.38,747.0,4.3069999999999995,0.1219
0.6,0.012,-5.246,803.0,4.336,0.1231
0.6,0.013000000000000001,-5.4510000000000005,731.0,4.412,0.1174
0.6,0.013999999999999999,-5.4670000000000005,729.0,4.458,0.1156
0.6,0.015,-5.431,747.0,4.493,0.1148
0.6,0.016,-5.391,767.0,4.526,0.1142
0.6,0.017,-5.341,791.0,4.5569999999999995,0.1137
0.6,0.018000000000000002,-5.287000000000001,817.0,4.585,0.1132
0.6,0.019,-5.2410000000000005,841.0,4.612,0.1127
0.6,0.02,-5.2,863.0,4.638,0.1122
0.6,0.022000000000000002,-5.129,903.0,4.687,0.1114
0.6,0.024,-5.058,944.0,4.731,0.1105
0.6,0.026000000000000002,-4.976,994.0,4.773,0.1096
0.6,0.027999999999999997,-4.891,1047.0,4.811,0.1089
0.6,0.03,-4.822,1094.0,4.8469999999999995,0.1081
0.6,0.033,-4.715,1169.0,4.897,0.107
0.6,0.035,-4.643,1222.0,4.927,0.1064
0.6,0.038,-4.55,1293.0,4.968999999999999,0.1057
0.6,0.04,-4.495,1337.0,4.995,0.1053
0.6,0.043,-4.394,1421.0,5.031000000000001,0.1047
0.6,0.045,-4.332,1475.0,5.053999999999999,0.1044
0.6,0.048,-4.258,1543.0,5.085,0.104
0.6,0.05,-4.216,1582.0,5.105,0.1037
0.6,0.053,-4.154,1644.0,5.1339999999999995,0.1033
0.6,0.055,-4.112,1685.0,5.152,0.1031
0.6,0.057999999999999996,-4.021,1778.0,5.176,0.1029
0.6,0.06,-3.9789999999999996,1821.0,5.191,0.1029
0.6,0.063,-3.9130000000000003,1891.0,5.212000000000001,0.1029
0.6,0.064,-3.855,1955.0,5.218,0.103
0.6,0.065,-3.866,1941.0,5.224,0.1031
0.6,0.066,-3.801,2014.0,5.23,0.1032
0.6,0.067,-3.778,2039.0,5.234,0.1035
0.6,0.068,-3.7569999999999997,2062.0,5.239,0.1036
0.6,0.069,-3.73,2091.0,5.242999999999999,0.1039
0.6,0.07,-3.698,2128.0,5.247999999999999,0.1041
0.6,0.071,-3.6710000000000003,2159.0,5.251,0.1044
0.6,0.07200000000000001,-3.6460000000000004,2186.0,5.255,0.1047
0.6,0.073,-3.623,2212.0,5.257999999999999,0.105
0.6,0.07400000000000001,-3.5989999999999998,2239.0,5.261,0.1054
0.6,0.075,-3.576,2265.0,5.263999999999999,0.1058
0.6,0.077,-3.5260000000000002,2319.0,5.266,0.1069
0.6,0.08,-3.4619999999999997,2390.0,5.271,0.1083
0.6,0.085,-3.347,2515.0,5.272,0.1116
