#LAM	FLX
1.43000	0.000600000
1.43100	0.000700000
1.43200	0.000100000
1.43300	0.000700000
1.43400	0.000900000
1.43500	0.000300000
1.43600	0.000500000
1.43700	0.00100000
1.43800	0.00100000
1.43900	0.000900000
1.44000	0.00140000
1.44100	0.00120000
1.44200	0.00150000
1.44300	0.00160000
1.44400	0.00200000
1.44500	0.00240000
1.44600	0.00250000
1.44700	0.00320000
1.44800	0.00400000
1.44900	0.00490000
1.45000	0.00600000
1.45100	0.00710000
1.45200	0.00910000
1.45300	0.0114000
1.45400	0.0150000
1.45500	0.0187000
1.45600	0.0232000
1.45700	0.0287000
1.45800	0.0358000
1.45900	0.0437000
1.46000	0.0530000
1.46100	0.0625000
1.46200	0.0743000
1.46300	0.0867000
1.46400	0.0994000
1.46500	0.114400
1.46600	0.130600
1.46700	0.149000
1.46800	0.172100
1.46900	0.201200
1.47000	0.234400
1.47100	0.275000
1.47200	0.323900
1.47300	0.381400
1.47400	0.449000
1.47500	0.524300
1.47600	0.599900
1.47700	0.669200
1.47800	0.730200
1.47900	0.777800
1.48000	0.809200
1.48100	0.824600
1.48200	0.828100
1.48300	0.824100
1.48400	0.817100
1.48500	0.809100
1.48600	0.802500
1.48700	0.798100
1.48800	0.796500
1.48900	0.796600
1.49000	0.800600
1.49100	0.806000
1.49200	0.811800
1.49300	0.817600
1.49400	0.823600
1.49500	0.828300
1.49600	0.831200
1.49700	0.832800
1.49800	0.832700
1.49900	0.831000
1.50000	0.827300
1.50100	0.823000
1.50200	0.818500
1.50300	0.813600
1.50400	0.808800
1.50500	0.804700
1.50600	0.800500
1.50700	0.797400
1.50800	0.795700
1.50900	0.795200
1.51000	0.794700
1.51100	0.796500
1.51200	0.798800
1.51300	0.802500
1.51400	0.806000
1.51500	0.809600
1.51600	0.813800
1.51700	0.818300
1.51800	0.822800
1.51900	0.827100
1.52000	0.831000
1.52100	0.834700
1.52200	0.838200
1.52300	0.841400
1.52400	0.843900
1.52500	0.845800
1.52600	0.847600
1.52700	0.848400
1.52800	0.848600
1.52900	0.847900
1.53000	0.846800
1.53100	0.845600
1.53200	0.843900
1.53300	0.841900
1.53400	0.840100
1.53500	0.837600
1.53600	0.836000
1.53700	0.834300
1.53800	0.833400
1.53900	0.832100
1.54000	0.832900
1.54100	0.833300
1.54200	0.834700
1.54300	0.836400
1.54400	0.839200
1.54500	0.843000
1.54600	0.846400
1.54700	0.850000
1.54800	0.854100
1.54900	0.858100
1.55000	0.861800
1.55100	0.865200
1.55200	0.868100
1.55300	0.869300
1.55400	0.870900
1.55500	0.871400
1.55600	0.870200
1.55700	0.868700
1.55800	0.867200
1.55900	0.865000
1.56000	0.861600
1.56100	0.858400
1.56200	0.855500
1.56300	0.851700
1.56400	0.849000
1.56500	0.846900
1.56600	0.844200
1.56700	0.843200
1.56800	0.842100
1.56900	0.841800
1.57000	0.842300
1.57100	0.843800
1.57200	0.845300
1.57300	0.846800
1.57400	0.849200
1.57500	0.850800
1.57600	0.853400
1.57700	0.855100
1.57800	0.857100
1.57900	0.858700
1.58000	0.859500
1.58100	0.859400
1.58200	0.859400
1.58300	0.858600
1.58400	0.858100
1.58500	0.856700
1.58600	0.855700
1.58700	0.854400
1.58800	0.853700
1.58900	0.852900
1.59000	0.851900
1.59100	0.852400
1.59200	0.852800
1.59300	0.854300
1.59400	0.856000
1.59500	0.858400
1.59600	0.861000
1.59700	0.863900
1.59800	0.866800
1.59900	0.869700
1.60000	0.872000
1.60100	0.874000
1.60200	0.874800
1.60300	0.876000
1.60400	0.875200
1.60500	0.872800
1.60600	0.870500
1.60700	0.865800
1.60800	0.861300
1.60900	0.855300
1.61000	0.850000
1.61100	0.844000
1.61200	0.837700
1.61300	0.832600
1.61400	0.827200
1.61500	0.823700
1.61600	0.820900
1.61700	0.819000
1.61800	0.818300
1.61900	0.818100
1.62000	0.818200
1.62100	0.818700
1.62200	0.817300
1.62300	0.812500
1.62400	0.801800
1.62500	0.786100
1.62600	0.760300
1.62700	0.724300
1.62800	0.678000
1.62900	0.623400
1.63000	0.560500
1.63100	0.493600
1.63200	0.426100
1.63300	0.359000
1.63400	0.299600
1.63500	0.249700
1.63600	0.206100
1.63700	0.168700
1.63800	0.138500
1.63900	0.112900
1.64000	0.0918000
1.64100	0.0755000
1.64200	0.0627000
1.64300	0.0519000
1.64400	0.0436000
1.64500	0.0366000
1.64600	0.0306000
1.64700	0.0259000
1.64800	0.0214000
1.64900	0.0185000
1.65000	0.0155000
1.65100	0.0136000
1.65200	0.0119000
1.65300	0.00980000
1.65400	0.00820000
1.65500	0.00700000
1.65600	0.00640000
1.65700	0.00500000
1.65800	0.00490000
1.65900	0.00400000
1.66000	0.00420000
1.66100	0.00300000
1.66200	0.00280000
1.66300	0.00270000
1.66400	0.00210000
1.66500	0.00150000
1.66600	0.00160000
1.66700	0.00170000
1.66800	0.00140000
1.66900	0.00120000
1.67000	0.000700000
1.67100	0.00130000
1.67200	0.000900000
1.67300	0.00110000
1.67400	0.00100000
1.67500	0.000700000
1.67600	0.000500000
1.67700	0.000300000
1.67800	0.000500000
1.67900	0.000800000
1.68000	0.000500000
1.68100	0.000600000
1.68200	0.000400000
1.68300	0.000600000
1.68400	0.000500000
1.68500	0.000300000
1.68600	0.000600000
1.68700	0.000100000
1.68800	0.000400000
1.68900	0.000200000
1.69000	0.000600000
1.69100	0.000300000
1.69200	0.000300000
1.69300	0.000100000
1.69400	0.000400000
1.69500	0.000400000
1.69600	0.000200000
1.69700	0.000300000
1.69800	0.000200000
1.69900	0.00000
1.70000	0.00000
