#LAM	FLX
1.90000	0.000200000
1.90100	0.000200000
1.90200	0.000400000
1.90300	0.000200000
1.90400	0.000300000
1.90500	0.000400000
1.90600	0.000300000
1.90700	0.000400000
1.90800	0.000400000
1.90900	0.000400000
1.91000	0.000200000
1.91100	0.000200000
1.91200	0.000400000
1.91300	0.000400000
1.91400	0.000300000
1.91500	0.000400000
1.91600	0.000400000
1.91700	0.000400000
1.91800	0.000500000
1.91900	0.000500000
1.92000	0.000300000
1.92100	0.000400000
1.92200	0.000600000
1.92300	0.000700000
1.92400	0.000600000
1.92500	0.000600000
1.92600	0.000600000
1.92700	0.000700000
1.92800	0.000700000
1.92900	0.000900000
1.93000	0.00100000
1.93100	0.00110000
1.93200	0.00120000
1.93300	0.00130000
1.93400	0.00130000
1.93500	0.00140000
1.93600	0.00140000
1.93700	0.00170000
1.93800	0.00180000
1.93900	0.00190000
1.94000	0.00210000
1.94100	0.00220000
1.94200	0.00240000
1.94300	0.00250000
1.94400	0.00270000
1.94500	0.00310000
1.94600	0.00320000
1.94700	0.00360000
1.94800	0.00390000
1.94900	0.00420000
1.95000	0.00460000
1.95100	0.00510000
1.95200	0.00560000
1.95300	0.00630000
1.95400	0.00700000
1.95500	0.00780000
1.95600	0.00870000
1.95700	0.0101000
1.95800	0.0113000
1.95900	0.0129000
1.96000	0.0148000
1.96100	0.0169000
1.96200	0.0195000
1.96300	0.0226000
1.96400	0.0265000
1.96500	0.0309000
1.96600	0.0361000
1.96700	0.0425000
1.96800	0.0502000
1.96900	0.0590000
1.97000	0.0699000
1.97100	0.0824000
1.97200	0.0965000
1.97300	0.113800
1.97400	0.132500
1.97500	0.153400
1.97600	0.177400
1.97700	0.202300
1.97800	0.229200
1.97900	0.257200
1.98000	0.287400
1.98100	0.316400
1.98200	0.346300
1.98300	0.377000
1.98400	0.406000
1.98500	0.435500
1.98600	0.465500
1.98700	0.494700
1.98800	0.523800
1.98900	0.553200
1.99000	0.582300
1.99100	0.610300
1.99200	0.639000
1.99300	0.666400
1.99400	0.691900
1.99500	0.717500
1.99600	0.739600
1.99700	0.760300
1.99800	0.778100
1.99900	0.793100
2.00000	0.805700
2.00100	0.815700
2.00200	0.824000
2.00300	0.828900
2.00400	0.832000
2.00500	0.833600
2.00600	0.834200
2.00700	0.833500
2.00800	0.832300
2.00900	0.830300
2.01000	0.828900
2.01100	0.827000
2.01200	0.825800
2.01300	0.824800
2.01400	0.824100
