#LAM	FLX
1.44340	0.00405900
1.44390	0.00427300
1.44440	0.00447100
1.44490	0.00473100
1.44540	0.00486800
1.44590	0.00512700
1.44640	0.00543200
1.44690	0.00576800
1.44740	0.00611900
1.44790	0.00645500
1.44840	0.00679000
1.44890	0.00711100
1.44940	0.00753900
1.44990	0.00799600
1.45040	0.00842400
1.45090	0.00894200
1.45140	0.00941500
1.45190	0.00998000
1.45240	0.0106510
1.45290	0.0113380
1.45340	0.0121920
1.45390	0.0130620
1.45440	0.0138550
1.45490	0.0148010
1.45540	0.0157470
1.45590	0.0167390
1.45640	0.0179290
1.45690	0.0192110
1.45740	0.0205700
1.45790	0.0221410
1.45840	0.0237280
1.45890	0.0254370
1.45940	0.0272680
1.45990	0.0292670
1.46040	0.0313720
1.46090	0.0336460
1.46140	0.0361030
1.46190	0.0387580
1.46240	0.0416870
1.46290	0.0448460
1.46340	0.0481880
1.46390	0.0518350
1.46440	0.0556490
1.46490	0.0597390
1.46540	0.0640110
1.46590	0.0686340
1.46640	0.0736240
1.46690	0.0790710
1.46740	0.0847630
1.46790	0.0907600
1.46840	0.0969540
1.46890	0.103638
1.46940	0.110764
1.46980	0.117936
1.47030	0.125428
1.47080	0.133255
1.47130	0.141465
1.47180	0.150528
1.47230	0.159287
1.47280	0.168900
1.47330	0.178452
1.47380	0.188248
1.47430	0.199066
1.47480	0.209152
1.47530	0.219834
1.47580	0.231095
1.47630	0.242402
1.47680	0.254563
1.47730	0.266541
1.47780	0.278733
1.47830	0.291107
1.47880	0.303696
1.47930	0.316971
1.47980	0.330048
1.48030	0.343582
1.48080	0.357758
1.48130	0.372025
1.48180	0.386795
1.48230	0.401032
1.48280	0.415634
1.48330	0.430420
1.48380	0.445816
1.48430	0.462494
1.48480	0.478027
1.48530	0.494080
1.48580	0.510513
1.48630	0.525833
1.48680	0.542282
1.48730	0.558701
1.48780	0.574402
1.48830	0.591065
1.48880	0.608200
1.48930	0.624115
1.48980	0.640427
1.49030	0.656754
1.49080	0.671662
1.49130	0.686844
1.49180	0.701431
1.49230	0.714707
1.49280	0.727982
1.49330	0.741135
1.49380	0.752961
1.49430	0.763794
1.49480	0.774414
1.49530	0.784653
1.49580	0.794251
1.49630	0.804657
1.49680	0.813034
1.49730	0.820404
1.49780	0.827133
1.49830	0.832794
1.49880	0.837585
1.49930	0.841843
1.49980	0.845428
1.50030	0.848694
1.50080	0.851440
1.50130	0.854202
1.50180	0.855453
1.50230	0.856384
1.50280	0.857132
1.50330	0.856781
1.50380	0.857162
1.50430	0.856598
1.50480	0.855835
1.50530	0.855133
1.50580	0.853912
1.50630	0.852921
1.50680	0.852631
1.50730	0.851624
1.50780	0.851608
1.50830	0.851349
1.50880	0.850464
1.50930	0.850479
1.50980	0.849487
1.51030	0.848114
1.51080	0.847473
1.51130	0.847107
1.51180	0.846786
1.51230	0.847809
1.51280	0.848144
1.51330	0.848450
1.51380	0.849396
1.51430	0.849899
1.51480	0.851059
1.51530	0.851776
1.51580	0.852264
1.51630	0.853760
1.51680	0.854294
1.51730	0.856186
1.51780	0.858597
1.51830	0.860062
1.51880	0.862366
1.51930	0.864243
1.51980	0.865051
1.52030	0.866974
1.52080	0.868957
1.52130	0.869904
1.52180	0.871628
1.52230	0.872955
1.52280	0.873733
1.52330	0.875320
1.52380	0.877396
1.52430	0.878525
1.52480	0.879974
1.52520	0.881683
1.52570	0.883133
1.52620	0.884247
1.52670	0.885895
1.52720	0.887009
1.52770	0.887375
1.52820	0.888336
1.52870	0.888672
1.52920	0.888550
1.52970	0.888138
1.53020	0.888397
1.53070	0.887573
1.53120	0.887405
1.53170	0.887955
1.53220	0.887329
1.53270	0.887436
1.53320	0.886917
1.53370	0.885498
1.53420	0.883697
1.53470	0.881988
1.53520	0.880463
1.53570	0.879806
1.53620	0.879822
1.53670	0.879547
1.53720	0.878830
1.53770	0.877655
1.53820	0.876572
1.53870	0.875748
1.53920	0.874161
1.53970	0.872986
1.54020	0.871063
1.54070	0.868500
1.54120	0.867432
1.54170	0.866226
1.54220	0.864838
1.54270	0.864746
1.54320	0.863983
1.54370	0.862991
1.54420	0.863052
1.54470	0.862717
1.54520	0.862549
1.54570	0.862442
1.54620	0.861893
1.54670	0.861191
1.54720	0.860672
1.54770	0.860336
1.54820	0.860580
1.54870	0.860321
1.54920	0.860336
1.54970	0.860580
1.55020	0.859802
1.55070	0.860535
1.55120	0.861893
1.55170	0.862701
1.55220	0.864136
1.55270	0.865127
1.55320	0.865295
1.55370	0.865799
1.55420	0.867096
1.55470	0.867889
1.55520	0.869003
1.55570	0.870666
1.55620	0.871887
1.55670	0.873093
1.55720	0.874969
1.55770	0.876297
1.55820	0.877350
1.55870	0.878723
1.55920	0.879791
1.55970	0.880783
1.56020	0.881989
1.56070	0.883224
1.56120	0.883606
1.56170	0.884186
1.56220	0.885391
1.56270	0.886673
1.56320	0.888931
1.56370	0.891022
1.56420	0.892502
1.56470	0.893158
1.56520	0.893829
1.56570	0.894394
1.56620	0.895172
1.56670	0.896545
1.56720	0.897186
1.56770	0.898331
1.56820	0.899445
1.56870	0.900269
1.56920	0.901016
1.56970	0.901062
1.57020	0.900589
1.57070	0.900040
1.57120	0.899170
1.57170	0.898605
1.57220	0.898086
1.57270	0.897400
1.57320	0.897400
1.57370	0.897278
1.57420	0.896133
1.57470	0.896042
1.57520	0.895416
1.57570	0.894195
1.57620	0.894073
1.57670	0.893082
1.57720	0.891785
1.57770	0.891434
1.57820	0.890533
1.57870	0.889511
1.57920	0.888641
1.57970	0.887192
1.58020	0.886139
1.58060	0.884613
1.58110	0.883896
1.58160	0.882996
1.58210	0.882080
1.58260	0.881302
1.58310	0.880798
1.58360	0.880188
1.58410	0.879379
1.58460	0.879242
1.58510	0.878128
1.58560	0.877640
1.58610	0.877136
1.58660	0.876999
1.58710	0.876633
1.58760	0.876846
1.58810	0.876846
1.58860	0.875748
1.58910	0.875442
1.58960	0.874313
1.59010	0.873413
1.59060	0.873474
1.59110	0.873444
1.59160	0.873840
1.59210	0.874100
1.59260	0.874618
1.59310	0.874908
1.59360	0.875046
1.59410	0.875900
1.59460	0.876373
1.59510	0.877182
1.59560	0.878098
1.59610	0.878281
1.59660	0.878799
1.59710	0.878998
1.59760	0.878769
1.59810	0.879700
1.59860	0.880341
1.59910	0.881500
1.59960	0.883270
1.60010	0.884293
1.60060	0.885483
1.60110	0.885925
1.60160	0.886658
1.60210	0.887772
1.60260	0.888687
1.60310	0.889954
1.60360	0.890945
1.60410	0.891754
1.60460	0.892654
1.60510	0.893784
1.60560	0.895264
1.60610	0.896103
1.60660	0.897324
1.60710	0.898621
1.60760	0.898727
1.60810	0.899612
1.60860	0.900101
1.60910	0.899582
1.60960	0.900589
1.61010	0.901016
1.61060	0.901092
1.61110	0.901779
1.61160	0.901276
1.61210	0.900970
1.61260	0.900589
1.61310	0.899841
1.61360	0.899704
1.61410	0.899292
1.61460	0.899460
1.61510	0.899887
1.61560	0.899246
1.61610	0.898849
1.61660	0.897720
1.61710	0.897125
1.61760	0.896240
1.61810	0.896133
1.61860	0.895660
1.61910	0.893921
1.61960	0.893097
1.62010	0.891067
1.62060	0.889130
1.62110	0.887436
1.62160	0.886093
1.62210	0.883987
1.62260	0.882172
1.62310	0.881042
1.62360	0.878906
1.62410	0.877884
1.62460	0.876739
1.62510	0.874710
1.62560	0.872207
1.62610	0.870178
1.62660	0.868057
1.62710	0.866333
1.62760	0.865249
1.62810	0.862655
1.62860	0.859878
1.62910	0.857788
1.62960	0.855484
1.63010	0.854065
1.63060	0.852722
1.63110	0.850616
1.63160	0.848755
1.63210	0.846740
1.63260	0.844772
1.63310	0.842728
1.63360	0.840469
1.63410	0.838821
1.63460	0.837127
1.63510	0.836029
1.63560	0.835144
1.63600	0.834122
1.63650	0.833038
1.63700	0.831573
1.63750	0.830246
1.63800	0.828277
1.63850	0.827164
1.63900	0.825790
1.63950	0.824554
1.64000	0.823654
1.64050	0.822327
1.64100	0.820953
1.64150	0.820358
1.64200	0.819824
1.64250	0.819672
1.64300	0.819748
1.64350	0.819489
1.64400	0.818893
1.64450	0.818436
1.64500	0.818055
1.64550	0.818299
1.64600	0.818741
1.64650	0.819214
1.64700	0.820176
1.64750	0.819916
1.64800	0.820435
1.64850	0.821000
1.64900	0.821198
1.64950	0.821869
1.65000	0.822220
1.65050	0.822632
1.65100	0.823532
1.65150	0.824692
1.65200	0.826111
1.65250	0.827118
1.65300	0.828537
1.65350	0.830246
1.65400	0.832016
1.65450	0.834320
1.65500	0.836304
1.65550	0.837311
1.65600	0.838074
1.65650	0.839279
1.65700	0.839767
1.65750	0.840836
1.65800	0.842438
1.65850	0.843582
1.65900	0.845840
1.65950	0.847977
1.66000	0.849747
1.66050	0.851456
1.66100	0.853103
1.66150	0.854690
1.66200	0.855789
1.66250	0.857269
1.66300	0.858063
1.66350	0.859314
1.66400	0.861114
1.66450	0.862167
1.66500	0.863342
1.66550	0.864044
1.66600	0.865112
1.66650	0.866318
1.66700	0.867691
1.66750	0.869080
1.66800	0.870132
1.66850	0.870316
1.66900	0.871368
1.66950	0.872757
1.67000	0.873520
1.67050	0.875092
1.67100	0.875824
1.67150	0.875534
1.67200	0.876282
1.67250	0.876755
1.67300	0.876770
1.67350	0.878204
1.67400	0.878326
1.67450	0.878677
1.67500	0.879059
1.67550	0.878571
1.67600	0.879105
1.67650	0.878601
1.67700	0.878189
1.67750	0.877975
1.67800	0.876831
1.67850	0.876831
1.67900	0.876755
1.67950	0.876160
1.68000	0.875946
1.68050	0.875946
1.68100	0.875641
1.68150	0.875427
1.68200	0.875122
1.68250	0.874084
1.68300	0.872909
1.68350	0.872223
1.68400	0.871399
1.68450	0.870636
1.68500	0.870819
1.68550	0.870560
1.68600	0.870300
1.68650	0.870026
1.68700	0.869492
1.68750	0.868500
1.68800	0.867676
1.68850	0.867233
1.68900	0.866333
1.68950	0.865601
1.69000	0.865402
1.69050	0.865265
1.69100	0.865311
1.69140	0.866348
1.69190	0.866135
1.69240	0.866241
1.69290	0.866440
1.69340	0.865585
1.69390	0.865494
1.69440	0.864639
1.69490	0.863602
1.69540	0.863022
1.69590	0.863098
1.69640	0.863419
1.69690	0.863968
1.69740	0.864380
1.69790	0.864456
1.69840	0.864380
1.69890	0.864746
1.69940	0.865326
1.69990	0.866089
1.70040	0.866638
1.70090	0.867386
1.70140	0.867630
1.70190	0.867447
1.70240	0.868179
1.70290	0.868668
1.70340	0.868835
1.70390	0.869461
1.70440	0.869613
1.70490	0.869263
1.70540	0.869766
1.70590	0.869949
1.70640	0.869217
1.70690	0.868530
1.70740	0.868133
1.70790	0.867996
1.70840	0.868805
1.70890	0.869736
1.70940	0.870682
1.70990	0.870972
1.71040	0.870514
1.71090	0.870224
1.71140	0.868851
1.71190	0.867248
1.71240	0.866775
1.71290	0.865372
1.71340	0.864258
1.71390	0.863571
1.71440	0.862137
1.71490	0.861313
1.71540	0.861038
1.71590	0.860367
1.71640	0.859650
1.71690	0.858673
1.71740	0.857880
1.71790	0.856537
1.71840	0.855148
1.71890	0.853866
1.71940	0.851425
1.71990	0.849975
1.72040	0.848251
1.72090	0.846435
1.72140	0.844925
1.72190	0.843170
1.72240	0.841217
1.72290	0.838516
1.72340	0.835831
1.72390	0.832855
1.72440	0.829986
1.72490	0.828461
1.72540	0.826309
1.72590	0.824051
1.72640	0.822876
1.72690	0.820373
1.72740	0.818893
1.72790	0.817520
1.72840	0.815079
1.72890	0.813309
1.72940	0.810898
1.72990	0.809097
1.73040	0.807510
1.73090	0.805710
1.73140	0.804626
1.73190	0.803222
1.73240	0.801926
1.73290	0.801117
1.73340	0.799911
