#LAM	FLX
0.785000	0.00100000
0.786000	0.00100000
0.787000	0.00100000
0.788000	0.00100000
0.789000	0.00100000
0.790000	0.00100000
0.791000	0.00100000
0.792000	0.00100000
0.793000	0.00100000
0.794000	0.00200000
0.795000	0.00200000
0.796000	0.00200000
0.797000	0.00300000
0.798000	0.00400000
0.799000	0.00500000
0.800000	0.00600000
0.801000	0.00700000
0.802000	0.00800000
0.803000	0.00900000
0.804000	0.0120000
0.805000	0.0150000
0.806000	0.0190000
0.807000	0.0250000
0.808000	0.0340000
0.809000	0.0450000
0.810000	0.0600000
0.811000	0.0790000
0.812000	0.101000
0.813000	0.129000
0.814000	0.160000
0.815000	0.203000
0.816000	0.252000
0.817000	0.318000
0.818000	0.397000
0.819000	0.499000
0.820000	0.588000
0.821000	0.696000
0.822000	0.761000
0.823000	0.750000
0.824000	0.833000
0.825000	0.849000
0.826000	0.850000
0.827000	0.863000
0.828000	0.839000
0.829000	0.860000
0.830000	0.858000
0.831000	0.857000
0.832000	0.845000
0.833000	0.862000
0.834000	0.857000
0.835000	0.867000
0.836000	0.867000
0.837000	0.877000
0.838000	0.879000
0.839000	0.880000
0.840000	0.880000
0.841000	0.876000
0.842000	0.873000
0.843000	0.871000
0.844000	0.869000
0.845000	0.869000
0.846000	0.868000
0.847000	0.868000
0.848000	0.867000
0.849000	0.866000
0.850000	0.865000
0.851000	0.863000
0.852000	0.861000
0.853000	0.858000
0.854000	0.855000
0.855000	0.854000
0.856000	0.852000
0.857000	0.850000
0.858000	0.848000
0.859000	0.848000
0.860000	0.849000
0.861000	0.850000
0.862000	0.851000
0.863000	0.850000
0.864000	0.849000
0.865000	0.849000
0.866000	0.848000
0.867000	0.846000
0.868000	0.845000
0.869000	0.843000
0.870000	0.840000
0.871000	0.839000
0.872000	0.837000
0.873000	0.835000
0.874000	0.833000
0.875000	0.832000
0.876000	0.831000
0.877000	0.829000
0.878000	0.827000
0.879000	0.824000
0.880000	0.820000
0.881000	0.816000
0.882000	0.810000
0.883000	0.806000
0.884000	0.801000
0.885000	0.796000
0.886000	0.792000
0.887000	0.790000
0.888000	0.787000
0.889000	0.786000
0.890000	0.783000
0.891000	0.783000
0.892000	0.781000
0.893000	0.777000
0.894000	0.773000
0.895000	0.764000
0.896000	0.747000
0.897000	0.723000
0.898000	0.727000
0.899000	0.671000
0.900000	0.719000
0.901000	0.697000
0.902000	0.710000
0.903000	0.691000
0.904000	0.730000
0.905000	0.725000
0.906000	0.714000
0.907000	0.687000
0.908000	0.688000
0.909000	0.694000
0.910000	0.683000
0.911000	0.691000
0.912000	0.680000
0.913000	0.666000
0.914000	0.653000
0.915000	0.659000
0.916000	0.625000
0.917000	0.642000
0.918000	0.592000
0.919000	0.590000
0.920000	0.549000
0.921000	0.504000
0.922000	0.429000
0.923000	0.361000
0.924000	0.283000
0.925000	0.214000
0.926000	0.158000
0.927000	0.116000
0.928000	0.0790000
0.929000	0.0570000
0.930000	0.0390000
0.931000	0.0280000
0.932000	0.0190000
0.933000	0.0140000
0.934000	0.0100000
0.935000	0.00800000
0.936000	0.00600000
0.937000	0.00500000
0.938000	0.00400000
0.939000	0.00400000
0.940000	0.00400000
0.941000	0.00300000
0.942000	0.00200000
0.943000	0.00200000
0.944000	0.00200000
0.945000	0.00100000
0.946000	0.00100000
0.947000	0.00100000
0.948000	0.00100000
0.949000	0.00100000
0.951000	0.00100000
