#LAM	FLX
1.44900	0.00410000
1.44950	0.00420000
1.45000	0.00350000
1.45050	0.00220000
1.45100	0.00280000
1.45150	0.00490000
1.45200	0.00450000
1.45250	0.00530000
1.45300	0.00430000
1.45350	0.00600000
1.45400	0.00630000
1.45450	0.00610000
1.45500	0.00620000
1.45550	0.00500000
1.45600	0.00720000
1.45650	0.00770000
1.45700	0.00750000
1.45750	0.00770000
1.45800	0.00840000
1.45850	0.00910000
1.45900	0.00960000
1.45950	0.0100000
1.46000	0.00990000
1.46050	0.00820000
1.46100	0.0109000
1.46150	0.0106000
1.46200	0.0123000
1.46250	0.0127000
1.46300	0.0103000
1.46350	0.0122000
1.46400	0.0141000
1.46450	0.0157000
1.46500	0.0132000
1.46550	0.0138000
1.46600	0.0137000
1.46650	0.0137000
1.46700	0.0132000
1.46750	0.0188000
1.46800	0.0181000
1.46850	0.0214000
1.46900	0.0221000
1.46950	0.0160000
1.47000	0.0235000
1.47050	0.0186000
1.47100	0.0164000
1.47150	0.0264000
1.47200	0.0276000
1.47250	0.0176000
1.47300	0.0303000
1.47350	0.0311000
1.47400	0.0322000
1.47450	0.0375000
1.47500	0.0395000
1.47550	0.0383000
1.47600	0.0320000
1.47650	0.0438000
1.47700	0.0351000
1.47750	0.0463000
1.47800	0.0342000
1.47850	0.0525000
1.47900	0.0515000
1.47950	0.0419000
1.48000	0.0547000
1.48050	0.0421000
1.48100	0.0636000
1.48150	0.0594000
1.48200	0.0557000
1.48250	0.0713000
1.48300	0.0729000
1.48350	0.0773000
1.48400	0.0803000
1.48450	0.0678000
1.48500	0.0867000
1.48550	0.0839000
1.48600	0.0899000
1.48650	0.0807000
1.48700	0.0925000
1.48750	0.0975000
1.48800	0.0927000
1.48850	0.108500
1.48900	0.113800
1.48950	0.109000
1.49000	0.121300
1.49050	0.127500
1.49100	0.130300
1.49150	0.105900
1.49200	0.132500
1.49250	0.137900
1.49300	0.139800
1.49350	0.148100
1.49400	0.147600
1.49450	0.153500
1.49500	0.147300
1.49550	0.158500
1.49600	0.161900
1.49650	0.150400
1.49700	0.173000
1.49750	0.173400
1.49800	0.168900
1.49850	0.179800
1.49900	0.181900
1.49950	0.185300
1.50000	0.189700
1.50050	0.193200
1.50100	0.195900
1.50150	0.198100
1.50200	0.196000
1.50250	0.201100
1.50300	0.201100
1.50350	0.201500
1.50400	0.192500
1.50450	0.203500
1.50500	0.209200
1.50550	0.214300
1.50600	0.215500
1.50650	0.218300
1.50700	0.218900
1.50750	0.219800
1.50800	0.221700
1.50850	0.215100
1.50900	0.213700
1.50950	0.225800
1.51000	0.226200
1.51050	0.226900
1.51100	0.226500
1.51150	0.229000
1.51200	0.230500
1.51250	0.227900
1.51300	0.229100
1.51350	0.230600
1.51400	0.229900
1.51450	0.233400
1.51500	0.232700
1.51550	0.234400
1.51600	0.234700
1.51650	0.233900
1.51700	0.234600
1.51750	0.233100
1.51800	0.236700
1.51850	0.236100
1.51900	0.234600
1.51950	0.236700
1.52000	0.237700
1.52050	0.236900
1.52100	0.238800
1.52150	0.238800
1.52200	0.238200
1.52250	0.239500
1.52300	0.239700
1.52350	0.239200
1.52400	0.240100
1.52450	0.238500
1.52500	0.239800
1.52550	0.240000
1.52600	0.240000
1.52650	0.240000
1.52700	0.240500
1.52750	0.240000
1.52800	0.241100
1.52850	0.241200
1.52900	0.241500
1.52950	0.241300
1.53000	0.241500
1.53050	0.241700
1.53100	0.242000
1.53150	0.241300
1.53200	0.242100
1.53250	0.242000
1.53300	0.241900
1.53350	0.241700
1.53400	0.241400
1.53450	0.241600
1.53500	0.241200
1.53550	0.241800
1.53600	0.242200
1.53650	0.242700
1.53700	0.243300
1.53750	0.244100
1.53800	0.244300
1.53850	0.244000
1.53900	0.243900
1.53950	0.243900
1.54000	0.243700
1.54050	0.244000
1.54100	0.244600
1.54150	0.244700
1.54200	0.244700
1.54250	0.245200
1.54300	0.245600
1.54350	0.246200
1.54400	0.246600
1.54450	0.246600
1.54500	0.247000
1.54550	0.247300
1.54600	0.247500
1.54650	0.247800
1.54700	0.248100
1.54750	0.248300
1.54800	0.248500
1.54850	0.248700
1.54900	0.248900
1.54950	0.249100
1.55000	0.249400
1.55050	0.249600
1.55100	0.249700
1.55150	0.250000
1.55200	0.249900
1.55250	0.250400
1.55300	0.250600
1.55350	0.250800
1.55400	0.251000
1.55450	0.251200
1.55500	0.251400
1.55550	0.251600
1.55600	0.251800
1.55650	0.252000
1.55700	0.252200
1.55750	0.252400
1.55800	0.252600
1.55850	0.252800
1.55900	0.253000
1.55950	0.253200
1.56000	0.253400
1.56050	0.253600
1.56100	0.253700
1.56150	0.253900
1.56200	0.254100
1.56250	0.254200
1.56300	0.254500
1.56350	0.254600
1.56400	0.254800
1.56450	0.254900
1.56500	0.255200
1.56550	0.255300
1.56600	0.255400
1.56650	0.255600
1.56700	0.255600
1.56750	0.255600
1.56800	0.255200
1.56850	0.254500
1.56900	0.253100
1.56950	0.251100
1.57000	0.248600
1.57050	0.246000
1.57100	0.243900
1.57150	0.241800
1.57200	0.240500
1.57250	0.242100
1.57300	0.241100
1.57350	0.243900
1.57400	0.244800
1.57450	0.249300
1.57500	0.254500
1.57550	0.256500
1.57600	0.252100
1.57650	0.248100
1.57700	0.246100
1.57750	0.247600
1.57800	0.249000
1.57850	0.250100
1.57900	0.248600
1.57950	0.247600
1.58000	0.247200
1.58050	0.249500
1.58100	0.250700
1.58150	0.251100
1.58200	0.253300
1.58250	0.254600
1.58300	0.254900
1.58350	0.256400
1.58400	0.257200
1.58450	0.257700
1.58500	0.258500
1.58550	0.258900
1.58600	0.259300
1.58650	0.259300
1.58700	0.259300
1.58750	0.259500
1.58800	0.259500
1.58850	0.259600
1.58900	0.259700
1.58950	0.259800
1.59000	0.259800
1.59050	0.259900
1.59100	0.259900
1.59150	0.259900
1.59200	0.260000
1.59250	0.259900
1.59300	0.260100
1.59350	0.260100
1.59400	0.260200
1.59450	0.260100
1.59500	0.260200
1.59550	0.260300
1.59600	0.260300
1.59650	0.260300
1.59700	0.260300
1.59750	0.260100
1.59800	0.259800
1.59850	0.259100
1.59900	0.257800
1.59950	0.255900
1.60000	0.253700
1.60050	0.251200
1.60100	0.248600
1.60150	0.246800
1.60200	0.245800
1.60250	0.243400
1.60300	0.245200
1.60350	0.245700
1.60400	0.246800
1.60450	0.251800
1.60500	0.254900
1.60550	0.258900
1.60600	0.258000
1.60650	0.254100
1.60700	0.252300
1.60750	0.252300
1.60800	0.252500
1.60850	0.252800
1.60900	0.251100
1.60950	0.249700
1.61000	0.249000
1.61050	0.251100
1.61100	0.252200
1.61150	0.252400
1.61200	0.255200
1.61250	0.256400
1.61300	0.257500
1.61350	0.259500
1.61400	0.260700
1.61450	0.261900
1.61500	0.262500
1.61550	0.262800
1.61600	0.263000
1.61650	0.262900
1.61700	0.263100
1.61750	0.263400
1.61800	0.263600
1.61850	0.264000
1.61900	0.264000
1.61950	0.264300
1.62000	0.264500
1.62050	0.264600
1.62100	0.264800
1.62150	0.264800
1.62200	0.265000
1.62250	0.265100
1.62300	0.265200
1.62350	0.265300
1.62400	0.265100
1.62450	0.265600
1.62500	0.265700
1.62550	0.265600
1.62600	0.265200
1.62650	0.265700
1.62700	0.265700
1.62750	0.265700
1.62800	0.265400
1.62850	0.265500
1.62900	0.265900
1.62950	0.265800
1.63000	0.266000
1.63050	0.263800
1.63100	0.265800
1.63150	0.265600
1.63200	0.265600
1.63250	0.265400
1.63300	0.263500
