#WISE_W4
#http://wise2.ipac.caltech.edu/docs/release/prelim/expsup/sec4_3g.html#WISEZMA
#photon counting, es decir, que no hay que multiplicar por lambda
#hecha a partir de la QE multiplicando por lambda y normalizando para que el maximo este en 1
# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W1     RSR     
# Angstrom %1
190500.0 0.0000546480
190600.0 0.0001026400
190700.0 0.0003427200
190800.0 0.0008040700
190900.0 0.0014978000
191000.0 0.0020629000
191100.0 0.0025077000
191200.0 0.0026433000
191300.0 0.0026980000
191400.0 0.0025906000
191500.0 0.0024255000
191600.0 0.0021409000
191700.0 0.0017587000
191800.0 0.0012964000
191900.0 0.0007053000
192000.0 0.0003082800
192100.0 0.0001763900
192200.0 0.0000678570
192300.0 0.0001643800
192400.0 0.0001802300
192500.0 0.0001636900
192600.0 0.0003008500
192700.0 0.0004270500
192800.0 0.0005461700
192900.0 0.0006549000
193000.0 0.0001509500
193100.0 0.0007455000
193200.0 0.0008156900
193300.0 0.0009226800
193400.0 0.0010530000
193500.0 0.0012265000
193600.0 0.0014029000
193700.0 0.0017762000
193800.0 0.0022090000
193900.0 0.0029642000
194000.0 0.0038672000
194100.0 0.0047912000
194200.0 0.0056344000
194300.0 0.0063393000
194400.0 0.0068512000
194500.0 0.0073152000
194600.0 0.0076493000
194700.0 0.0079776000
194800.0 0.0082335000
194900.0 0.0084867000
195000.0 0.0088554000
195100.0 0.0093066000
195200.0 0.0099923000
195300.0 0.0109160000
195400.0 0.0120810000
195500.0 0.0136490000
195600.0 0.0154140000
195700.0 0.0178870000
195800.0 0.0205000000
195900.0 0.0240440000
196000.0 0.0277770000
196100.0 0.0324940000
196200.0 0.0373690000
196300.0 0.0428600000
196400.0 0.0489690000
196500.0 0.0560020000
196600.0 0.0636540000
196700.0 0.0719270000
196800.0 0.0814340000
196900.0 0.0915640000
197000.0 0.1041300000
197100.0 0.1170100000
197200.0 0.1326100000
197300.0 0.1488700000
197400.0 0.1678500000
197500.0 0.1871300000
197600.0 0.2085800000
197700.0 0.2313200000
197800.0 0.2555800000
197900.0 0.2820300000
198000.0 0.3092800000
198100.0 0.3433700000
198200.0 0.3771900000
198300.0 0.4144400000
198400.0 0.4514200000
198500.0 0.4887400000
198600.0 0.5261000000
198700.0 0.5573100000
198800.0 0.5885500000
198900.0 0.6170400000
199000.0 0.6424500000
199100.0 0.6647900000
199200.0 0.6871500000
199300.0 0.7061200000
199400.0 0.7254100000
199500.0 0.7413100000
199600.0 0.7544300000
199700.0 0.7610300000
199800.0 0.7679400000
199900.0 0.7683300000
200000.0 0.7690200000
200100.0 0.7662900000
200200.0 0.7666700000
200300.0 0.7673700000
200400.0 0.7677500000
200500.0 0.7712600000
200600.0 0.7750800000
200700.0 0.7785900000
200800.0 0.7821100000
200900.0 0.7856200000
201000.0 0.7860100000
201100.0 0.7867200000
201200.0 0.7902400000
201300.0 0.7969100000
201400.0 0.8067100000
201500.0 0.8165300000
201600.0 0.8294900000
201700.0 0.8393300000
201800.0 0.8488600000
201900.0 0.8555600000
202000.0 0.8559900000
202100.0 0.8595600000
202200.0 0.8568400000
202300.0 0.8572600000
202400.0 0.8545300000
202500.0 0.8518000000
202600.0 0.8493800000
202700.0 0.8498000000
202800.0 0.8439000000
202900.0 0.8380000000
203000.0 0.8320900000
203100.0 0.8261700000
203200.0 0.8202500000
203300.0 0.8174900000
203400.0 0.8178900000
203500.0 0.8182900000
203600.0 0.8247200000
203700.0 0.8314700000
203800.0 0.8414000000
203900.0 0.8481600000
204000.0 0.8549300000
204100.0 0.8585300000
204200.0 0.8621300000
204300.0 0.8657300000
204400.0 0.8693400000
204500.0 0.8761400000
204600.0 0.8829400000
204700.0 0.8929300000
204800.0 0.8997500000
204900.0 0.9097600000
205000.0 0.9102000000
205100.0 0.9138400000
205200.0 0.9110900000
205300.0 0.9083400000
205400.0 0.9023800000
205500.0 0.8996200000
205600.0 0.8968600000
205700.0 0.8940900000
205800.0 0.8945300000
205900.0 0.8949600000
206000.0 0.8921900000
206100.0 0.8894100000
206200.0 0.8866300000
206300.0 0.8806400000
206400.0 0.8778500000
206500.0 0.8718400000
206600.0 0.8722600000
206700.0 0.8759000000
206800.0 0.8827700000
206900.0 0.8928600000
207000.0 0.8997400000
207100.0 0.9066300000
207200.0 0.9102900000
207300.0 0.9107300000
207400.0 0.9079400000
207500.0 0.9019200000
207600.0 0.8958800000
207700.0 0.8898500000
207800.0 0.8838000000
207900.0 0.8842300000
208000.0 0.8846500000
208100.0 0.8883200000
208200.0 0.8887500000
208300.0 0.8924200000
208400.0 0.8960900000
208500.0 0.8965200000
208600.0 0.8937000000
208700.0 0.8941300000
208800.0 0.8945600000
208900.0 0.8949900000
209000.0 0.8986700000
