# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
     0.648777    1.83738e-17    3.05135e-17
     0.651004    7.95896e-17    2.50882e-17
     0.653219    2.16341e-17    3.25984e-17
     0.655423   -1.31646e-17    6.48872e-17
     0.657617    6.83622e-17    4.15586e-17
     0.659803    1.40203e-17    7.13593e-18
     0.661980   -1.74055e-17    3.80750e-17
     0.664151    3.97579e-17    4.55031e-17
     0.666316   -6.66342e-17    4.87163e-18
     0.668475    9.37683e-18    3.45040e-17
     0.670631   -2.05979e-17    3.13599e-17
     0.672783   -2.07242e-17    1.70802e-17
     0.674932    1.55194e-18    4.06871e-17
     0.677080    5.50937e-17    9.88671e-18
     0.679227    5.22068e-17    3.03000e-17
     0.681374    2.61648e-17    1.20343e-17
     0.683521    5.38651e-17    2.80922e-17
     0.685670    3.59624e-17    4.32101e-17
     0.687821    1.82471e-17    1.87051e-17
     0.689975    2.28341e-17    2.68624e-17
     0.692132   -1.27799e-18    9.84944e-18
     0.694293    1.56668e-17    7.48004e-18
     0.696460    2.22758e-17    3.86486e-17
     0.698631   -5.71144e-18    9.23319e-18
     0.700809   -1.98818e-17    2.05698e-17
     0.702993   -2.78611e-18    1.29115e-17
     0.705185    5.72778e-18    5.50532e-18
     0.707384    2.01361e-17    2.11965e-17
     0.709592    7.82994e-18    4.38252e-18
     0.711808    1.62087e-18    1.15960e-17
     0.714034    3.30240e-18    1.44895e-17
     0.716270    2.62941e-17    9.76799e-18
     0.718517    1.97684e-17    1.18862e-17
     0.720774    1.50802e-17    1.68231e-17
     0.723042   -1.51726e-18    7.38865e-18
     0.725322    5.77980e-17    1.67727e-17
     0.727615    1.16447e-17    4.38777e-18
     0.729920    1.07956e-17    1.22144e-17
     0.732238    1.32668e-17    1.52310e-17
     0.734569   -7.60296e-18    7.17030e-18
     0.736915   -4.53272e-19    6.50345e-18
     0.739274    7.52254e-18    1.72963e-17
     0.741648   -1.74375e-18    6.24169e-18
     0.744036    4.79249e-18    8.96271e-18
     0.746440    1.46964e-17    6.00709e-18
     0.748859    2.50395e-17    5.74993e-18
     0.751294    1.57015e-17    5.33626e-18
     0.753745    1.87088e-17    6.92049e-18
     0.756212   -4.36221e-18    4.67163e-18
     0.758696    2.03620e-17    1.11258e-17
     0.761196    1.12922e-17    6.56736e-18
     0.763714    5.16900e-19    6.60127e-18
     0.766249    1.00837e-17    1.31750e-17
     0.768801    3.59433e-19    9.14378e-18
     0.771371    3.48246e-18    4.71315e-18
     0.773958    2.64144e-18    5.03838e-18
     0.776564    2.30779e-19    6.34434e-18
     0.779188    1.25659e-17    2.60180e-18
     0.781830    1.09243e-17    1.13884e-17
     0.784491    4.43809e-18    3.67873e-18
     0.787171    2.99981e-19    1.68743e-18
     0.789869    1.21773e-18    3.44382e-18
     0.792586   -7.59258e-18    5.41452e-18
     0.795322    9.85462e-19    3.16812e-18
     0.798078   -8.31918e-20    3.88933e-18
     0.800852   -4.14618e-18    6.29741e-18
     0.803646   -9.15956e-18    2.95768e-18
     0.806459    9.31217e-18    6.79579e-18
     0.809292    5.15619e-18    1.94922e-18
     0.812144    6.95211e-18    3.98232e-18
     0.815016    4.46704e-18    4.23953e-18
     0.817907   -1.87048e-18    2.35339e-18
     0.820818   -2.82683e-19    1.62835e-18
     0.823749    1.38153e-17    9.03209e-18
     0.826699    2.35341e-18    2.44558e-18
     0.829670    1.07216e-17    2.87678e-18
     0.832659    9.47558e-19    4.62601e-18
     0.835669    9.55677e-18    3.13950e-18
     0.838698    1.70909e-18    3.22843e-18
     0.841747    3.58634e-18    1.14605e-18
     0.844816    8.67738e-18    1.77590e-18
     0.847904    5.58843e-18    3.50243e-18
     0.851012    3.27318e-18    1.86355e-18
     0.854139    6.60945e-18    4.38632e-19
     0.857286    9.39517e-18    1.90214e-18
     0.860453    9.68912e-18    4.15314e-18
     0.863638    1.51053e-17    2.15463e-18
     0.866844   -1.60280e-18    1.50943e-18
     0.870068    9.36667e-18    3.58519e-18
     0.873312    1.05347e-17    2.83503e-18
     0.876575    1.20499e-17    2.30120e-18
     0.879856    3.49110e-18    6.33442e-19
     0.883157    8.13240e-18    2.11405e-18
     0.886477    6.69358e-18    2.84921e-18
     0.889815    9.11842e-18    4.73186e-18
     0.893172    1.21962e-17    4.33056e-18
     0.896548    1.26582e-17    4.65285e-18
     0.899942    1.29088e-17    1.29701e-18
     0.903354    7.01347e-18    3.92045e-18
     0.906785    9.62143e-18    3.63712e-18
     0.910233    9.70018e-18    2.44935e-18
     0.913700    1.38858e-17    1.06968e-18
     0.917184    1.38995e-17    2.09464e-18
     0.920686    1.42968e-17    1.68324e-18
     0.924206    1.51587e-17    1.49688e-18
     0.927742    1.57826e-17    1.06279e-18
     0.931297    1.73792e-17    3.67572e-18
     0.934868    1.79433e-17    2.81889e-18
     0.938456    1.63240e-17    1.16771e-18
     0.942061    2.25080e-17    2.58752e-18
     0.945682    2.06907e-17    9.69398e-19
     0.949320    1.70449e-17    9.94592e-19
     0.952974    1.78940e-17    2.55301e-18
     0.956644    2.23920e-17    2.43330e-18
     0.960331    1.66838e-17    2.52453e-18
     0.964033    1.78700e-17    1.47813e-18
     0.967750    2.20426e-17    5.08534e-19
     0.971483    2.22026e-17    1.94892e-18
     0.975231    2.45584e-17    3.77569e-18
     0.978994    2.25957e-17    1.28954e-18
     0.982772    2.29179e-17    1.11701e-18
     0.986565    2.19388e-17    4.00820e-18
     0.990372    1.97483e-17    1.67025e-18
     0.994194    2.44074e-17    4.15382e-18
     0.998029    2.11707e-17    1.98304e-18
      1.00188    1.94730e-17    4.02862e-19
      1.00574    2.27832e-17    9.80302e-19
      1.00962    2.13873e-17    1.99451e-18
      1.01351    2.05560e-17    2.52557e-18
      1.01741    2.32298e-17    1.41407e-18
      1.02133    2.52838e-17    2.45218e-18
      1.02526    2.44976e-17    2.12294e-18
      1.02920    2.97556e-17    1.59970e-18
      1.03315    3.02609e-17    1.26967e-18
      1.03712    2.90814e-17    1.97005e-18
      1.04109    2.98401e-17    1.17018e-18
      1.04508    2.70957e-17    2.96619e-18
      1.04908    2.73705e-17    1.03998e-18
      1.05309    2.56465e-17    1.05520e-18
      1.05712    2.94361e-17    8.99070e-19
      1.06115    3.20081e-17    1.75626e-18
      1.06520    3.05755e-17    1.67449e-18
      1.06925    3.15177e-17    2.61343e-18
      1.07332    3.14009e-17    2.45305e-18
      1.07739    3.70632e-17    1.82991e-18
      1.08148    3.33249e-17    2.61250e-18
      1.08557    3.37606e-17    2.16758e-18
      1.08967    3.51830e-17    8.08587e-19
      1.09379    3.20186e-17    1.70489e-18
      1.09791    3.06348e-17    7.76555e-19
      1.10204    3.14393e-17    2.26545e-18
      1.10618    3.04432e-17    1.08506e-18
      1.11032    2.92236e-17    2.39558e-18
      1.11448    2.81524e-17    7.16052e-19
      1.11864    2.92056e-17    1.06254e-18
      1.12282    3.08216e-17    2.30277e-18
      1.12699    2.54715e-17    4.13141e-19
      1.13118    2.84538e-17    2.55126e-18
      1.13537    2.90993e-17    1.46543e-18
      1.13957    2.99602e-17    1.12985e-18
      1.14378    3.25446e-17    1.22553e-18
      1.14799    3.68810e-17    1.49924e-18
      1.15221    3.39914e-17    1.57670e-18
      1.15644    3.23628e-17    1.02298e-18
      1.16067    2.91489e-17    1.23791e-18
      1.16490    3.03380e-17    1.44237e-18
      1.16915    3.12010e-17    7.92066e-19
      1.17339    2.93441e-17    1.62649e-18
      1.17765    3.30021e-17    7.08669e-19
      1.18190    3.22729e-17    1.25440e-18
      1.18617    3.40338e-17    1.42577e-18
      1.19043    3.50811e-17    2.25481e-19
      1.19470    3.41459e-17    6.88514e-19
      1.19898    3.51292e-17    1.57178e-18
      1.20326    3.69818e-17    1.42070e-18
      1.20754    3.58893e-17    1.00508e-18
      1.21182    4.12398e-17    9.80690e-19
      1.21611    4.01423e-17    2.20085e-18
      1.22041    3.96732e-17    1.29340e-18
      1.22470    4.10486e-17    2.03177e-18
      1.22900    4.02141e-17    1.67061e-18
      1.23330    4.05453e-17    8.75161e-19
      1.23760    3.99085e-17    1.21669e-18
      1.24191    3.78958e-17    6.21508e-19
      1.24621    4.07849e-17    9.19266e-19
      1.25052    4.16611e-17    7.65213e-19
      1.25483    4.26833e-17    6.33846e-19
      1.25915    4.10793e-17    1.24277e-18
      1.26346    4.17933e-17    2.24605e-18
      1.26777    4.38128e-17    2.88816e-18
      1.27209    4.72930e-17    3.27173e-18
      1.27641    4.48423e-17    1.49117e-18
      1.28072    4.18794e-17    1.37516e-18
      1.28504    4.23498e-17    6.65213e-19
      1.28936    4.72710e-17    2.27259e-18
