#
# Generated by G. Mace, Wed Mar 14 15:43:42 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6464994    4.0137E-01    1.0978E+00
   0.6486512   -4.9720E-01    1.1083E+00
   0.6507932    2.2389E-01    1.0963E+00
   0.6529264   -1.9990E+00    1.0123E+00
   0.6550519    1.5055E-01    9.4465E-01
   0.6571705   -2.3620E-01    8.5362E-01
   0.6592830    3.5807E-01    7.9001E-01
   0.6613905    4.0339E-02    7.6897E-01
   0.6634938    3.6006E-01    8.0936E-01
   0.6655936    3.2582E-01    7.4020E-01
   0.6676909    5.8830E-01    7.2873E-01
   0.6697864    2.2027E-01    6.9948E-01
   0.6718810   -1.0800E+00    7.0599E-01
   0.6739753   -4.1831E-01    6.5416E-01
   0.6760702   -7.3474E-01    6.4628E-01
   0.6781664   -8.6285E-01    5.9380E-01
   0.6802646   -8.8070E-01    5.9427E-01
   0.6823655   -5.1650E-01    5.5674E-01
   0.6844698   -8.3009E-01    5.7505E-01
   0.6865780   -6.6684E-02    5.6382E-01
   0.6886910   -2.3591E-02    5.3143E-01
   0.6908092    8.7607E-01    5.1552E-01
   0.6929334    6.6248E-01    4.8944E-01
   0.6950640    7.4980E-01    4.4478E-01
   0.6972018   -2.1996E-02    4.4431E-01
   0.6993471   -3.5198E-01    4.0791E-01
   0.7015007    5.4994E-01    3.9491E-01
   0.7036630    2.8504E-01    3.6566E-01
   0.7058345   -2.3283E-02    3.5143E-01
   0.7080157    4.9928E-01    3.3652E-01
   0.7102072    2.8721E-01    3.4060E-01
   0.7124093    3.2024E-01    3.1432E-01
   0.7146226    3.0997E-01    3.1485E-01
   0.7168474   -5.3039E-01    3.0665E-01
   0.7190843    2.3086E-01    3.1254E-01
   0.7213336    6.8069E-01    2.8353E-01
   0.7235957   -2.0991E-01    2.7225E-01
   0.7258710   -8.6077E-02    2.6138E-01
   0.7281598    9.9730E-02    2.6487E-01
   0.7304626    6.7526E-02    2.4201E-01
   0.7327797   -3.2973E-01    2.4231E-01
   0.7351114   -3.6887E-01    2.2230E-01
   0.7374580    4.0155E-01    2.2087E-01
   0.7398198   -1.2958E-01    2.0817E-01
   0.7421973   -1.6475E-02    2.0332E-01
   0.7445905   -2.1203E-01    1.8317E-01
   0.7469998   -2.1358E-01    1.9010E-01
   0.7494255    9.9722E-03    1.7363E-01
   0.7518678   -5.2755E-02    1.7396E-01
   0.7543269    8.3456E-02    1.6325E-01
   0.7568031    1.1657E-01    1.8537E-01
   0.7592966   -2.2522E-01    2.0313E-01
   0.7618076   -3.3504E-01    2.1921E-01
   0.7643363   -2.7263E-02    1.9268E-01
   0.7668829   -3.0205E-01    1.7416E-01
   0.7694475   -2.3232E-02    1.4556E-01
   0.7720304   -2.3236E-01    1.4773E-01
   0.7746316   -1.9174E-01    1.4420E-01
   0.7772513    2.0019E-01    1.3987E-01
   0.7798897   -3.3143E-01    1.3209E-01
   0.7825469    2.2601E-01    1.3151E-01
   0.7852230    1.3023E-01    1.2745E-01
   0.7879181    2.1515E-02    1.2920E-01
   0.7906323   -1.6987E-01    1.2246E-01
   0.7933658    2.3192E-01    1.2137E-01
   0.7961185   -1.6581E-02    1.1731E-01
   0.7988905    1.2475E-01    1.1834E-01
   0.8016821    1.3746E-01    1.1247E-01
   0.8044931   -8.1692E-03    1.0989E-01
   0.8073236   -3.4405E-04    1.0808E-01
   0.8101737   -1.4666E-01    1.0817E-01
   0.8130435    1.2937E-02    1.0466E-01
   0.8159329    2.0163E-01    1.0596E-01
   0.8188419   -5.1196E-02    1.0197E-01
   0.8217707   -6.4193E-02    1.0247E-01
   0.8247191   -1.7463E-01    9.8005E-02
   0.8276873    9.9313E-02    9.5855E-02
   0.8306751    2.7091E-02    9.4468E-02
   0.8336826   -1.0692E-01    9.4926E-02
   0.8367097    5.5736E-02    9.0327E-02
   0.8397565   -1.4719E-01    9.3226E-02
   0.8428229    1.4224E-02    8.6841E-02
   0.8459088   -3.6964E-02    8.8334E-02
   0.8490143    1.2671E-01    8.0667E-02
   0.8521392    1.5175E-01    7.7675E-02
   0.8552834    3.4485E-02    7.5612E-02
   0.8584471    8.3801E-02    7.4840E-02
   0.8616301    4.5840E-02    7.2495E-02
   0.8648322    5.7062E-03    7.3490E-02
   0.8680535   -2.7376E-02    7.3039E-02
   0.8712938    3.5931E-02    7.1069E-02
   0.8745531    2.5725E-02    6.9815E-02
   0.8778313    4.9943E-02    7.1074E-02
   0.8811283    7.6226E-02    7.1579E-02
   0.8844439    8.7195E-02    7.0520E-02
   0.8877781    1.5778E-01    6.8413E-02
   0.8911308    1.9502E-02    7.0118E-02
   0.8945018    1.1168E-01    6.7696E-02
   0.8978910   -1.1926E-01    7.0216E-02
   0.9012985    7.6287E-02    6.4199E-02
   0.9047238    5.6243E-02    6.1563E-02
   0.9081671    1.5695E-01    5.9987E-02
   0.9116280    1.4185E-01    6.0339E-02
   0.9151065    5.0339E-02    5.7504E-02
   0.9186025    1.1378E-01    5.8107E-02
   0.9221159    8.1597E-02    5.4017E-02
   0.9256463    8.2709E-02    5.7483E-02
   0.9291938    1.8233E-02    6.4539E-02
   0.9327582    9.9368E-02    7.0458E-02
   0.9363393   -3.5687E-02    7.2771E-02
   0.9399368   -4.0997E-02    7.1372E-02
   0.9435508    1.5641E-01    6.7682E-02
   0.9471811    9.3573E-02    6.6387E-02
   0.9508274    1.5139E-01    6.3046E-02
   0.9544896    1.8382E-01    5.8929E-02
   0.9581675    1.6126E-01    5.2711E-02
   0.9618610    2.5065E-02    5.0091E-02
   0.9655698    9.1292E-02    4.7445E-02
   0.9692938    1.1897E-01    4.7407E-02
   0.9730329    1.4121E-01    4.4728E-02
   0.9767867    1.1543E-01    4.5210E-02
   0.9805553    2.2683E-01    4.2170E-02
   0.9843383    2.2970E-01    4.2647E-02
   0.9881356    1.8546E-01    4.2809E-02
   0.9919471    2.0224E-01    4.5213E-02
   0.9957724    2.6120E-01    4.7565E-02
   0.9996114    2.2079E-01    4.7325E-02
   1.0034640    2.4360E-01    4.3634E-02
