#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	1185.0307909610995
6301.3125	1714.7192117517866
6302.6252734375	1950.5891820092934
6303.938320369467	2044.3371388709531
6305.251640852877	2224.78315244264
6306.565234944722	2247.7811052243646
6307.8791027020025	2217.5342900570604
6309.193244181732	2376.3549152961627
6310.5076594409375	2555.158568197031
6311.822348536654	2628.415310899166
6313.137311525933	2674.1877826634422
6314.452548465834	2709.570829543713
6315.768059413431	2682.357299071484
6317.083844425809	2697.122226871974
6318.399903560065	2722.613966737618
6319.716236873307	2672.5250255233773
6321.032844422655	2723.149100604805
6322.349726265244	2695.9667437924395
6323.666882458216	2438.7034054674236
6324.984313058728	2282.784074193236
6326.302018123949	2307.917801325438
6327.619997711058	2347.84153596306
6328.938251877249	2459.5992538427286
6330.256780679723	2648.617931558684
6331.575584175699	2707.3709743503678
6332.894662422402	2678.8904303910067
6334.214015477073	2783.7715698581387
6335.533643396964	2849.74616457376
6336.853546239339	2837.558383482897
6338.173724061472	2947.1721692323836
6339.494176920652	3182.770139453857
6340.814904874177	3456.1649514002993
6342.135907979359	3543.7902526707717
6343.457186293522	3626.3638010698814
6344.778739874001	3860.178833800263
6346.100568778142	3708.310070395898
6347.422673063304	3333.821362791742
6348.745052786858	3257.721873745974
6350.067708006189	3362.766065492047
6351.39063877869	3535.6928982629165
6352.713845161769	3311.142172550915
6354.037327212845	2823.182266308379
6355.3610849893485	2705.5935940513446
6356.685118548721	2624.0929322113416
6358.009427948419	2532.044451548901
6359.334013245908	2584.4700155226947
6360.658874498668	2600.348312332278
6361.984011764189	2607.72695745868
6363.309425099973	2640.479821457463
6364.635114563535	2743.921051765316
6365.961080212403	2862.0401853841877
6367.2873221041145	2909.3040321967505
6368.61384029622	2952.818774576005
6369.940634846282	3063.8322388413208
6371.267705811875	3122.233143092821
6372.595053250586	3113.059498545269
6373.922677220014	3181.918721393255
6375.250577777768	3346.283074287014
6376.578754981471	3478.977305042156
6377.907208888761	3600.137391388133
6379.235939557279	3547.9712220784586
6380.564947044686	3238.4129644786667
6381.894231408654	3049.6833397217133
6383.223792706865	2961.0527170386176
6384.553630997012	2926.7980706964186
6385.883746336804	2912.8040389488124
6387.2141387839565	2878.4827154888
6388.544808396204	2943.4250346525173
6389.875755231287	3034.8932267520377
6391.20697934696	3018.0990716366528
6392.53848080099	2909.8353898765517
6393.870259651158	3183.484009949451
6395.202315955253	3718.675105246426
6396.534649771077	3969.979675126769
6397.867261156446	4046.0629273328436
6399.2001501691875	4065.7943656258653
6400.533316867139	4071.288104391798
6401.866761308153	3946.8999623731
6403.200483550093	4006.7303432507465
6404.534483650832	4770.741007268627
6405.868761668259	5527.123008621086
6407.2033176602745	5884.433897208263
6408.5381516847865	6017.27870362016
6409.873263799722	5873.687537379405
6411.2086540630135	5721.571943940693
6412.544322532611	5479.91945583626
6413.880269266471	4999.519364281395
6415.216494322568	4748.6208861176465
6416.552997758886	4840.204207114391
6417.8897796334195	5217.892073575549
6419.226840004177	5315.9568846508455
6420.5641789291785	4734.120736859054
6421.9017964664545	4150.8242450078615
6423.239692674053	3834.7089401064027
6424.577867610025	3977.5760759378645
6425.9163213324455	4248.938354176646
6427.25505389939	4365.101869132865
6428.594065368952	4556.070614741423
6429.933355799238	4709.214800785887
6431.272925248362	4766.782488191981
6432.612773774456	4867.4385895391115
6433.9529014356585	5117.745652306108
6435.293308290125	5556.473998230786
6436.63399439602	6215.874025568157
6437.974959811519	6502.497161437586
6439.316204594813	6136.186594845539
6440.657728804104	5829.594391640353
6441.999532497605	6221.34447707673
6443.341615733541	7041.63742659994
6444.683978570154	7711.1367937198
6446.026621065689	8003.102946475952
6447.369543278411	7691.472929288736
6448.7127452665945	6971.780206865537
6450.056227088525	6289.019470850451
6451.399988802502	6161.916275740141
6452.744030466836	6397.791209224309
6454.088352139851	6580.115194488531
6455.43295387988	6680.654121950705
6456.777835745272	6803.80774599983
6458.122997794385	7152.879262326406
6459.468440085592	7222.951212624514
6460.814162677278	7012.024867895998
6462.160165627836	7154.552791493182
6463.506448995675	7174.355436034011
6464.853012839217	7263.834925438693
6466.199857216891	8295.125772542484
6467.546982187145	9050.751649959791
6468.894387808435	9355.305876334522
6470.242074139227	10193.571533761902
6471.590041238007	10529.418215291473
6472.938289163264	9860.296133141395
6474.286817973508	9026.21495254481
6475.6356277272525	7503.96774040619
6476.984718483029	6032.407923610753
6478.334090299379	6181.58984083575
6479.683743234858	6579.696275277246
6481.033677348033	5783.96342520835
6482.38389269748	4710.885428522555
6483.734389341793	4307.623162576688
6485.085167339573	4314.487578317757
6486.436226749436	4444.7096278672325
6487.787567630007	4617.279641264503
6489.139190039932	4773.728630783796
6490.491094037857	4981.463796160036
6491.843279682447	5199.6601728295145
6493.195747032382	5331.708577106785
6494.548496146348	5512.68595942658
6495.901527083045	5471.075513635285
6497.254839901187	5041.9871344914945
6498.6084346595	4724.3766129286005
6499.962311416722	4672.3993602067985
6501.316470231601	4682.67224504204
6502.670911162898	4931.473531169408
6504.025634269391	5225.656145631878
6505.3806396098635	5415.194786582329
6506.735927243117	5761.790578269284
6508.091497227958	5941.085731644008
6509.447349623215	5375.184925787992
6510.80348448772	4881.271878632967
6512.159901880322	5212.162672622288
6513.51660185988	5449.6138562377455
6514.873584485267	5140.468888523596
6516.23084981537	4905.580694315694
6517.58839790908	4976.080301600754
6518.946228825313	5186.014523707865
6520.304342622985	5397.2482556278865
6521.662739361031	5459.6107517484825
6523.021419098398	5609.6928775788965
6524.380381894044	6025.730773614897
6525.739627806938	6512.617582314067
6527.099156896065	6841.045184546061
6528.458969220418	6824.986785039673
6529.819064839006	6722.82783279013
6531.179443810848	7175.7268825989895
6532.540106194976	7991.406721039327
6533.9010520504335	8231.557894861491
6535.262281436278	8359.123894591767
6536.6237944115765	8988.689978518987
6537.985591035413	9365.920945749578
6539.347671366879	9182.341777431116
6540.71003546508	9268.83646516073
6542.072683389135	9845.163297301793
6543.435615198176	9440.850116062915
6544.798830951341	7962.629333283196
6546.162330707791	6896.113302652828
6547.526114526688	6958.786894480197
6548.890182467215	7317.672143575377
6550.254534588562	7099.526994303319
6551.619170949934	6622.853513454676
6552.984091610549	6196.662356819595
6554.349296629635	5893.857335149077
6555.7147860664345	5846.9825013615255
6557.080559980198	6284.34660979654
6558.446618430195	6865.62574711037
6559.8129614757	7137.694509213559
6561.1795891760075	7300.849367302246
6562.54650159042	7121.393824799892
6563.913698778251	6234.106202878935
6565.281180798831	5407.4992678544495
6566.648947711497	5316.054649131685
6568.016999575604	5293.371802841322
6569.385336450516	5144.163702655195
6570.753958395609	5369.258449173864
6572.122865470276	5943.645679149164
6573.492057733915	6373.637622138593
6574.861535245943	6392.211753370532
6576.231298065786	6317.025949028957
6577.601346252884	6282.634191238133
6578.971679866686	6019.536477900311
6580.342298966659	5358.088435208901
6581.7132036122775	4925.454881884088
6583.08439386303	5336.402602016643
6584.455869778419	6002.397075255231
6585.827631417956	6292.301215370441
6587.199678841168	6451.725518820025
6588.572012107595	6748.942992206538
6589.944631276783	7395.237059715284
6591.3175364083	7832.727317408653
6592.690727561718	7247.828898268105
6594.064204796627	6286.3521297650195
6595.437968172626	5559.131171553948
6596.812017749329	5063.339564033683
6598.18635358636	5349.00245565722
6599.5609757433585	5988.6603013912345
6600.935884279972	6088.991777438144
6602.311079255864	5943.937504255479
6603.686560730708	5967.96577354022
6605.062328764195	5942.661632591998
6606.43838341602	5775.685110332767
6607.814724745898	5685.829975335018
6609.191352813554	5345.915576973047
6610.568267678725	4969.189037022344
6611.9454694011565	5003.522585014366
6613.322958040616	5197.307584484868
6614.700733656875	5289.231391384139
6616.07879630972	5201.335506836587
6617.457146058951	5219.747165171392
6618.835782964381	5404.841286748879
6620.214707085831	5110.845445788138
6621.593918483141	4655.591882068133
6622.973417216159	4598.186004677715
6624.353203344746	4539.45291215973
6625.733276928776	4435.131289196304
6627.113638028136	4223.570273413946
6628.494286702727	3918.874082613351
6629.8752230124555	3900.7415636344276
6631.25644701725	4134.003016006735
6632.637958777046	4515.668511159561
6634.019758351792	5006.05076805558
6635.401845801448	5148.242269593938
6636.784221185991	4595.819688655521
6638.166884565405	3779.618918500377
6639.54983599969	3498.9334149031715
6640.933075548856	3679.996011351801
6642.316603272929	3989.2917803447435
6643.700419231944	4273.8556913219645
6645.084523485952	4383.381747955258
6646.468916095012	4427.367132252594
6647.853597119198	4452.169534173398
6649.238566618597	4429.7442016406985
6650.623824653309	4136.469709970347
6652.009371283446	3425.015498536258
6653.39520656913	2785.8868220860936
6654.781330570499	2740.8027869034363
6656.167743347702	2958.7735539450846
6657.554444960899	3002.239350702635
6658.941435470266	3004.0487839079374
6660.328714935989	3086.7442277010728
6661.716283418268	3227.026592025252
6663.104140977314	3386.174500284416
6664.492287673351	3507.9160184511184
6665.880723566617	3607.7155792446765
6667.269448717359	3843.4145965271164
6668.658463185843	4090.9671961119247
6670.04776703234	4138.609491387924
6671.437360317139	4118.796557917319
6672.827243100539	4147.685433892739
6674.21741544285	4310.456949642442
6675.607877404403	4419.537300825778
6676.998629045529	4208.578964065586
6678.389670426579	4007.9168350848954
6679.781001607919	3870.8315374317076
6681.17262264992	3444.999633674442
6682.564533612973	2877.9909968723414
6683.956734557476	2496.579607068072
6685.349225543842	2453.4883172071
6686.742006632498	2611.947245095437
6688.135077883879	2838.0144688693176
6689.528439358438	3122.9286671970053
6690.9220911166385	3340.3809083989363
6692.316033218955	3301.3931721345375
6693.710265725876	3047.643237093695
6695.104788697902	2836.0411928572767
6696.4996021955485	2860.227814021672
6697.894706279339	3034.6008202664248
6699.290101009814	3172.3431674347853
6700.685786447524	3301.2497513304615
6702.081762653035	3425.8131964964655
6703.478029686921	3551.5425378540563
6704.874587609773	3648.40035255817
6706.27143648219	3709.1279637870603
6707.668576364793	3818.401119629622
6709.066007318201	3745.841102076315
6710.46372940306	3633.8126602153375
6711.861742680019	3765.6266683443237
6713.260047209744	3844.938767659661
6714.658643052912	3603.4966786280065
6716.0575302702155	3116.5698225593032
6717.4567089223565	2719.6058743646795
6718.856179070049	2484.1757670952447
6720.255940774021	2299.675105337566
6721.6559940950165	2287.3328042429225
6723.056339093787	2347.5349643417176
6724.456975831098	2415.6306989037203
6725.85790436773	2607.8659637656815
6727.259124764472	2762.6261682514637
6728.660637082132	2853.5616346051643
6730.062441381524	2901.338918512055
6731.464537723479	2881.6421947413583
6732.866926168839	2953.273835059429
6734.269606778457	3134.724889265091
6735.672579613203	3229.4566985944716
6737.075844733956	3203.636342326846
6738.4794022016085	3250.174899296792
6739.883252077068	3338.3233311761746
6741.2873944212515	3341.499794483725
6742.691829295089	3253.6287447866803
6744.096556759525	3213.7577975414015
6745.5015768755175	3356.9168792074856
6746.906889704033	3443.1803789170353
6748.312495306054	3173.134889580272
6749.718393742578	2790.556844199255
6751.124585074607	2793.6276285745107
6752.531069363165	2978.6370285726402
6753.937846669282	2939.7409434332744
6755.344917054005	2846.9018154068453
6756.752280578391	2949.882754010102
6758.159937303512	3147.9646041608303
6759.567887290451	3288.534778958443
6760.976130600304	3370.643360505447
6762.384667294178	3423.6527058355964
6763.793497433198	3426.9410670111643
6765.202621078498	3434.683601116667
6766.612038291223	3623.3554735992598
6768.021749132533	3930.526123990742
6769.431753663604	4178.945535419323
6770.842051945616	4250.895317660199
6772.252644039771	4120.801802103351
6773.66353000728	4037.2158510934305
6775.074709909365	4277.872689116381
6776.486183807264	4626.839694637204
6777.897951762223	4645.678216936336
6779.310013835508	4443.666930017644
6780.722370088391	4397.731666684092
6782.135020582158	4175.837434931121
6783.547965378113	3414.3644752456794
6784.961204537568	2824.4765054397844
6786.374738121846	2807.578968046615
6787.788566192289	2938.664700839915
6789.2026888102455	3036.245624517482
6790.617106037082	3113.5344577349365
6792.031817934173	3189.127463875471
6793.446824562909	3315.8600710622263
6794.862125984693	3393.239965527247
6796.27772226094	3579.916218854818
6797.693613453079	3929.5172658686342
6799.109799622548	4020.1433069201007
6800.5262808308025	3790.18750287486
6801.9430571393095	3726.77189209405
6803.360128609546	4047.690615351742
6804.777495303007	4354.507230049448
6806.195157281196	4496.407756557306
6807.6131146056305	4642.732560272633
6809.031367337839	4684.375377093084
6810.449915539369	4694.873653722927
6811.868759271772	4772.9732607772385
