#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	61984.84453447569
6301.3125	91301.6557595389
6302.6252734375	105787.01094632407
6303.938320369467	108392.35839593799
6305.251640852877	111993.19582265332
6306.565234944722	110934.00119588243
6307.8791027020025	109976.06854146773
6309.193244181732	115012.84318759451
6310.5076594409375	119050.89334210743
6311.822348536654	120410.26470916417
6313.137311525933	124021.51928913212
6314.452548465834	126529.3563767338
6315.768059413431	123950.84667555388
6317.083844425809	123632.71578964367
6318.399903560065	126334.15272684518
6319.716236873307	126417.81198849058
6321.032844422655	126808.16600368898
6322.349726265244	126401.29387109641
6323.666882458216	121942.73041973483
6324.984313058728	119803.43774518752
6326.302018123949	121941.1521960748
6327.619997711058	122677.59187203128
6328.938251877249	124858.18066783196
6330.256780679723	129690.24449180925
6331.575584175699	130446.38107261987
6332.894662422402	129401.32799786984
6334.214015477073	132175.28793963266
6335.533643396964	133443.6982752917
6336.853546239339	132731.50630442888
6338.173724061472	134736.8848971314
6339.494176920652	138215.12120150204
6340.814904874177	142946.23071767265
6342.135907979359	145678.05020813338
6343.457186293522	148536.591093991
6344.778739874001	151839.0263097784
6346.100568778142	143451.78265187913
6347.422673063304	133498.4656745543
6348.745052786858	135453.76438053322
6350.067708006189	140678.80747116514
6351.39063877869	145590.7887093614
6352.713845161769	142168.21550980836
6354.037327212845	133040.03470304716
6355.3610849893485	130931.30754086253
6356.685118548721	127722.60991185656
6358.009427948419	123004.70905055388
6359.334013245908	121805.66857162477
6360.658874498668	121707.26892986875
6361.984011764189	124303.14946504316
6363.309425099973	126050.13012747027
6364.635114563535	126389.24879784319
6365.961080212403	127684.39864635404
6367.2873221041145	129547.78104654344
6368.61384029622	131553.30494685247
6369.940634846282	131827.15209049534
6371.267705811875	130392.55505952335
6372.595053250586	130665.7526868068
6373.922677220014	133814.267736967
6375.250577777768	135554.14674182457
6376.578754981471	133247.69451862335
6377.907208888761	131814.6776339842
6379.235939557279	130311.8216077209
6380.564947044686	124817.09398126125
6381.894231408654	120881.47851694567
6383.223792706865	118391.00444786316
6384.553630997012	117575.71854038401
6385.883746336804	121091.33627305512
6387.2141387839565	124761.94648462122
6388.544808396204	125118.40940512276
6389.875755231287	124313.99744407408
6391.20697934696	120525.6813478305
6392.53848080099	114321.88719851823
6393.870259651158	120921.80226861894
