#wavelength	surface flux
0.676892	69205767.21429107
0.678297	67380737.39919433
0.679702	63897287.618664406
0.681109	60778586.74948604
0.682517	61835305.766622454
0.683926	81916237.4570493
0.685337	80015969.60938911
0.686749	65617020.71162847
0.688164	70577484.86129197
0.689581	96295116.38884118
0.691	119308654.8848273
0.692422	112355119.63079645
0.693847	166698336.6110672
0.695274	215201013.80267656
0.696705	249690343.08952752
0.698139	181378310.60138923
0.699576	177338249.54254735
0.701017	213405832.3200787
0.702461	304894046.94958776
0.70391	292947852.1582937
0.705362	283568667.50018376
0.706819	103281272.2488946
0.70828	175313784.26019585
0.709745	119816135.78410988
0.711216	75871264.53575416
0.71269	71814368.32135911
0.71417	59486571.15901831
0.715655	111840016.06854957
0.717145	111824035.92663291
0.71864	100933581.36291976
0.72014	108523604.75186342
0.721647	192543754.0141431
0.723158	157046689.57218984
0.724676	245373600.54302287
0.726199	249306013.07607663
0.727728	188054279.31653923
0.729264	345614843.1909465
0.730805	480942481.75593716
0.732353	549484770.526148
0.733907	507354649.3572746
0.735468	330702353.7874847
0.737035	428103963.3713925
0.738609	367974730.53544056
0.74019	369256923.5891036
0.741777	337109944.8981734
0.743372	329604134.6875131
0.744973	264764594.98202568
0.746582	272206976.2439797
0.748197	293124044.97316206
0.74982	325285825.16235757
0.751451	309996535.01744217
0.753088	368178396.66902065
0.754734	415909932.12431127
0.756386	505968416.7797759
0.758047	470820166.35100317
0.759715	412379367.9374357
0.76139	528669103.481718
0.763074	369978009.4622929
0.764765	422763411.67918766
0.766464	155184736.8716714
0.768172	112679149.10341644
0.769887	134328933.27167615
0.77161	293573644.02353036
0.773341	221910889.14329717
0.775081	281808621.41158813
0.776829	548936047.3897569
0.778585	398057370.11902744
0.780349	492007261.8675766
0.782121	545339707.9402912
0.783902	339909866.5177007
0.785691	632360737.4289329
0.787489	569035530.4858177
0.789295	618079926.9015186
0.79111	585343435.9782997
0.792933	506696941.658041
0.794764	564135859.1014061
0.796604	615583170.004688
0.798453	632892282.8420758
0.80031	636073890.1924399
0.802176	635691271.885599
0.804051	658096623.7319117
0.805934	749529420.8324648
0.807826	789119019.8653948
0.809727	892980854.82191
0.811636	1035264580.4881059
0.813554	1272962954.5124962
0.81548	1367885949.254872
0.817416	1343926194.91471
0.81936	1019545678.7519369
0.821313	1142511491.8668773
0.823274	1516208139.7649708
0.825244	1535563137.4263828
0.827223	1301787030.8726106
0.829211	1325253680.9439697
0.831208	1235148510.3014235
0.833213	1109176013.1649334
0.835227	1241064271.549038
0.837249	1197013968.0384517
0.83928	1261867032.5886533
0.841321	1351337452.0506058
0.843369	1021743959.4529555
0.845427	609524944.0677305
0.847493	576558307.6505089
0.849567	682140726.3863742
0.851651	822456805.5891724
0.853742	621452588.9985867
0.855843	847021945.4358076
0.857952	665744064.1377705
0.86007	647789874.9218554
0.862196	664073220.8614503
0.864331	630082784.3014767
0.866474	621361853.8873006
0.868626	596886999.0042936
0.870786	677007063.5978307
0.872955	735702831.013351
0.875132	751606625.915776
0.877317	827599725.2279446
0.879511	1055111006.6227596
0.881713	1131345208.1111703
0.883923	1270659896.3684788
0.886142	1134363650.4709656
0.888369	796407404.3807793
0.890604	1100123240.5965514
0.892847	1147806121.7942107
0.895099	1302074099.8830802
0.897358	1438858129.2842963
0.899626	1277367620.3320377
0.901901	1553213284.367791
0.904185	1622967161.4802232
0.906476	1653163514.721264
0.908776	1699137401.562362
0.911083	1600437729.020053
0.913398	1738293275.100353
0.915721	2235193618.6003566
0.918051	2190743835.1701245
0.92039	2013191508.2878835
0.922736	1663791697.9418285
0.925089	1764396443.5202596
0.927451	1578147789.7978773
0.929819	1510547714.4003203
0.932195	1441785445.1415892
0.934579	1461088981.7459269
0.93697	1457539135.167528
0.939369	1553184239.046587
0.941774	1704305273.0153267
0.944187	1708594125.669534
0.946607	1871321015.1473393
0.949035	1917687817.0563257
0.951469	1938204365.5444016
0.953911	2063029957.9788969
0.956359	2122089934.8964891
0.958814	2139403047.7978966
0.961277	2194574118.421872
0.963746	2100697402.5316803
0.966222	2112669158.7214084
0.968705	2128500767.979819
0.971194	2050609060.3251529
0.97369	2089769941.946021
0.976193	1963020494.3424368
0.978702	2176848361.3866453
0.981217	1993831152.660681
0.983739	1984767440.963382
0.986268	2117273910.8609622
0.988802	2006712998.7337003
0.991343	1934937393.9861257
0.99389	1944743893.6637049
0.996444	2048042618.076109
0.999003	1683720048.4849937
1.00157	2204052082.108655
1.00414	2101464570.030913
1.00672	1944696839.5772293
1.0093	2018368201.6931427
1.01189	2087265662.8307216
1.01448	1809292189.3786108
1.01708	1507155716.8549845
1.01969	2128111758.1834466
1.0223	2220495549.9139485
1.02492	2036226192.333319
1.02754	1574904535.3231628
1.03017	1978824491.1241941
1.0328	2177265201.6107125
1.03544	2146415948.09912
1.03808	2176768698.2261705
1.04073	2306081827.7914147
1.04339	2263497249.5490956
1.04604	2257284131.671496
1.04871	2431190840.1285906
1.05138	2175732886.4630003
1.05405	2240834229.3788753
1.05673	2209818309.1981483
1.05941	2225268558.765127
1.0621	2370428664.3817544
1.06479	2393653251.4727135
1.06749	2451339741.0996914
1.07019	2665125844.735218
1.07289	2507509847.828606
1.0756	2527411381.9008307
1.07832	2414032337.0515776
1.08104	2323562987.588387
1.08376	2497532247.889454
1.08649	2447058012.156018
1.08922	2594632336.741055
1.09195	2311894112.035186
1.09469	2478819688.515896
1.09743	2238459949.2458315
1.10018	2172033884.633332
1.10293	2276069700.9374466
1.10568	2212302412.4021688
1.10844	2212009332.7901335
1.1112	2292895234.8720737
1.11396	2167092451.9868574
1.11673	2228314279.6749306
1.1195	2163433885.0018964
1.12228	2293062325.430348
1.12505	2396196229.820434
1.12783	2203695147.926509
1.13062	2404914077.3439884
1.13341	2218726488.214329
1.1362	2035329134.817545
1.13899	1803303367.5822153
1.14178	2052736929.9418385
1.14458	2275924059.0111485
1.14738	2298362297.003367
1.15019	2403652639.5738564
1.153	2397063995.697054
1.1558	2333384128.3425727
1.15862	2449299635.328463
1.16143	2177898065.4457383
1.16425	2324631563.4752665
1.16707	2333098383.4838314
1.16989	2065545755.4905193
1.17271	2323595500.4053774
1.17554	2138466512.9907157
1.17837	1923531368.9092786
1.1812	2268516043.6985273
1.18403	2384142006.9870176
1.18686	2245513178.052696
1.1897	2285418501.097806
1.19253	2221625384.9164786
1.19537	2350560450.376047
1.19822	2124417937.950711
1.20106	2360853325.5334387
1.2039	2253446218.0809054
1.20675	2262453818.8285446
1.2096	2307646677.774627
1.21245	2325612113.9146466
1.2153	2411014447.3470736
1.21815	2390371293.8399534
1.221	2405901905.6843753
1.22385	2301549107.7472534
1.22671	2454608710.5353303
1.22957	2377622038.4609637
1.23242	2412268807.131178
1.23528	2395798911.3018117
1.23814	2387900027.8884234
1.241	2231146053.6666436
1.24387	2202794046.665694
1.24673	2322271472.6127367
1.24959	2173299306.0925894
1.25245	2101782641.1607988
1.25532	2110800770.1371102
1.25818	2281996115.4913964
1.26105	2291617523.1158834
1.26392	2303254836.4675717
1.26678	2267573778.086251
1.26965	2332353760.3858633
1.27252	2371540450.9858932
1.27538	2384315875.870613
1.27825	2351301865.8505716
1.28112	2280724271.311286
1.28399	2248820383.569652
1.28686	2191451243.526436
1.28973	2112436269.0574894
1.2926	2209891795.027428
1.29546	2317335259.051192
1.29833	2338108360.26559
1.3012	2300491974.256121
1.30407	2279177876.37779
1.30694	2230667569.5389414
1.30981	2297893737.215411
1.31267	2197833431.14387
1.31554	2159033727.52018
1.31841	2290384927.4440613
1.32128	2303861012.76079
1.32414	2185020961.913893
1.32701	2046530893.2726068
1.32987	2131712276.350054
1.33274	1774854287.3260427
1.3356	1703252454.2407672
1.33847	1427439828.4140508
1.34133	1108185255.2994711
1.34419	1341402723.953327
1.34705	1544987633.6234713
1.34991	1810912084.5544631
1.35277	1905121332.5319688
1.35563	1664804065.1475658
1.35849	1648085255.773932
1.36135	1342850316.9602926
1.3642	1433276698.2623632
1.36706	1409670161.9675612
1.36991	1600267884.375904
1.37277	1627930256.536463
1.37562	1604969101.2482462
1.37847	1401543468.5530133
1.38132	1444748685.8277225
1.38417	1119087561.7361217
1.38701	1084048528.6495442
1.38986	1467160369.8570929
1.39271	1377223569.5416465
1.39555	1367376400.6341977
1.39839	1581766270.8272338
1.40123	1473832171.5937853
1.40407	1436503113.0902092
1.40691	1306828725.651768
