#wavelength	surface flux
0.676892	1048808572.3371251
0.678297	962720343.6604631
0.679702	970621309.956349
0.681109	1030864849.5036342
0.682517	1074388969.7691994
0.683926	1268471604.175357
0.685337	1153716086.0687912
0.686749	1073628635.1386547
0.688164	1057724523.2697285
0.689581	1301170537.0255923
0.691	1555298626.7314568
0.692422	1532762540.999812
0.693847	1734723062.9407141
0.695274	1863314808.8892734
0.696705	1948645335.6319337
0.698139	1799500642.9214902
0.699576	2112766920.0854645
0.701017	2092119236.227159
0.702461	2579464291.1198263
0.70391	2512233217.7058134
0.705362	2528337870.6763425
0.706819	1492997732.938221
0.70828	1919506426.9880886
0.709745	1550975309.9289572
0.711216	1249855800.2240634
0.71269	1135941149.6239257
0.71417	940763015.1501786
0.715655	1562223676.1965709
0.717145	1427014461.5429802
0.71864	1424112902.878306
0.72014	1373131236.7723708
0.721647	1944782254.42347
0.723158	1719018846.7790334
0.724676	2400929270.222105
0.726199	2501579884.0612264
0.727728	1993184209.2039714
0.729264	2705969103.245957
0.730805	3521713771.1314926
0.732353	3629821595.537451
0.733907	3591632172.1616006
0.735468	3351715082.4306397
0.737035	3706113280.7526493
0.738609	3870125251.2203026
0.74019	4428763940.774868
0.741777	4623701074.063119
0.743372	4430239025.6787405
0.744973	4448996413.236362
0.746582	4535433296.026774
0.748197	4719499067.154863
0.74982	4693966730.193056
0.751451	4819637780.019811
0.753088	4830494014.96832
0.754734	5012402960.742355
0.756386	5216830307.721612
0.758047	4893665065.020159
0.759715	4158210375.9303412
0.76139	4544782896.701394
0.763074	3458170993.643886
0.764765	4408650815.647716
0.766464	3249793437.1700044
0.768172	1865603316.4749913
0.769887	2343234982.1846256
0.77161	3085302119.2969103
0.773341	2370958184.530007
0.775081	2484454964.369532
0.776829	3641075943.6295238
0.778585	2828716443.2529354
0.780349	3296072247.66898
0.782121	3481648610.8719535
0.783902	2466296155.278195
0.785691	3767439578.6306505
0.787489	3585442319.1824083
0.789295	3820366672.661481
0.79111	3752596981.552872
0.792933	3452703829.1456747
0.794764	3763305900.672209
0.796604	4174996075.211925
0.798453	4505368029.054134
0.80031	4270985392.159666
0.802176	4742496936.621689
0.804051	4658090243.75642
0.805934	5035887798.210688
0.807826	4904593507.0234785
0.809727	4828879366.174991
0.811636	5195310441.14788
0.813554	5599836825.837765
0.81548	5794120407.142783
0.817416	5859434823.315795
0.81936	5740752693.658063
0.821313	5367386326.800624
0.823274	5781338612.286282
0.825244	5718275825.161749
0.827223	5397771279.938896
0.829211	5384848437.625213
0.831208	5158577159.733106
0.833213	4955802161.863514
0.835227	5113332953.4712715
0.837249	4769449444.534734
0.83928	5158047170.554204
0.841321	5253627234.135843
0.843369	4625823089.911308
0.845427	3971541989.0997066
0.847493	3888380586.5430293
0.849567	4053822552.796478
0.851651	4462766374.148906
0.853742	3958190950.5507526
0.855843	4757160053.980806
0.857952	4334128486.785123
0.86007	4719931884.662687
0.862196	4760552977.80118
0.864331	4542500559.764836
0.866474	4470235479.720487
0.868626	4506399655.770592
0.870786	5188090537.977926
0.872955	4867954625.592738
0.875132	5132486753.604082
0.877317	5224858366.912928
0.879511	5403028987.782847
0.881713	5451372677.9793005
0.883923	5432335033.940619
0.886142	4988151909.957159
0.888369	3962898991.0204325
0.890604	4766824063.8168955
0.892847	4917494019.822154
0.895099	5159280176.396225
0.897358	5284176332.360571
0.899626	5081854851.057627
0.901901	4870788760.185686
0.904185	5044354106.213755
0.906476	5366468531.846239
0.908776	5627729350.46366
0.911083	5408397232.449515
0.913398	5630040853.575656
0.915721	6026811190.654393
0.918051	5949448901.202989
0.92039	5774701446.717685
0.922736	5558931280.988142
0.925089	5683126519.4780035
0.927451	5522606765.0821705
0.929819	5477266491.877567
0.932195	5392822579.341048
0.934579	5332653295.635555
0.93697	5048775154.985611
0.939369	5464795709.387976
0.941774	5401146516.62424
0.944187	5546100433.13271
0.946607	5662155351.213295
0.949035	5710936855.829375
0.951469	5693271260.956432
0.953911	5720659321.93216
0.956359	5777776187.090073
0.958814	5923472641.637971
0.961277	5922909130.665442
0.963746	5814414131.1633835
0.966222	5634479872.395252
0.968705	5764316021.184743
0.971194	5615529379.646677
0.97369	5638903295.401075
0.976193	5614189029.818954
0.978702	5814076755.468083
0.981217	5558064087.119263
0.983739	5585086860.666292
0.986268	5676765505.837467
0.988802	5581013565.744227
0.991343	5722880227.037907
0.99389	5568564444.912526
0.996444	5699272015.329603
0.999003	5317098209.070986
1.00157	5797643567.410496
1.00414	5721772133.048202
1.00672	5499537978.1919
1.0093	5648536174.235019
1.01189	5729348124.898305
1.01448	5306920194.334216
1.01708	4987598561.631985
1.01969	5452647170.220246
1.0223	5709868953.672301
1.02492	5556565744.562799
1.02754	5122478529.745551
1.03017	5407335977.857284
1.0328	5567438352.029753
1.03544	5547315406.412622
1.03808	5600198215.452531
1.04073	5664980355.102264
1.04339	5432884949.147987
1.04604	5665052763.334693
1.04871	5779201567.082655
1.05138	5575557536.618694
1.05405	5622527587.368753
1.05673	5603399249.5820675
1.05941	5428471214.355189
1.0621	5605198852.285423
1.06479	5715657991.018126
1.06749	5684264860.714019
1.07019	5716491771.936675
1.07289	5221735905.486552
1.0756	5612537924.475018
1.07832	5556378675.97636
1.08104	5536733200.414326
1.08376	5545156373.032748
1.08649	5502555492.508685
1.08922	5406561218.172633
1.09195	5531050688.031276
1.09469	5593496736.562443
1.09743	5390224227.380507
1.10018	5299670171.790862
1.10293	5319365343.262868
1.10568	5336611180.464491
1.10844	5404618607.005339
1.1112	5467222019.463578
1.11396	5274869762.667284
1.11673	5341175416.935538
1.1195	5357965263.024949
1.12228	5418812625.409454
1.12505	5388294906.611991
1.12783	5219265022.181649
1.13062	5403185318.867406
1.13341	5298430360.458755
1.1362	5047936964.119506
