#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	619.5378604082731
6301.3125	917.6414706124232
6302.6252734375	1068.8347710281587
6303.938320369467	1072.2216827727414
6305.251640852877	1068.4590535076713
6306.565234944722	1065.5011685734698
6307.8791027020025	1062.7543897717696
6309.193244181732	1060.014885298518
6310.5076594409375	1057.3899212510762
6311.822348536654	1056.074673336262
6313.137311525933	1058.513152843535
6314.452548465834	1064.8829816544373
6315.768059413431	1072.7416865435082
6317.083844425809	1080.7176110561436
6318.399903560065	1088.6629267562525
6319.716236873307	1095.9200334642144
6321.032844422655	1100.400067024034
6322.349726265244	1101.0291619279983
6323.666882458216	1099.6480450273111
6324.984313058728	1097.985563716075
6326.302018123949	1096.3319190459051
6327.619997711058	1095.2156916410793
6328.938251877249	1097.2517520359531
6330.256780679723	1105.120417088168
6331.575584175699	1117.085747670654
6332.894662422402	1129.9636428537542
6334.214015477073	1142.865005200001
6335.533643396964	1155.4104358850377
6336.853546239339	1164.6864251568263
6338.173724061472	1165.8151682353218
6339.494176920652	1159.4200547939593
6340.814904874177	1150.5980923103332
6342.135907979359	1141.6379172403042
6343.457186293522	1132.8323262340618
6344.778739874001	1126.4461369688322
6346.100568778142	1128.35043847998
6347.422673063304	1140.3660417605076
6348.745052786858	1156.9714116506088
6350.067708006189	1174.084736383481
6351.39063877869	1191.1548750249556
6352.713845161769	1206.5886511060746
6354.037327212845	1213.8403113828494
6355.3610849893485	1207.73853427044
6356.685118548721	1193.3932885411778
6358.009427948419	1177.545093340326
6359.334013245908	1161.6828140967987
6360.658874498668	1146.7359011804845
6361.984011764189	1138.5691915140733
6363.309425099973	1145.1955496535757
6364.635114563535	1163.9852187232516
6365.961080212403	1186.1596296055016
6367.2873221041145	1208.4789989841754
6368.61384029622	1230.6331404156208
6369.940634846282	1250.654678117442
6371.267705811875	1264.2611343670103
6372.595053250586	1270.913663551265
6373.922677220014	1274.8406377600097
6375.250577777768	1278.5460522510616
6376.578754981471	1282.246599843977
6377.907208888761	1285.8209326013025
6379.235939557279	1288.8671844577077
6380.564947044686	1291.1589711273398
6381.894231408654	1293.043453346937
6383.223792706865	1294.8677346792604
6384.553630997012	1296.692626741609
6385.883746336804	1298.5583411585992
6387.2141387839565	1300.6766718200633
6388.544808396204	1303.2800987626033
6389.875755231287	1306.235208102305
6391.20697934696	1309.2718792078374
6392.53848080099	1312.3112865713176
6393.870259651158	1315.3828683228144
6395.202315955253	1318.7563061345486
6396.534649771077	1322.9071855167795
6397.867261156446	1327.8018216293594
6399.2001501691875	1332.949312523271
6400.533316867139	1338.113818205951
6401.866761308153	1343.2649966935955
6403.200483550093	1348.1684844737651
6404.534483650832	1352.175092500148
6405.868761668259	1355.0445424610964
6407.2033176602745	1357.3778217455454
6408.5381516847865	1359.6491445382344
6409.873263799722	1361.8998041908883
6411.2086540630135	1363.3780848345862
6412.544322532611	1360.865382011839
6413.880269266471	1351.632664535496
6415.216494322568	1338.0977657270703
6416.552997758886	1323.725555043124
6417.8897796334195	1309.339721374308
6419.226840004177	1295.4331436184095
6420.5641789291785	1285.3261646812139
6421.9017964664545	1283.8584117765379
6423.239692674053	1289.7448545196896
6424.577867610025	1297.7640774507536
6425.9163213324455	1305.8798137663418
6427.25505389939	1314.033282323644
6428.594065368952	1322.6621131478314
6429.933355799238	1332.766525514427
6431.272925248362	1344.5292148779247
6432.612773774456	1356.9771887942443
6433.9529014356585	1369.4906776394673
6435.293308290125	1381.9815012587242
6436.63399439602	1393.8353191986528
6437.974959811519	1402.8790200272254
6439.316204594813	1407.7401580028247
6440.657728804104	1410.2470580034894
6441.999532497605	1412.3823040156453
6443.341615733541	1414.5152454458405
6444.683978570154	1416.6545930485609
6446.026621065689	1418.8331391297602
6447.369543278411	1421.0891284696188
6448.7127452665945	1423.4033969543934
6450.056227088525	1425.7322727101678
6451.399988802502	1428.0621005852613
6452.744030466836	1430.4124331945186
6454.088352139851	1432.9674837957646
6455.43295387988	1436.0720220425692
6456.777835745272	1439.7217393110648
6458.122997794385	1443.5652866404807
6459.468440085592	1447.422893221051
6460.814162677278	1451.255125703243
6462.160165627836	1454.5911875815652
6463.506448995675	1456.0482011587549
6464.853012839217	1455.0313160735366
6466.199857216891	1452.796086185428
6467.546982187145	1450.406965684731
6468.894387808435	1448.0057789907273
6470.242074139227	1445.152217380017
6471.590041238007	1439.8602836500272
6472.938289163264	1430.3203530571739
6474.286817973508	1417.9646201602197
6475.6356277272525	1405.0311473564348
6476.984718483029	1392.0836433803668
6478.334090299379	1379.0291038642706
6479.683743234858	1365.0906141672576
6481.033677348033	1349.0638922314376
6482.38389269748	1331.1975830539384
6483.734389341793	1312.7723794193685
6485.085167339573	1294.3163981440791
6486.436226749436	1276.0610997464983
6487.787567630007	1260.6672046257722
6489.139190039932	1254.5585081458603
6490.491094037857	1259.273393044445
6491.843279682447	1268.652921708215
6493.195747032382	1278.501647817999
6494.548496146348	1288.3384801983468
6495.901527083045	1297.7623327725462
6497.254839901187	1305.2632420449556
6498.6084346595	1309.8029342343107
6499.962311416722	1312.625794053458
6501.316470231601	1315.167824111607
6502.670911162898	1317.7089442304173
6504.025634269391	1320.3130100278568
6505.3806396098635	1323.3400406441049
6506.735927243117	1327.2348257443923
6508.091497227958	1331.8039715560672
6509.447349623215	1336.5473398854024
6510.80348448772	1341.2977245002355
6512.159901880322	1346.0451638305701
6513.51660185988	1350.7489501971804
6514.873584485267	1355.3270461131228
6516.23084981537	1359.7751886288113
6517.58839790908	1364.1757750689246
6518.946228825313	1368.573736605197
6520.304342622985	1372.9865460849767
6521.662739361031	1377.6802028118027
6523.021419098398	1383.4742369627036
6524.380381894044	1390.7676147368827
6525.739627806938	1398.8317139523979
6527.099156896065	1407.0025166214193
6528.458969220418	1415.1526607195863
6529.819064839006	1422.1857906421524
6531.179443810848	1422.798868619235
6532.540106194976	1411.755261701802
6533.9010520504335	1392.6990887634608
6535.262281436278	1371.9237200337902
6536.6237944115765	1351.1102737445788
6537.985591035413	1330.7556258892785
6539.347671366879	1314.4512614963267
6540.71003546508	1308.0241981224058
6542.072683389135	1310.5739786388942
6543.435615198176	1315.9717377521727
6544.798830951341	1321.5274406589695
6546.162330707791	1327.0849822904652
6547.526114526688	1332.6540580643718
6548.890182467215	1338.2594016628718
6550.254534588562	1343.9081915671884
6551.619170949934	1349.5770126953073
6552.984091610549	1355.2490059765082
6554.349296629635	1360.9150296059586
6555.7147860664345	1366.3569675152748
6557.080559980198	1370.7112354411659
6558.446618430195	1373.325055901952
6559.8129614757	1374.8824533264285
6561.1795891760075	1376.2513848313902
6562.54650159042	1377.617149641609
6563.913698778251	1378.8718873987054
6565.281180798831	1379.320002363516
6566.648947711497	1378.0332868171552
6568.016999575604	1375.3414184052222
6569.385336450516	1372.2676037810868
6570.753958395609	1369.1784160096952
6572.122865470276	1366.252505550549
6573.492057733915	1365.2652198695132
6574.861535245943	1369.9391738665154
6576.231298065786	1380.6287270727528
6577.601346252884	1393.6344456962402
6578.971679866686	1406.8285550921048
6580.342298966659	1419.999994299854
6581.7132036122775	1432.6143714876848
6583.08439386303	1442.9266677173061
6584.455869778419	1449.9817296086926
6585.827631417956	1455.2979579587986
6587.199678841168	1460.3624723707283
6588.572012107595	1465.4248100288817
6589.944631276783	1470.37820351968
6591.3175364083	1474.6656245493573
6592.690727561718	1477.6955099404724
6594.064204796627	1479.828125947431
6595.437968172626	1481.7577501591954
6596.812017749329	1483.6825092154577
6598.18635358636	1485.5301235412692
6599.5609757433585	1486.6564824822924
6600.935884279972	1485.9504405686193
6602.311079255864	1483.5144273098713
6603.686560730708	1480.5013012649072
6605.062328764195	1477.452444911652
6606.43838341602	1474.4261745947347
6607.814724745898	1471.7955029957284
6609.191352813554	1470.5761848914826
6610.568267678725	1471.123976402345
6611.9454694011565	1472.4929855986961
6613.322958040616	1473.9551002218868
6614.700733656875	1475.4168047443802
6616.07879630972	1476.851556805323
6617.457146058951	1478.1495945805345
6618.835782964381	1479.221560193387
6620.214707085831	1480.151517444352
6621.593918483141	1481.0548026129347
6622.973417216159	1481.9574259048454
6624.353203344746	1482.7843162317008
6625.733276928776	1483.0191716035804
6627.113638028136	1481.9278094741362
6628.494286702727	1479.7279593944488
6629.8752230124555	1477.2162843485983
6631.25644701725	1474.6914670760532
6632.637958777046	1472.2860918036806
6634.019758351792	1471.3891593876897
6635.401845801448	1475.0873559148897
6636.784221185991	1483.8662523027488
6638.166884565405	1494.7044857698136
6639.54983599969	1505.7291222435986
6640.933075548856	1516.734343063979
6642.316603272929	1527.1948306621634
6643.700419231944	1535.2820799080184
6645.084523485952	1539.8892186066373
6646.468916095012	1542.5761295916218
6647.853597119198	1544.9721815691705
6649.238566618597	1547.365595762577
6650.623824653309	1549.666236751659
6652.009371283446	1551.379410748341
6653.39520656913	1551.946503415123
6654.781330570499	1551.6659640396217
6656.167743347702	1551.1818672347804
6657.554444960899	1550.6917358424391
6658.941435470266	1550.247458858739
6660.328714935989	1550.264615355921
6661.716283418268	1551.5046436187265
6663.104140977314	1553.938911355394
6664.492287673351	1556.7871317286426
6665.880723566617	1559.6626629260215
6667.269448717359	1562.566019551647
6668.658463185843	1565.957283842262
6670.04776703234	1571.1457567994119
6671.437360317139	1578.659461226547
6672.827243100539	1587.301193600793
6674.21741544285	1596.083983772055
6675.607877404403	1604.855991971934
6676.998629045529	1613.120690170221
6678.389670426579	1618.6891461882635
6679.781001607919	1619.6334043854479
6681.17262264992	1617.5685538934113
6682.564533612973	1614.907181980757
6683.956734557476	1612.235130902652
6685.349225543842	1609.5475790219348
6686.742006632498	1606.7384243337087
6688.135077883879	1603.6488581392584
6689.528439358438	1600.3164835115049
6690.9220911166385	1596.9114419565014
6692.316033218955	1593.502237509165
6693.710265725876	1589.3672783986458
6695.104788697902	1575.3799990311852
6696.4996021955485	1530.0849550710846
6697.894706279339	1448.9595656864835
6699.290101009814	1352.7363095484886
6700.685786447524	1255.0528193867926
6702.081762653035	1157.684319612019
6703.478029686921	1069.4764944578035
6704.874587609773	1022.7327414667417
6706.27143648219	1038.8339889097165
6707.668576364793	1090.9613653079239
6709.066007318201	1148.9610741883148
6710.46372940306	1207.0198170384535
6711.861742680019	1264.6779754654456
6713.260047209744	1319.6111675221268
6714.658643052912	1369.0202752698658
6716.0575302702155	1414.2023006144952
6717.4567089223565	1458.3268537142358
6718.856179070049	1502.4255584431378
6720.255940774021	1546.2280749967501
6721.6559940950165	1586.741635855417
6723.056339093787	1618.1690691261554
6724.456975831098	1640.4250507767504
6725.85790436773	1659.3775101497229
6727.259124764472	1678.1016474435978
6728.660637082132	1696.7560176405223
6730.062441381524	1713.9993288006865
6731.464537723479	1725.81607395267
6732.866926168839	1730.3707421874692
6734.269606778457	1731.2704894989522
6735.672579613203	1731.6879943560175
6737.075844733956	1732.0994014423843
6738.4794022016085	1732.2947789988882
6739.883252077068	1731.2658005408186
6741.2873944212515	1728.0442359569035
6742.691829295089	1723.3385168097911
6744.096556759525	1718.3218720520206
6745.5015768755175	1713.3000439441469
6746.906889704033	1708.675061732933
6748.312495306054	1707.424943932934
6749.718393742578	1714.2470268490063
6751.124585074607	1728.290009356608
6752.531069363165	1744.582234690033
6753.937846669282	1760.9973237961406
6755.344917054005	1777.3988101430311
6756.752280578391	1793.5467015213583
6758.159937303512	1808.8425225700655
6759.567887290451	1823.1303376489263
6760.976130600304	1836.981663877898
6762.384667294178	1850.7921057208962
6763.793497433198	1864.574890800202
6765.202621078498	1877.4560059428923
6766.612038291223	1886.0706286498244
6768.021749132533	1887.9699115879253
6769.431753663604	1885.8534829085
6770.842051945616	1883.0335600250567
6772.252644039771	1880.204570622294
6773.66353000728	1877.3757055977633
6775.074709909365	1874.5513445035947
6776.486183807264	1871.737163222733
6777.897951762223	1868.930945604707
6779.310013835508	1866.126390880654
6780.722370088391	1863.321341979763
6782.135020582158	1860.5934126073894
6783.547965378113	1858.746034854601
6784.961204537568	1859.417906900467
6786.374738121846	1862.726751248293
6787.788566192289	1867.0358158346746
6789.2026888102455	1871.4247732109761
6790.617106037082	1875.8003044348454
6792.031817934173	1879.8676601634445
6793.446824562909	1882.6862242389118
6794.862125984693	1883.7698208747413
6796.27772226094	1883.9476145921722
6797.693613453079	1883.9994534121304
6799.109799622548	1884.048704022847
6800.5262808308025	1883.9885500246337
6801.9430571393095	1883.2852629707104
6803.360128609546	1881.3914566547812
6804.777495303007	1878.6608174263326
6806.195157281196	1875.7431110208993
6807.6131146056305	1872.820606689443
6809.031367337839	1870.0349174416851
6810.449915539369	1868.5107879852594
6811.868759271772	1870.1534588523728
6813.287898596622	1874.746299897121
6814.707333575495	1880.3036112079533
6816.12706426999	1885.9178022930428
6817.547090741715	1891.6056527314004
6818.967413052284	1898.4583396528699
6820.388031263337	1909.3454076078833
6821.808945436517	1925.1883826906849
6823.230155633484	1943.2972863060952
6824.651661915907	1961.66141892755
6826.073464345473	1979.9839635183237
6827.49556298388	1996.8036605868917
6828.917957892834	2006.186565778292
6830.340649134063	2003.465503567949
6831.763636769299	1993.2637529497176
6833.186920860294	1981.6868042256983
6834.610501468806	1970.0902200169653
6836.034378656611	1958.6783656603895
6837.458552485498	1948.6601675087145
6838.883023017267	1941.6851142083447
6840.307790313729	1937.2020538214256
6841.732854436711	1933.4042419455718
6843.158215448053	1929.6332556290374
6844.583873409604	1926.076578879067
6846.009828383232	1925.1318520888967
6847.436080430813	1931.9767507801969
6848.862629614236	1947.2755135506143
6850.289475995406	1965.923536372132
6851.716619636238	1984.861584452445
6853.144060598662	2003.7720999822825
6854.57179894462	2021.928496970596
6855.999834736067	2036.8752195849472
6857.428168034971	2047.2023891411131
6858.856798903312	2055.028427308608
6860.285727403084	2062.4861480861746
6861.7149535962935	2069.9390242697746
6863.144477544959	2077.1439688054397
6864.5742993111135	2082.8163196628284
6866.004418956804	2085.5499496747548
6867.434836544087	2086.145674810341
6868.865552135034	2086.2400047093993
6870.296565791729	2086.3204682453766
6871.72787757627	2086.5460448240465
6873.159487550764	2088.2114348189752
6874.591395777338	2093.6398233521963
6876.023602318125	2102.6848655928666
6877.456107235274	2112.954097319447
6878.888910590949	2123.300214047839
6880.322012447323	2133.5848182832237
6881.755412866582	2142.7954023828133
6883.18911191093	2148.150468543387
6884.623109642579	2148.6238723486217
6886.057406123754	2146.7854068266574
6887.492001416697	2144.671504473073
6888.926895583659	2142.5214972585354
6890.362088686906	2138.97281679934
6891.797580788715	2128.0722465437966
6893.233371951381	2104.7243576275555
6894.669462237203	2073.4145334724917
6896.105851708503	2040.5753212408242
6897.542540427609	2007.7115997620817
6898.979528456865	1975.5001870630845
6900.416815858628	1948.4610651371372
6901.854402695265	1933.1819710388681
6903.29228902916	1927.9404286944523
6904.730474922708	1925.6346414131892
6906.168960438317	1923.465683317999
6907.607745638409	1921.2722089742185
6909.0468305854165	1918.752928160169
6910.48621534179	1915.211073234842
6911.925899969986	1910.5153410024784
6913.365884532479	1905.3432313392673
6914.806169091757	1900.126972362212
6916.246753710318	1894.9456994247598
6917.687638450675	1890.6857698921942
6919.128823375352	1890.4894297526698
6920.570308546889	1896.3522962956627
6922.012094027836	1905.6399230098182
6923.454179880759	1915.477151522502
6924.896566168235	1925.319215107698
6926.339252952854	1935.0107821669926
6927.782240297219	1943.7073651672783
6929.225528263946	1950.4175361239834
6930.669116915669	1955.6319162798725
6932.113006315028	1960.4807813210589
6933.557196524675	1965.319654116224
6935.001687607285	1970.1916452981325
6936.446479625538	1975.3955636425387
6937.8915726421255	1981.4924728588348
6939.33696671976	1988.476242316986
6940.782661921161	1995.7757437142345
6942.228658309061	2003.0985519985516
6943.67495594621	2010.4133996818694
6945.121554895365	2017.5530522277938
6946.568455219301	2024.0282117688123
6948.015656980806	2029.62855736017
6949.463160242676	2034.7981514993567
6950.910965067728	2039.9141249252712
6952.359071518784	2045.0254262668086
6953.807479658683	2049.8962876793335
6955.256189550279	2053.4485235197303
6956.705201256435	2054.690474142634
6958.154514840031	2054.396883888408
6959.604130363956	2053.78851356838
6961.054047891116	2053.173370689032
6962.504267484427	2052.4514668588663
6963.954789206819	2050.8422970768806
6965.405613121237	2047.13993611725
6966.856739290638	2041.5900903785578
6968.30816777799	2035.4757157190363
6969.759898646277	2029.3316036085118
6971.211931958496	2023.1571284569193
6972.6642677776545	2016.5633334063768
6974.116906166776	2008.6086268246402
6975.569847188894	1999.0711419460463
6977.023090907059	1988.854855780874
6978.47663738433	1978.570034605029
6979.930486683786	1968.3067433896445
6981.3846388685115	1958.7065899760762
6982.83909400161	1952.174341816454
6984.293852146194	1950.3870496955085
6985.748913365391	1951.3844019429116
6987.204277722341	1952.854295659355
6988.659945280201	1954.3296523657875
6990.115916102135	1955.8218013801288
6991.572190251322	1957.4284386471036
6993.028767790958	1959.2716242094455
6994.485648784248	1961.298940670863
6995.942833294413	1963.3736499674303
6997.400321384683	1965.4504833634676
6998.858113118305	1967.6708344782417
7000.316208558537	1971.4590854431963
7001.774607768653	1979.6475328545168
7003.23331081194	1992.371541518911
7004.692317751692	2006.7854403437123
7006.151628651223	2021.3307891421255
7007.6112435738605	2035.822296820653
7009.071162582939	2049.1084627460045
7010.5313857418105	2057.593123525688
7011.9919131138395	2059.5257512391304
7013.452744762405	2058.116163715883
7014.913880750897	2056.263031109338
7016.375321142722	2054.415617279221
7017.837066001293	2052.9110003994147
7019.299115390043	2053.3549237699926
7020.761469372417	2057.3233759946424
7022.224128011869	2063.7161503181305
7023.687091371872	2070.6343913075775
7025.150359515908	2077.5653898335236
7026.613932507475	2084.2558344521017
7028.07781041008	2088.760197422754
7029.541993287248	2087.8639618985994
7031.0064812025175	2082.0304312409544
7032.471274219435	2074.63066003987
7033.936372401564	2067.1459132132686
7035.401775812481	2059.76458473617
7036.867484515776	2053.9838041302105
7038.33349857505	2053.6353723126604
7039.79981805392	2059.858508662237
7041.266443016016	2069.0380034122727
7042.733373524977	2078.540055824899
7044.200609644461	2088.0029879520066
7045.668151438137	2096.14311584365
7047.135998969687	2097.8639396326494
7048.604152302806	2089.3231862315215
7050.072611501203	2074.5754526330593
