#wavelength	surface flux
0.676892	331978.0169195215
0.678297	349789.01174191467
0.679702	367039.75660461147
0.681109	383949.03486196353
0.682517	400762.55355879286
0.683926	417390.10442394024
0.685337	433717.4701223287
0.686749	449897.8524559974
0.688164	465760.3648138918
0.689581	480387.5642105307
0.691	490448.0394746147
0.692422	497076.8180021503
0.693847	513151.03158461006
0.695274	531944.601413769
0.696705	549524.2562860926
0.698139	563360.9619142138
0.699576	574160.6686330748
0.701017	581998.0427696948
0.702461	589775.543301079
0.70391	600375.5461680932
0.705362	608169.3828537686
0.706819	613786.9723940578
0.70828	618545.1637345783
0.709745	620586.2722320934
0.711216	623133.9893996045
0.71269	620852.7547848313
0.71417	616183.5056980917
0.715655	604389.1880736434
0.717145	584119.9992036386
0.71864	574417.6565838872
0.72014	567694.9408376832
0.721647	561410.1782983817
0.723158	546829.1784197411
0.724676	527251.9611894948
0.726199	506585.7192212656
0.727728	489862.7322033501
0.729264	463857.3753511037
0.730805	440434.48415116867
0.732353	419473.55539958307
0.733907	394960.533483461
0.735468	368910.7133922275
0.737035	339072.4127221844
0.738609	309125.954999997
0.74019	282834.797859217
0.741777	253064.5957569311
0.743372	223273.27416191497
0.744973	194818.47613791487
0.746582	166916.83129191984
0.748197	140423.82287697247
0.74982	115299.74211934552
0.751451	92060.94603187918
0.753088	71623.54162086308
0.754734	53659.55604602641
0.756386	38487.41129795183
0.758047	26351.332471111222
0.759715	17116.32183978875
0.76139	10277.330068431678
0.763074	5532.940272783554
0.764765	2303.1403393298515
0.766464	604.387569816361
0.768172	843.5398676263611
0.769887	809.9157252148485
0.77161	3451.8765146624655
0.773341	8816.144837519772
0.775081	16910.109296182723
0.776829	28277.50310457272
0.778585	37976.31622451292
0.780349	46681.34153395407
0.782121	86300.93483045482
0.783902	128212.86700518864
0.785691	171112.9442495702
0.787489	220426.85265816606
0.789295	275312.6769834184
0.79111	326604.4942330907
0.792933	270828.3138199138
0.794764	141098.1378440681
0.796604	441125.1902920476
0.798453	646284.7316317626
0.80031	767686.1410735091
0.802176	883424.5211658293
0.804051	1005573.4655624642
0.805934	1131405.1531317027
0.807826	1256077.4381444673
0.809727	1363093.871157848
0.811636	1473733.5214871482
0.813554	1602882.292276849
0.81548	1797703.921621879
0.817416	1970760.0098654677
0.81936	2125584.9445768385
0.821313	2383133.996544093
0.823274	2541909.1921330704
0.825244	2807375.3715804615
0.827223	3043085.95518065
0.829211	3250180.0545529844
0.831208	3493035.3097890588
0.833213	3765548.726947503
0.835227	3959249.4384771353
0.837249	4228444.870605186
0.83928	4524245.016048
0.841321	4778227.535676441
0.843369	5168137.35925977
0.845427	5477059.787733766
0.847493	5916788.207865364
0.849567	5746984.67839287
0.851651	4393961.32137898
0.853742	5524347.997228688
0.855843	7412778.273348731
0.857952	8065687.969103235
0.86007	8423094.247555269
0.862196	8016990.451457057
0.864331	8392842.114003204
0.866474	9175517.653461618
0.868626	9745501.523292502
0.870786	10196969.7186543
0.872955	10664100.70046625
0.875132	11134292.357308285
0.877317	11830440.178890368
0.879511	12161391.12138457
0.881713	12548759.385798523
0.883923	13048369.501247816
0.886142	13767866.547862131
0.888369	13731251.86821006
0.890604	13228958.629313374
0.892847	10359392.99539706
0.895099	9986106.875441125
0.897358	14336121.774510406
0.899626	16786414.94147588
0.901901	18627289.02103685
0.904185	20385236.105917666
0.906476	20764095.86525299
0.908776	22008117.508067593
0.911083	22289545.022561915
0.913398	23381981.244177163
0.915721	23413982.667920806
0.918051	22231818.64548166
0.92039	24422826.265780248
0.922736	25913117.75538109
0.925089	22603294.948640734
