#wavelength	surface flux
0.676892	13387093.53337889
0.678297	13261186.37931491
0.679702	13230314.417529432
0.681109	13159137.284264982
0.682517	13817573.035678646
0.683926	13771587.343834275
0.685337	14185967.282661028
0.686749	14884036.062847238
0.688164	15382903.867100023
0.689581	14351813.876432406
0.691	13505279.23360303
0.692422	14577503.435474312
0.693847	15525969.31174814
0.695274	16320617.448187422
0.696705	16917436.453087106
0.698139	16978112.293191776
0.699576	17274873.85254567
0.701017	17884167.245377786
0.702461	17699771.822627183
0.70391	17640044.291550882
0.705362	17342369.54608157
0.706819	17413519.080088366
0.70828	17686517.842238907
0.709745	17722662.26747824
0.711216	17764442.38251604
0.71269	18192165.63474531
0.71417	18430486.08390916
0.715655	18852778.834864043
0.717145	19333964.897345904
0.71864	20083741.95663152
0.72014	20380467.7445987
0.721647	20555935.095643483
0.723158	21071747.90814718
0.724676	21294949.182188924
0.726199	21569019.78675919
0.727728	21087312.6264159
0.729264	20889600.142309386
0.730805	21613045.9353852
0.732353	22276786.57339932
0.733907	21976571.923760504
0.735468	19473901.065562103
0.737035	17854645.33353473
0.738609	17206737.9977219
0.74019	17216324.00493267
0.741777	16650457.250682395
0.743372	15560072.930856071
0.744973	14588093.685511593
0.746582	13838837.9152397
0.748197	12903236.061664075
0.74982	11808748.361450374
0.751451	10491313.000718342
0.753088	9013695.140234524
0.754734	7324235.573699576
0.756386	5536586.337477184
0.758047	3860716.3405325143
0.759715	2459177.4827083037
0.76139	1386630.4180272026
0.763074	661062.9637485822
0.764765	215582.58479757496
0.766464	30574.23948305966
0.768172	44384.5807305524
0.769887	50879.293278345416
0.77161	341890.2448045988
0.773341	1038433.2249985444
0.775081	2143680.047870389
0.776829	3651494.2468433673
0.778585	4725146.887705603
0.780349	5417537.464263432
0.782121	9768374.690578664
0.783902	13453238.605368536
0.785691	15683205.833850479
0.787489	17064055.36291488
0.789295	19138219.94312621
0.79111	20110094.928232554
0.792933	16101274.457450537
0.794764	8165173.846643506
0.796604	19832849.93859969
0.798453	24586648.49367962
0.80031	26010695.419017423
0.802176	28487079.832244694
0.804051	30710452.80205178
0.805934	32858326.328880064
0.807826	35302242.69901088
0.809727	37743846.34100567
0.811636	39972925.0563605
0.813554	42050752.46867126
0.81548	44176394.11164117
0.817416	44050924.97586437
0.81936	43547626.50483781
0.821313	48325041.29397727
0.823274	50312258.56308848
0.825244	52019410.80971602
0.827223	52981841.16895743
0.829211	53881596.97673797
0.831208	54999160.32904633
0.833213	56350525.77787914
0.835227	57279649.09952613
0.837249	58304123.94051889
0.83928	59333638.024499424
0.841321	60110086.83677732
0.843369	60633699.93135123
0.845427	59689476.69792775
0.847493	60835903.51871346
0.849567	61352987.87860632
0.851651	58593433.230940364
0.853742	60351616.92050055
0.855843	61596126.03113515
0.857952	61279007.17468614
0.86007	60905406.612330265
0.862196	48752924.532144316
0.864331	49444290.39358353
0.866474	54819009.74950393
0.868626	55967039.29634737
0.870786	55287654.086419396
0.872955	57007134.27510477
0.875132	58818200.35332911
0.877317	62520972.24847448
0.879511	61497698.130271785
0.881713	62385990.4268196
0.883923	65996399.374124944
0.886142	68652563.54529718
0.888369	67332513.9088726
0.890604	66004077.333948284
0.892847	68115671.21098344
0.895099	72729957.64032522
0.897358	77298465.0787312
0.899626	78360504.91183159
0.901901	81653212.75901084
0.904185	84038927.32498042
0.906476	84107368.0859009
0.908776	86277043.93033667
0.911083	87754921.10568805
0.913398	89794066.22306481
0.915721	89786256.1908979
