#wavelength	surface flux
0.676892	28322133.500627924
0.678297	29033922.508093357
0.679702	29066312.545966357
0.681109	30234838.986481786
0.682517	32150028.099978197
0.683926	34308572.94714597
0.685337	34953097.36196157
0.686749	36496619.316078566
0.688164	39643798.09316568
0.689581	41105592.890953675
0.691	40906036.88926291
0.692422	41134709.74637826
0.693847	45127886.90839604
0.695274	49679561.491875514
0.696705	52437660.43115681
0.698139	55051838.29017485
0.699576	55158204.63046956
0.701017	57467059.47883327
0.702461	61736798.1966836
0.70391	61470009.85525047
0.705362	43935920.518624544
0.706819	32444778.74751394
0.70828	33112329.66002647
0.709745	32116652.65123751
0.711216	32728466.776269484
0.71269	33103501.89840997
0.71417	32811418.64956104
0.715655	34256528.943379164
0.717145	35941118.58491624
0.71864	38471052.45652133
0.72014	40597031.13513373
0.721647	42424854.90693691
0.723158	45714241.58971368
0.724676	50265271.0732648
0.726199	55463950.14788343
0.727728	60041472.277684204
0.729264	67029210.54134706
0.730805	75657272.72519112
0.732353	84984309.547426
0.733907	92308584.81661871
0.735468	89315078.54741096
0.737035	86873816.88340814
0.738609	85538754.91957214
0.74019	89765873.19655563
0.741777	92321375.53735407
0.743372	85179514.04309323
0.744973	77380393.49011765
0.746582	81733234.51523012
0.748197	90346213.42345275
0.74982	94021971.5721841
0.751451	94875118.70150694
0.753088	103977601.63991308
0.754734	113838254.6600612
0.756386	119175704.24745299
0.758047	105886072.15604898
0.759715	75993713.99000958
0.76139	76086227.89355229
0.763074	70979288.24492617
0.764765	48404092.5489748
0.766464	16550174.655100157
0.768172	22787042.481157936
0.769887	16598740.875442185
0.77161	50752964.48502779
0.773341	75442456.2315881
0.775081	77563045.60521135
0.776829	80501291.43235712
0.778585	86407622.11765692
0.780349	95011595.6218271
0.782121	102575285.89419328
0.783902	103045521.21727471
0.785691	95240759.59412354
0.787489	81171745.6720651
0.789295	85158756.4466264
0.79111	80591625.3196696
0.792933	75911327.9563681
0.794764	69543492.31278712
0.796604	74705845.0751464
0.798453	74874757.81250438
0.80031	74808543.96451524
0.802176	89617181.7009865
0.804051	103551685.93833
0.805934	117283001.83706853
0.807826	134568647.6742411
0.809727	154624797.56768748
0.811636	173815548.45124948
0.813554	192202072.77207074
0.81548	210400878.39289764
0.817416	220455798.52338794
0.81936	214211808.59467155
0.821313	191507880.5038608
0.823274	195331924.28736135
0.825244	206147307.2208534
0.827223	192724108.6217509
0.829211	184571164.67276314
0.831208	185320173.6360792
0.833213	193181101.93627083
0.835227	194368627.05711707
0.837249	197405352.72594962
0.83928	200646943.81974462
0.841321	200151924.3311566
0.843369	184241330.17009756
0.845427	139652761.60813224
0.847493	139376317.57655004
0.849567	150979827.7822381
0.851651	156402173.71630213
0.853742	160726262.03303498
0.855843	158734526.1522669
0.857952	158288097.23215932
0.86007	165406051.2613237
0.862196	173049247.70248532
0.864331	171795745.741556
0.866474	169207249.07240266
0.868626	171069912.3098278
0.870786	177549778.10589725
0.872955	194055522.24488005
0.875132	203456530.62998065
0.877317	213844980.52508655
0.879511	227433759.08696818
0.881713	234071141.6466323
0.883923	248875624.81015423
0.886142	203256390.16201562
0.888369	172086286.30483568
0.890604	189403935.9412845
0.892847	200940234.1271483
0.895099	207050591.0614875
0.897358	226335535.70916143
0.899626	251006447.86692423
0.901901	270823755.0644627
0.904185	282676654.0310579
0.906476	298572590.69107944
0.908776	317974856.1521402
0.911083	333801765.2654645
0.913398	353513949.5941246
0.915721	376072883.30902255
0.918051	387712221.32691944
0.92039	362967875.0916648
0.922736	309567951.31843597
0.925089	294973289.8910982
0.927451	297346794.339463
0.929819	281979126.50369436
0.932195	286874239.3422602
0.934579	294347230.0864973
0.93697	295344630.56218714
0.939369	303385274.1398033
0.941774	316496754.3233222
0.944187	315745644.1683682
0.946607	319913526.9691075
0.949035	330968452.45358735
0.951469	333685444.7689254
0.953911	331830032.7506955
0.956359	335993620.3305377
0.958814	323841567.9888656
0.961277	321511487.38583153
0.963746	326525898.00389147
0.966222	341214550.47627825
0.968705	350749185.531095
0.971194	365567767.9305299
0.97369	350842974.6127258
0.976193	341723982.62444603
0.978702	361640139.9050984
0.981217	361196848.46717316
0.983739	359256834.3434011
0.986268	384287285.5067847
0.988802	380080700.43538773
0.991343	342480870.17710584
0.99389	366187246.0715605
0.996444	409062665.29696554
0.999003	406155212.3459175
1.00157	392878832.7533341
1.00414	395718201.0088605
1.00672	400847876.4315311
1.0093	422025883.63893974
1.01189	421916219.2929056
1.01448	421060766.1718814
1.01708	444684805.7247747
1.01969	455680706.6244185
1.0223	435830758.82364476
1.02492	437544474.5996813
1.02754	432347870.81492203
1.03017	442935851.53760564
1.0328	465527198.6941668
1.03544	492118780.696342
1.03808	500511468.5806606
1.04073	489478141.6608256
1.04339	473949702.6147383
1.04604	448961792.62053627
1.04871	417016080.3133896
1.05138	396124378.04456717
1.05405	379361797.94785994
1.05673	366821809.49192494
