#wavelength	surface flux
0.676892	70490.80126430684
0.678297	74793.64770113453
0.679702	79031.90998289258
0.681109	83250.89026193105
0.682517	87525.37150621582
0.683926	91785.12730687094
0.685337	95992.73114537902
0.686749	100190.02263014526
0.688164	104304.21105709097
0.689581	108196.37884133469
0.691	110932.57060610878
0.692422	112347.63124828273
0.693847	116502.93485981447
0.695274	121447.63725662776
0.696705	126300.77386289593
0.698139	130069.12332476811
0.699576	132878.0241679206
0.701017	134706.70926115866
0.702461	136719.81164815076
0.70391	139731.69481716183
0.705362	141801.5527762044
0.706819	143234.6738748436
0.70828	144503.69465965813
0.709745	144930.13317401244
0.711216	145585.34043065045
0.71269	144800.52437105967
0.71417	143303.43032593955
0.715655	139714.92410705093
0.717145	133376.28381214925
0.71864	130222.8310185639
0.72014	128533.51266091407
0.721647	127115.77815216448
0.723158	122807.09011445532
0.724676	117106.0241350487
0.726199	111320.9755314695
0.727728	106875.086395849
0.729264	99871.13438681832
0.730805	93788.83972537845
0.732353	88716.16028535964
0.733907	82570.44711411076
0.735468	76145.51363964827
0.737035	68854.98190342901
0.738609	61664.62182733572
0.74019	55578.53731245489
0.741777	48781.75021813891
0.743372	42203.1734357611
0.744973	36151.21813132319
0.746582	30383.98219509314
0.748197	25116.721873947914
0.74982	20308.635833945766
0.751451	16034.99247070946
0.753088	12442.210039329442
0.754734	9392.407157325992
0.756386	6886.311439757307
0.758047	4903.38657916157
0.759715	3365.671849358733
0.76139	2161.5539038749366
0.763074	1240.0356313089783
0.764765	547.5237850146256
0.766464	153.22708878436993
0.768172	214.81593793408308
0.769887	205.05887131474813
0.77161	816.0492214219356
0.773341	1970.4157752214567
0.775081	3546.7270639541593
0.776829	5634.356315204752
0.778585	7466.358834780225
0.780349	9187.850872108487
0.782121	16151.868418806918
0.783902	23857.55536462775
0.785691	32230.487020668254
0.787489	42363.260182263446
0.789295	54127.826268193
0.79111	65700.7855428043
0.792933	55604.66531854203
0.794764	30131.06449042095
0.796604	95434.85203477427
0.798453	144215.49612269533
0.80031	176127.91636196646
0.802176	207819.81208316216
0.804051	242255.4102010588
0.805934	278862.615927392
0.807826	316014.8470122038
0.809727	348064.8043041686
0.811636	380687.9422121174
0.813554	419397.4383793182
0.81548	482021.71408713295
0.817416	544002.5160636813
0.81936	602927.1469480695
0.821313	681248.5969433483
0.823274	730884.7027768814
0.825244	824502.4035528817
0.827223	908704.66804898
