#wavelength	surface flux
0.676892	6957269.382932838
0.678297	7264299.837026754
0.679702	7155787.064789946
0.681109	7037078.423266382
0.682517	7584018.791793489
0.683926	9139680.772157041
0.685337	8548721.750557546
0.686749	8246615.023935362
0.688164	7867003.06913992
0.689581	7958019.5079542175
0.691	9632572.204292456
0.692422	10470886.844445335
0.693847	9962138.348782923
0.695274	15789203.015923359
0.696705	22251896.33558397
0.698139	26478337.040049974
0.699576	26712045.20894347
0.701017	22028538.426183265
0.702461	32231635.079635724
0.70391	31006134.8767871
0.705362	20605971.673935153
0.706819	9564798.585385704
0.70828	12772452.07046136
0.709745	9563958.403926214
0.711216	9251435.436318744
0.71269	10126716.143545067
0.71417	8235625.142920398
0.715655	9040710.697420059
0.717145	9599190.927045545
0.71864	10757159.885730928
0.72014	10172087.121604925
0.721647	10801637.324769536
0.723158	12111937.16138676
0.724676	14591732.941920456
0.726199	18183413.14454728
0.727728	17181156.497391585
0.729264	34782959.268854715
0.730805	41377546.40433657
0.732353	46559480.14192503
0.733907	38232315.40189507
0.735468	40307242.59711973
0.737035	74092065.6971442
0.738609	69784309.8571857
0.74019	60598019.18360861
0.741777	50219548.805462666
0.743372	68041751.01862434
0.744973	40389697.27336471
0.746582	46505252.185058154
0.748197	61086736.11935645
0.74982	81983208.33488192
0.751451	75646884.71524529
0.753088	99385169.70795535
0.754734	114194380.60017717
0.756386	150773529.00596637
0.758047	136346949.86145365
0.759715	42492534.02987631
0.76139	43885696.24407609
0.763074	43176270.49015848
0.764765	24429241.453079112
0.766464	15992192.88707745
0.768172	17993823.233005315
0.769887	16472193.649189241
0.77161	20166291.532732327
0.773341	28591103.60590312
0.775081	31732479.31331054
0.776829	21062508.14231457
0.778585	26721290.21374849
0.780349	44151212.21313759
0.782121	48606243.84606974
0.783902	35410557.016332574
0.785691	40381263.72777112
0.787489	59941613.912611045
0.789295	66176376.72927863
0.79111	52125594.07728222
0.792933	55681555.12375192
0.794764	61400751.30546339
0.796604	105858991.03061897
0.798453	103521076.08125718
0.80031	88138892.6651663
0.802176	122778127.4752852
0.804051	157458007.02583098
0.805934	122477176.70726223
0.807826	219416396.8959917
0.809727	277513708.5785453
0.811636	368757639.7259593
0.813554	468724684.3945472
0.81548	511509590.33903223
0.817416	466455636.32550025
0.81936	309220360.52218395
0.821313	220780785.2988905
0.823274	272449471.8744241
0.825244	265759811.66490734
0.827223	237643273.4851087
0.829211	145103463.1653509
0.831208	110151992.51285805
0.833213	144588885.7959973
0.835227	164027591.29152903
0.837249	201266112.81885335
0.83928	159732723.25155377
0.841321	236382859.22840688
0.843369	144534649.3258427
0.845427	43291400.035467975
0.847493	37481070.33798178
0.849567	40273308.663372934
0.851651	45133619.58282777
0.853742	48027559.99979232
0.855843	58706824.101832494
0.857952	77407375.96553066
0.86007	66419030.707999796
0.862196	95791318.4128562
0.864331	94080407.19578014
0.866474	112149791.27223738
0.868626	112634258.92912833
0.870786	123402691.1469818
0.872955	153406865.46700057
0.875132	199038261.0944922
0.877317	273302723.3160154
0.879511	310898916.0719285
0.881713	389766729.6741544
0.883923	424749953.7381765
0.886142	289631325.0415879
0.888369	99958235.73843157
0.890604	173373744.78276348
0.892847	230228312.45259237
0.895099	183245649.63972035
0.897358	200657161.65327868
0.899626	194165068.2733551
0.901901	263081002.66561276
0.904185	285062780.1094469
0.906476	347013876.38895726
0.908776	452731652.43848497
0.911083	540812667.503893
0.913398	657923305.1855282
0.915721	758228504.37851
0.918051	657627338.9973947
0.92039	505393398.5677964
0.922736	283142077.023041
0.925089	252761167.0857169
0.927451	197201516.1071816
0.929819	156021190.43128875
0.932195	179238921.69431543
0.934579	242098555.7191061
0.93697	250303521.57426357
0.939369	301395554.8973549
0.941774	353212644.7738786
0.944187	329777496.39129925
0.946607	353653685.8057157
0.949035	482994247.49953264
0.951469	497846243.3952325
0.953911	444136359.5001557
0.956359	588549510.0431436
0.958814	754201179.426752
0.961277	659591144.8926833
0.963746	704117599.7220769
0.966222	760672997.0942585
0.968705	781669239.946017
0.971194	848322234.996118
0.97369	521837673.3065465
0.976193	534656734.3694022
0.978702	680955406.7727389
0.981217	577049896.8322141
0.983739	526369103.5545579
0.986268	583488896.4828665
0.988802	508642394.33539426
0.991343	208270261.39617503
0.99389	315412118.8743376
0.996444	460540996.1645806
0.999003	351175605.23570967
1.00157	418376785.589801
1.00414	428827836.414221
1.00672	316856784.4072725
1.0093	444639243.9156601
1.01189	529211722.72937787
1.01448	458955207.9344023
1.01708	418559392.1162809
1.01969	489486449.69209164
1.0223	578019461.7161329
1.02492	454075664.1026904
1.02754	315360489.94454527
1.03017	391578066.8335116
1.0328	431129184.666293
