#wavelength	surface flux
0.676892	15932491.6543
0.678297	16430406.731418347
0.679702	16565898.82575675
0.681109	16077102.706552697
0.682517	17187200.154595457
0.683926	20054916.88216974
0.685337	19132453.31067054
0.686749	18531167.180905208
0.688164	17028110.710268665
0.689581	16663662.824427996
0.691	19374786.474243823
0.692422	22496341.641776685
0.693847	21331098.511837196
0.695274	28777159.85477216
0.696705	36021480.40377939
0.698139	37482212.361480854
0.699576	38762362.3962863
0.701017	35953914.53545612
0.702461	45464650.48586061
0.70391	46272432.512896575
0.705362	34378138.864586465
0.706819	20613906.19709019
0.70828	23360186.801438965
0.709745	20408183.164349407
0.711216	20155215.211481713
0.71269	21461572.426746722
0.71417	17472303.957707252
0.715655	19473181.238035895
0.717145	20872790.6618276
0.71864	24096426.43863586
0.72014	22142137.995335232
0.721647	23624247.607335754
0.723158	27227101.676194936
0.724676	31126974.386818685
0.726199	36492267.41742578
0.727728	35549932.76628832
0.729264	50515725.523197964
0.730805	57021022.765932985
0.732353	61362671.099475235
0.733907	48739876.72462243
0.735468	41292627.4536665
0.737035	54443756.90992283
0.738609	44217125.31535575
0.74019	37914749.566024005
0.741777	31773108.75425801
0.743372	35059498.95001863
0.744973	28607085.532044046
0.746582	30334892.72100285
0.748197	33149845.393504933
0.74982	39261498.21767156
0.751451	36643721.94097606
0.753088	44790165.88293221
0.754734	51046906.124581575
0.756386	65623674.53537244
0.758047	62424374.983089335
0.759715	43719082.7104334
0.76139	55084703.543994516
0.763074	55403260.12338614
0.764765	46244116.4465882
0.766464	33201156.070857912
0.768172	37983258.7591378
0.769887	33693931.98329717
0.77161	42027621.63862724
0.773341	53661230.00412401
0.775081	55942733.46177224
0.776829	44360001.8300508
0.778585	52152537.08576734
0.780349	68738315.56076767
0.782121	72740823.82262649
0.783902	61933349.3764886
0.785691	65727299.21761533
0.787489	80239725.26106586
0.789295	85832086.73293404
0.79111	74286410.83274637
0.792933	70123552.15478484
0.794764	73597440.26468226
0.796604	92234429.45177017
0.798453	86122919.25877574
0.80031	78966795.13461821
0.802176	87259713.26077022
0.804051	102320079.3242341
0.805934	90381410.50442426
0.807826	125641221.70915706
0.809727	162495333.8505324
0.811636	205318081.57094604
0.813554	262854598.7795499
0.81548	316506935.2768855
0.817416	338010367.5115299
0.81936	267124048.13108608
0.821313	203442140.9644687
0.823274	238812688.66538855
0.825244	234511590.4746887
0.827223	215087644.52903274
0.829211	149879580.63535818
0.831208	127191314.33753574
0.833213	149964513.13531348
0.835227	160191373.05530336
0.837249	189043211.2679844
0.83928	162528277.76278415
0.841321	211871962.06244558
0.843369	151982030.7380057
0.845427	79607437.95870823
0.847493	74788933.10440984
0.849567	76582230.85726225
0.851651	83045794.12439051
0.853742	80718261.41656512
0.855843	88571522.38953833
0.857952	96919091.45672333
0.86007	83609563.07384081
0.862196	98435480.99326691
0.864331	92617734.19971168
0.866474	90899772.1740165
0.868626	90723489.36992195
0.870786	100860039.46991684
0.872955	117181175.0307313
0.875132	124383185.29848698
0.877317	146379790.54760543
0.879511	185412029.72206238
0.881713	217708122.69308314
0.883923	256146771.33312613
0.886142	228091542.00890285
0.888369	129393815.60780686
0.890604	180394149.96503583
0.892847	222579605.46376726
0.895099	191369365.21024206
0.897358	203892840.11754656
0.899626	196632078.06625748
0.901901	252537623.90543056
0.904185	267492781.76578718
0.906476	328001454.8454597
0.908776	411340276.49877954
0.911083	492966079.9253886
0.913398	614850690.9137772
0.915721	690194139.6111168
0.918051	603679353.0092211
0.92039	486352100.73845625
0.922736	283677389.8039296
0.925089	257529720.0546522
0.927451	216862985.87058002
0.929819	185973911.11202216
0.932195	203093904.38462415
0.934579	252371275.80075017
0.93697	248739890.18961173
0.939369	294383368.95093524
0.941774	320446527.6396608
0.944187	303290507.623089
0.946607	320693819.81554973
0.949035	417809068.33936656
0.951469	420260854.8388464
0.953911	394959379.8633835
0.956359	498107669.5939641
0.958814	639187422.8231617
0.961277	589267906.489812
0.963746	605091388.5341693
0.966222	698336789.5893993
0.968705	745998995.6852311
0.971194	833209224.7957608
0.97369	481400929.1348953
0.976193	476585590.50819796
0.978702	624147820.8132305
0.981217	541434800.3346834
0.983739	478880234.3588345
0.986268	512397137.0652853
0.988802	476344561.90466666
0.991343	290939906.5335699
0.99389	425216473.17276394
0.996444	581530636.6920944
0.999003	459426758.90081215
1.00157	501639278.6623848
1.00414	510508404.3407937
1.00672	419767392.1948564
1.0093	536914110.6920897
1.01189	642605706.5374813
1.01448	544362775.8703593
1.01708	471031146.6746576
1.01969	562320432.4945201
1.0223	658096906.7357441
1.02492	505385727.86674315
1.02754	392033598.5210362
1.03017	464502695.1844246
1.0328	500086010.44504386
1.03544	575809627.0869216
1.03808	654416846.0798161
1.04073	672538582.5466231
1.04339	724417618.7779124
1.04604	676794532.4580914
1.04871	647214645.4506693
1.05138	663915367.9008069
1.05405	773276145.6651162
1.05673	691513672.4408697
1.05941	885049318.4736087
1.0621	752626138.8039708
1.06479	856953093.2851164
1.06749	737555011.225619
1.07019	780952043.0762361
1.07289	848863898.367462
1.0756	1015288541.1430104
1.07832	1042863361.6487467
1.08104	1096931065.6423168
