#wavelength	surface flux
0.676892	856170.4458051618
0.678297	885592.1175952597
0.679702	911979.5884996288
0.681109	937399.8404526385
0.682517	964068.856751501
0.683926	989612.3256255013
0.685337	1014072.9580404714
0.686749	1038166.4192369124
0.688164	1061352.1876899311
0.689581	1082173.1739620129
0.691	1095882.2226995002
0.692422	1109065.2524668954
0.693847	1138011.7058532792
0.695274	1171412.3226014348
0.696705	1198503.4688050544
0.698139	1219622.3873656492
0.699576	1240175.1822945839
0.701017	1259209.473377842
0.702461	1274549.0764638344
0.70391	1296672.8768781677
0.705362	1318100.778800297
0.706819	1333200.883104384
0.70828	1347840.9861654309
0.709745	1360975.1475054172
0.711216	1376651.6431049765
0.71269	1387867.7113054895
0.71417	1395768.0224886532
0.715655	1393445.8128705604
0.717145	1383056.8527082219
0.71864	1397477.4521415213
0.72014	1400877.3158091542
0.721647	1398854.0746998172
0.723158	1391863.6903407408
0.724676	1376611.4141014526
0.726199	1361923.2294228582
0.727728	1351789.4553372557
0.729264	1323382.6180182723
0.730805	1301284.837035275
0.732353	1282095.754667526
0.733907	1247165.488471907
0.735468	1210101.2622441659
0.737035	1164913.8491127733
0.738609	1117655.526289767
0.74019	1061765.103853976
0.741777	993413.0024079795
0.743372	922770.4333908485
0.744973	848502.4076368803
0.746582	766095.2104526338
0.748197	679268.4546479133
0.74982	589099.4580842736
0.751451	496963.62661023287
0.753088	405830.54287375836
0.754734	317506.78614226374
0.756386	234992.50284630616
0.758047	161642.20799316722
0.759715	100912.05188167696
0.76139	53521.85318369344
0.763074	22512.605977282812
0.764765	6652.977759915115
0.766464	1444.2264208538265
0.768172	1864.133076524737
0.769887	1936.7737543236187
0.77161	12402.715538084805
0.773341	41850.22757439241
0.775081	95215.4139763325
0.776829	168204.67331204677
0.778585	223041.1480161951
0.780349	278468.7079271523
0.782121	480007.9043664335
0.783902	664899.2906762866
0.785691	833262.1087265585
0.787489	1005822.5846766332
0.789295	1178300.1187772993
0.79111	1321755.6882371397
0.792933	1069001.59223419
0.794764	544182.1719355792
0.796604	1546233.354486092
0.798453	2056049.2708112106
0.80031	2277023.95226951
0.802176	2466736.310618162
0.804051	2648838.347543937
0.805934	2822996.256860616
0.807826	2985981.391829635
0.809727	3112186.6964246067
0.811636	3239434.125588472
0.813554	3388116.1854877993
0.81548	3606912.4490635823
0.817416	3694399.9098384567
0.81936	3774570.491930683
0.821313	4062602.655118135
0.823274	4194209.6202830835
0.825244	4399539.031283179
0.827223	4543395.786131226
0.829211	4654237.834689847
0.831208	4787544.90317847
0.833213	4953973.361673057
