#wavelength	surface flux
0.676892	3594086.928416798
0.678297	3630491.905331681
0.679702	3544141.136626804
0.681109	3486219.4413817665
0.682517	3705944.286513794
0.683926	3836804.3294757227
0.685337	3890399.7162777106
0.686749	3948406.673594189
0.688164	3976458.456445932
0.689581	4000542.476712894
0.691	3868958.4771438646
0.692422	3933209.1256589717
0.693847	4171164.255655033
0.695274	4306104.453400887
0.696705	4370599.996675901
0.698139	4427605.879351749
0.699576	4488714.476746661
0.701017	4551959.933181489
0.702461	4604293.424660058
0.70391	4663425.104055532
0.705362	4729207.131581458
0.706819	4790300.331703035
0.70828	4851921.345206163
0.709745	4914415.691748173
0.711216	4975766.055871795
0.71269	5040725.396326599
0.71417	5107606.559437054
0.715655	5171726.453893217
0.717145	5229918.189450773
0.71864	5303442.294943579
0.72014	5373465.948800832
0.721647	5437905.463431533
0.723158	5501580.4257533
0.724676	5570515.672404577
0.726199	5643264.150234886
0.727728	5713943.245481265
0.729264	5784894.840677763
0.730805	5860355.261629268
0.732353	5936885.180431646
0.733907	6008050.319141405
0.735468	6080391.978726557
0.737035	6155848.016815053
0.738609	6230546.136288391
0.74019	6310919.5644851895
0.741777	6384054.078822472
0.743372	6459791.535042069
0.744973	6529496.074853267
0.746582	6604877.818524931
0.748197	6685523.65362223
0.74982	6756748.271561144
0.751451	6821417.564287393
0.753088	6878753.128788529
0.754734	6925764.808788761
0.756386	6951489.10787553
0.758047	6943951.706975318
0.759715	6866730.926146285
0.76139	6615611.640507235
0.763074	5833980.793750728
0.764765	3695434.236689468
0.766464	1440328.5301536005
0.768172	1857331.933509381
0.769887	1344828.9499154116
0.77161	4454692.477736668
0.773341	6842460.847995277
0.775081	7543911.500119662
0.776829	7903692.473703717
0.778585	8086058.228685712
0.780349	8210727.521985664
0.782121	8451554.220497524
0.783902	8621961.821040465
0.785691	8762198.993139174
0.787489	8896979.081804119
0.789295	9025685.843649631
0.79111	9143651.57565661
0.792933	9051540.981305104
0.794764	7970173.422912913
0.796604	9130919.719378762
0.798453	9628554.427866455
0.80031	9756016.504802762
0.802176	9880937.988940245
0.804051	10007333.565264527
0.805934	10124765.23882767
0.807826	10243891.626869125
0.809727	10357652.777880482
0.811636	10473797.980012445
0.813554	10607113.371438866
0.81548	10749699.12684593
0.817416	10851543.053986428
0.81936	10953008.055216795
0.821313	11134583.983996956
0.823274	11273030.312279254
0.825244	11424118.236670116
0.827223	11560578.828313584
0.829211	11695494.975385457
0.831208	11838493.849010369
0.833213	11988595.556437828
0.835227	12128852.151834007
0.837249	12256588.864740944
0.83928	12398914.02820027
0.841321	12556493.995268889
0.843369	12715869.848296767
0.845427	12856286.617956689
0.847493	13009030.948660053
0.849567	13157881.775755826
0.851651	13312806.883651465
0.853742	13479936.683594506
0.855843	13639597.687617766
0.857952	13800773.039535765
0.86007	13947720.177873082
0.862196	13861114.28014385
0.864331	14076137.024516575
0.866474	14300525.276016375
0.868626	14465526.724522617
0.870786	14575342.249245724
0.872955	14763169.656804945
0.875132	14942585.786212057
0.877317	15161534.815034105
0.879511	15251619.451825043
0.881713	15444810.599339167
0.883923	15666617.853761502
0.886142	15833063.71733481
0.888369	15979629.73380874
0.890604	16122242.642974092
0.892847	16282894.644536804
0.895099	16531642.913419388
0.897358	16748825.655673625
0.899626	16935861.688777402
0.901901	17116904.654309794
0.904185	17335263.938511908
0.906476	17514698.5185044
0.908776	17690286.60437411
0.911083	17900651.729042266
0.913398	18065019.70369046
0.915721	18230055.002689064
0.918051	18404098.57419136
0.92039	18651283.83417325
0.922736	18835510.608336788
