#wavelength	surface flux
0.676892	8367089.343635916
0.678297	8548288.238476364
0.679702	8570815.79428054
0.681109	8609295.442709256
0.682517	8940172.341776071
0.683926	9212304.337338455
0.685337	9369204.769331913
0.686749	9524711.070178255
0.688164	9644577.89599818
0.689581	9734820.687891109
0.691	9610874.422226511
0.692422	9719527.862844877
0.693847	10098888.907818852
0.695274	10422588.999367362
0.696705	10617999.856369399
0.698139	10765983.474033028
0.699576	10917546.079449113
0.701017	11064771.571835719
0.702461	11177837.054952146
0.70391	11342736.808331596
0.705362	11518103.080815243
0.706819	11647795.116096849
0.70828	11777452.572770372
0.709745	11906144.560234472
0.711216	12055269.532181278
0.71269	12185066.885137208
0.71417	12298241.251645122
0.715655	12342709.838960376
0.717145	12337802.115180723
0.71864	12528802.352494538
0.72014	12639079.668476423
0.721647	12716659.364377115
0.723158	12795722.816907119
0.724676	12835148.795982337
0.726199	12876484.232459825
0.727728	12956825.585167354
0.729264	12908176.302063782
0.730805	12919252.858560268
0.732353	12965029.247006388
0.733907	12906489.702140735
0.735468	12831843.585916257
0.737035	12705106.9906642
0.738609	12591821.25445535
0.74019	12390886.532748891
0.741777	12056455.366309803
0.743372	11686749.499563102
0.744973	11240081.228265982
0.746582	10660717.274653174
0.748197	9953062.436790245
0.74982	9094843.981665762
0.751451	8080916.228137947
0.753088	6902794.133171369
0.754734	5602620.021287654
0.756386	4244471.783526647
0.758047	2939843.842221591
0.759715	1841179.4988747197
0.76139	1004639.5986572794
0.763074	458119.1614225595
0.764765	142507.39223180257
0.766464	23794.730636189786
0.768172	33377.11886648259
0.769887	37146.11574777964
0.77161	253052.7239128504
0.773341	780478.511240579
0.775081	1654317.5142305659
0.776829	2847527.4346726094
0.778585	3659302.3254922694
0.780349	4385208.703463287
0.782121	7451553.917295459
0.783902	9852642.284445915
0.785691	11678688.661553035
0.787489	13284942.057108797
0.789295	14685667.222713608
0.79111	15704187.704553753
0.792933	12593439.304873198
0.794764	6325629.778323237
0.796604	16131838.1272334
0.798453	19966265.258027375
0.80031	21045313.020028345
0.802176	21943828.355674747
0.804051	22714298.775554705
0.805934	23354621.468919374
0.807826	23945375.465911638
0.809727	24274707.434737828
0.811636	24673997.195715114
0.813554	25250651.902008206
0.81548	26191727.671167187
0.817416	26342826.81866255
0.81936	26442009.857964285
0.821313	27784243.992930505
0.823274	28216572.98115354
0.825244	29041284.95766285
0.827223	29522164.89650126
0.829211	29856250.052561857
0.831208	30335964.67248321
0.833213	30953117.745740976
0.835227	31363352.097763166
0.837249	31604642.339646634
0.83928	32086690.293849163
0.841321	32911091.211337328
0.843369	33581555.31863982
0.845427	34059537.14375302
0.847493	34616705.271502376
0.849567	34775571.49208101
0.851651	34183699.1503899
0.853742	35405835.34372477
0.855843	36712835.49862122
0.857952	37329954.95057129
0.86007	37442127.47799527
0.862196	31800302.459027212
0.864331	33538896.796473302
0.866474	35466635.53100413
0.868626	36940810.06602528
0.870786	36922528.39421089
0.872955	37553673.74240375
0.875132	38353305.90092303
0.877317	39730491.19204503
0.879511	38385659.751224995
0.881713	39239958.70151333
0.883923	41168363.79533556
0.886142	41520725.50934827
0.888369	41819558.658270836
0.890604	41028632.92499205
0.892847	39653799.339034475
0.895099	42037881.874695234
0.897358	44065493.919127755
0.899626	44754012.874881744
0.901901	45691266.52830458
0.904185	46899258.99804544
0.906476	47454353.24467115
0.908776	48272341.232266285
0.911083	49002637.2330935
0.913398	48892667.52546504
0.915721	48319008.487697445
0.918051	48355541.49889777
0.92039	50124067.4444637
0.922736	50485018.78690099
0.925089	48097737.18017608
0.927451	42525751.92504494
0.929819	37395106.73929191
0.932195	42403136.52504039
0.934579	42388750.60283781
0.93697	44493438.19427711
0.939369	47877965.642957866
0.941774	48689291.13025638
0.944187	45196271.29161481
0.946607	44432042.152993925
0.949035	48065781.802184336
0.951469	47064770.54492818
0.953911	48831858.57067417
0.956359	52621631.25178304
0.958814	47593221.86621665
0.961277	45081428.67200248
0.963746	45503853.10796536
0.966222	46553989.436882444
0.968705	45535584.15204228
0.971194	52301771.986035235
0.97369	56561372.537117966
0.976193	55424865.83363741
0.978702	57426003.996843345
0.981217	58224367.3198021
0.983739	59115088.67124157
0.986268	59932442.10147056
0.988802	61082784.52735323
0.991343	61721897.513153054
0.99389	62563481.7649475
0.996444	64322626.25682696
0.999003	63448641.201315954
1.00157	63050409.11925469
1.00414	63869526.60548341
1.00672	65637527.71902113
1.0093	67039128.83129173
1.01189	68649546.22687946
1.01448	70376672.8410041
1.01708	71717743.58763978
1.01969	73024459.58864683
1.0223	72327685.20113446
1.02492	71420463.51967373
1.02754	72847188.84225263
1.03017	72909905.21256809
1.0328	76143006.7126052
1.03544	77483472.93815477
1.03808	78222204.22086073
1.04073	78765074.62445875
1.04339	79334874.02476141
1.04604	80162402.01409885
1.04871	80538497.46483338
1.05138	80733856.12837464
1.05405	82120236.25993012
1.05673	83103263.55800718
1.05941	83585840.09945275
1.0621	83977653.20578867
1.06479	84578368.87166588
1.06749	85271941.84624383
1.07019	85363195.7557714
1.07289	86248457.30780543
1.0756	87056705.06427827
1.07832	87398797.51959509
1.08104	88220069.88340896
1.08376	88751492.1754444
1.08649	88851154.47569703
1.08922	87553300.66295004
1.09195	85483336.63033533
1.09469	84529796.37011993
1.09743	85214711.68319602
1.10018	72163217.87436695
1.10293	60402660.98660247
1.10568	53996169.69307379
1.10844	67552789.65737924
1.1112	61919689.16683998
1.11396	57838516.27432752
1.11673	58361158.09792324
1.1195	59501498.59699702
1.12228	54952443.11529099
1.12505	66449141.81562664
1.12783	66281313.424358346
1.13062	63724248.04754203
1.13341	44121336.52983494
1.1362	54764236.92339466
1.13899	69319066.37904418
1.14178	69038672.88458823
1.14458	72821799.60765456
1.14738	79201479.84538665
1.15019	66287677.90869463
1.153	46470362.44502199
1.1558	53189573.189423576
1.15862	53506352.77224208
1.16143	52858159.0677826
1.16425	62491010.720509306
1.16707	72330108.85632575
1.16989	64021605.787093885
1.17271	65731247.69045727
1.17554	73961922.1306919
1.17837	81244296.12039363
1.1812	85734324.86364551
1.18403	93815767.12165767
1.18686	91808980.61621356
1.1897	90772448.93641852
1.19253	98266807.45505887
1.19537	101334578.24630694
1.19822	101959641.96586429
1.20106	104521904.71237187
1.2039	102636355.73978849
1.20675	104333235.0140515
1.2096	104770299.77967699
1.21245	104658708.98338047
1.2153	108768170.74867558
1.21815	110397715.65885115
1.221	111559390.07915816
1.22385	112853332.20329249
1.22671	114092139.6446415
1.22957	114844132.69301094
1.23242	115033767.13272718
1.23528	116140001.12996244
1.23814	117212727.35854928
1.241	117637903.46984527
1.24387	118170297.19508307
1.24673	119070057.83336006
1.24959	116804600.17171049
1.25245	106631945.06130221
1.25532	117712799.88080649
1.25818	121466293.6955926
1.26105	120954610.48216647
1.26392	120579934.36165616
1.26678	120998874.44856751
1.26965	121223874.03783776
1.27252	120507810.7015388
1.27538	122024191.4068337
1.27825	122153506.19872071
1.28112	120890912.38321614
1.28399	122050257.05158332
1.28686	121588514.89669937
1.28973	118778388.08317302
1.2926	117487282.7022407
1.29546	119939617.30386564
1.29833	121072067.7995429
1.3012	117509497.99625099
1.30407	116643584.56822309
1.30694	115735092.18098743
1.30981	119140005.33771856
1.31267	117425639.0233025
1.31554	119858595.2859755
1.31841	121375896.359941
1.32128	115772040.62374757
1.32414	104888532.88401537
1.32701	97787939.80810606
1.32987	88865626.05197655
1.33274	50027790.52985424
1.3356	29922476.259526268
1.33847	13787995.067640984
1.34133	7558998.383371269
1.34419	14564343.790378932
1.34705	19538655.259370856
1.34991	15019825.56990707
1.35277	9671509.93170477
1.35563	9436985.88009703
1.35849	12048994.500883162
1.36135	8552415.206965158
1.3642	13285522.20775574
1.36706	14642737.558181055
1.36991	13319942.562785473
1.37277	23020694.094706327
1.37562	34113983.49957384
1.37847	37693610.846802615
1.38132	19191808.449129753
1.38417	6493286.319627013
1.38701	9984654.3140796
1.38986	8273415.360444639
1.39271	8824088.200733181
1.39555	11626411.09142611
1.39839	7706723.920692878
1.40123	11623652.297464285
1.40407	20652615.638009306
1.40691	26127417.769716438
1.40974	16053892.88167219
1.41258	7201107.399826201
1.41541	12213159.940627512
1.41824	15603498.94932918
1.42107	11672100.94893744
1.4239	8490383.193618512
1.42673	14327483.55441501
1.42955	19727477.91826634
1.43237	12799929.233222816
1.43519	16536424.063151566
1.43801	13781269.038112618
1.44083	16197800.591846408
1.44365	22788486.620241456
1.44646	22274562.9817738
1.44927	33002452.047386765
1.45208	39021433.33707633
1.45489	31662507.69029663
1.45769	38511868.55812476
1.4605	42126680.68812658
1.4633	42440647.30931196
1.4661	46085369.69473125
1.4689	36934870.64249912
1.47169	39017778.06949426
1.47449	39866432.35067893
1.47728	42192921.82137758
1.48007	40488758.6940398
1.48286	49041027.92426488
1.48564	56409606.611685246
1.48842	52820035.13180205
1.4912	53252862.57967726
1.49398	53505303.171190865
1.49676	52731530.410346374
1.49953	62322980.35047585
1.5023	70724962.52818099
1.50507	71729664.4365541
1.50784	66821381.12952399
1.51061	65426879.73397464
1.51337	69572544.43285725
1.51613	73641551.34315565
1.51888	80078754.58703464
1.52164	92990008.47706921
1.52439	97073904.59490468
1.52714	89937176.40046039
1.52989	87985725.42524058
1.53263	93165451.07552877
1.53538	100419735.60480165
1.53812	100664226.30325545
1.54086	99150395.0168609
1.54359	101480614.74384135
1.54632	107735211.68720801
1.54905	108829425.25326966
1.55178	112891413.48974638
1.5545	111924455.53011651
1.55723	108409713.55386865
1.55995	110195821.04123184
1.56266	115161499.93084276
1.56538	121527905.94342792
1.56809	124479563.03881314
1.5708	123957049.40786149
1.57351	121182849.17480446
1.57621	120792182.78590609
1.57891	119088350.35473454
1.58161	123419779.93325886
1.5843	129850056.07502227
1.587	131325820.74670309
1.58969	131010501.74529326
1.59238	131610710.86885528
1.59506	130819286.78323872
1.59774	129324043.00910324
1.60042	131305058.28254464
1.6031	133151126.83078642
1.60577	133035034.75233103
1.60844	133304764.51235856
1.61111	133767092.13072076
1.61378	133495662.11289604
1.61644	134370617.34566468
1.6191	133926477.3934455
1.62176	134108358.32592185
1.62441	137070915.36106372
1.62707	137941249.8216261
1.62971	136706278.78944728
1.63236	135579376.4496216
1.635	138442568.52572775
1.63764	141754759.79881322
1.64028	142454995.24494526
1.64292	142917068.32333907
1.64555	143172693.89692095
1.64818	141408206.5977552
1.65081	139953249.88554913
1.65343	140692586.85988328
1.65605	141421227.33560845
1.65867	140430761.4654364
1.66128	138071298.1000092
1.6639	135779114.8199098
1.66651	130326658.3041825
1.66911	127208108.7753949
1.67172	134190898.22119083
1.67432	141754010.12903458
1.67692	142795613.66586915
1.67951	142021724.04535565
1.68211	142000495.00015518
1.6847	142209197.4560658
1.68728	141416653.40497273
1.68987	137855035.78310904
1.69245	131561647.0458574
1.69503	125277916.6119085
