#wavelength	surface flux
0.676892	12932605.566894216
0.678297	13223756.743860463
0.679702	11959062.07785815
0.681109	11474593.383239983
0.682517	14080535.158295438
0.683926	15450605.52298342
0.685337	15841472.619170215
0.686749	16348719.888689077
0.688164	15996099.503647568
0.689581	15676257.54784867
0.691	13190600.01747693
0.692422	13122247.526916472
0.693847	15514303.750832137
0.695274	18934098.312997643
0.696705	21386007.453809377
0.698139	22032288.74103849
0.699576	22747653.906863928
0.701017	23549921.464866556
0.702461	22362645.7816633
0.70391	22203763.17014613
0.705362	23041721.768531453
0.706819	22959081.59473711
0.70828	22674333.636126064
0.709745	22415326.021915637
0.711216	21939890.42800895
0.71269	21875710.154812552
0.71417	21509996.850534823
0.715655	20763043.70844032
0.717145	19455757.93703919
0.71864	19699920.158653665
0.72014	19314116.708594818
0.721647	18509613.1215911
0.723158	17688025.52824448
0.724676	16880055.253343694
0.726199	16248985.277857753
0.727728	15611249.147053726
0.729264	14588313.606557405
0.730805	13822272.931230567
0.732353	13166684.586667957
0.733907	12191181.493547088
0.735468	11267461.933269093
0.737035	10341794.252463512
0.738609	9563225.710725846
0.74019	8729627.288144063
0.741777	7767797.972319381
0.743372	6910660.908276926
0.744973	6123690.782835012
0.746582	5329231.089085716
0.748197	4586159.1484787725
0.74982	3885682.5251032077
0.751451	3227596.41493832
0.753088	2625974.621271911
0.754734	2077861.4737999642
0.756386	1583194.5122899143
0.758047	1147742.0003882528
0.759715	776230.3965243703
0.76139	462580.8659096194
0.763074	220851.43028816808
0.764765	69024.01703383698
0.766464	11544.393005432206
0.768172	16013.218969837928
0.769887	18219.544726132488
0.77161	123806.05636327199
0.773341	375265.31019909924
0.775081	741125.4987193595
0.776829	1184939.5310986133
0.778585	1488495.153842034
0.780349	1779390.2565595822
0.782121	2938628.848953564
0.783902	4026113.5220330837
0.785691	5075742.736338802
0.787489	6224991.558025428
0.789295	7437541.132734528
0.79111	8506862.84682944
0.792933	6854295.080730563
0.794764	3483615.8490125914
0.796604	10589452.84494108
0.798453	15054748.982968757
0.80031	17635182.348938983
0.802176	20270140.37513211
0.804051	22763024.173392944
0.805934	24594426.358978923
0.807826	26571146.73438276
0.809727	27812689.583429463
0.811636	29324009.917051718
0.813554	32227278.76308863
0.81548	35699020.20669799
0.817416	30448894.849598814
0.81936	27578455.52396933
0.821313	41904107.724155135
0.823274	47786145.10031969
0.825244	54075616.053962775
0.827223	56607094.591501154
0.829211	59361863.06665494
0.831208	64054864.917714305
0.833213	69711413.57504882
0.835227	73016757.91378228
0.837249	72029229.22946484
0.83928	74422668.83573955
0.841321	80664825.31653157
0.843369	88739464.12747134
0.845427	87514370.27668044
0.847493	92263055.5326038
0.849567	87613000.18469572
0.851651	66880338.77675945
0.853742	89974997.16604574
0.855843	115469879.85897413
0.857952	124246554.84705958
0.86007	122015993.86049569
0.862196	48648758.80387777
0.864331	46806569.85822435
0.866474	42315277.115199186
0.868626	47245002.037406206
0.870786	42189135.0606606
0.872955	43289898.56880971
0.875132	47574873.00831273
0.877317	62168227.92714433
0.879511	47099404.09623215
0.881713	47150339.31902745
0.883923	70593916.99738778
0.886142	81959186.66826169
0.888369	65159931.558239706
0.890604	51648539.39091807
0.892847	44189331.14808606
0.895099	69726524.82165115
0.897358	92007181.99854414
0.899626	89941611.2794331
0.901901	89956357.76670028
0.904185	108768469.72646573
0.906476	107616904.90369049
0.908776	120477064.83611788
0.911083	127654263.33558267
0.913398	117522489.17028691
0.915721	92788403.74621806
0.918051	97192374.0302356
0.92039	118810564.73607796
0.922736	121232462.5816464
0.925089	90887112.8610429
0.927451	53030724.84352141
0.929819	37372390.90328643
0.932195	57057755.36623706
0.934579	46135448.94693072
0.93697	53225315.7401814
0.939369	70570976.9206182
0.941774	74991655.00084414
0.944187	55345503.93813975
0.946607	51446466.42068264
0.949035	70650044.63185425
0.951469	64740513.00576774
0.953911	77082530.7866777
0.956359	97839734.67871426
0.958814	63740122.498719744
0.961277	45873822.07041329
0.963746	45042019.8700361
0.966222	47786064.451628044
0.968705	40844871.86050849
0.971194	70822130.95539653
0.97369	103073219.61208145
0.976193	89090262.85792714
0.978702	98034396.19301207
0.981217	103498705.67911291
0.983739	107160688.84353715
0.986268	108514697.70345202
0.988802	93383628.23193868
0.991343	75958663.91901414
0.99389	82434984.29391079
0.996444	95954128.09923458
0.999003	75579827.15968712
1.00157	67573865.99511674
1.00414	69303708.0521993
1.00672	76077392.74000303
1.0093	82334986.1479997
1.01189	90966871.2827263
1.01448	99379529.82060666
1.01708	119220918.49424024
1.01969	137825625.3841941
1.0223	108085218.18089855
1.02492	93473611.98492934
1.02754	104500277.31479688
1.03017	109824660.90538104
1.0328	140543264.3705818
1.03544	178388421.95286807
1.03808	186059305.00355116
1.04073	161022937.69108725
1.04339	157806595.65805766
1.04604	181945707.7759167
1.04871	199440517.25564903
1.05138	168637985.8610117
1.05405	205320569.7978705
1.05673	242008514.76318374
1.05941	209850639.78408435
1.0621	187583447.782426
1.06479	205365856.58061016
1.06749	220814007.55379254
1.07019	217331736.49313992
1.07289	237893538.09325543
1.0756	226614865.80584705
1.07832	222752329.56987017
1.08104	248475479.11474276
1.08376	242708091.17200926
1.08649	226560084.9520593
1.08922	203684959.66539958
1.09195	157682899.39292002
1.09469	137755860.23502773
1.09743	144968547.69722795
1.10018	80158426.39403853
1.10293	37840028.35710521
1.10568	29901102.335554864
1.10844	65963692.6578049
1.1112	45231404.94493422
1.11396	37010370.484289914
1.11673	40188831.61033107
1.1195	36759129.582065746
1.12228	29659368.753563497
1.12505	48125147.69203934
1.12783	45075772.40100518
1.13062	39981500.73769447
1.13341	19529048.478764165
1.1362	29583240.730215352
1.13899	44019611.6940318
1.14178	47042063.2156309
1.14458	54388566.545901366
1.14738	68913457.26097792
1.15019	45999384.16750619
1.153	19050618.701276854
1.1558	24280060.653125804
1.15862	24739853.78461377
1.16143	23422472.359050088
1.16425	35700727.98988144
1.16707	46599415.04301876
1.16989	33103842.009698562
1.17271	35347052.60721921
1.17554	43883643.79306361
1.17837	56147783.09070319
1.1812	70250972.51882915
1.18403	101102116.29831034
1.18686	88526349.80586457
1.1897	83294352.34764937
1.19253	123385994.53720437
1.19537	133528728.91149355
1.19822	127614071.64842579
1.20106	141744606.38965303
1.2039	133685515.43745315
1.20675	142891279.66786084
1.2096	135661290.27114326
1.21245	132767578.41517197
1.2153	172922316.13400075
1.21815	185697431.58722726
1.221	195018686.55306092
1.22385	214064190.22895196
1.22671	230998189.49179608
1.22957	233728673.101169
1.23242	228940051.0606012
1.23528	250469276.846687
1.23814	266516391.01832336
1.241	230754747.41336203
1.24387	218767267.05304244
1.24673	268264592.98276561
1.24959	225931124.99894577
1.25245	143815064.51727328
1.25532	273701817.20653075
1.25818	317252252.97348183
1.26105	308342126.2483387
1.26392	270336853.37988305
1.26678	280266666.815823
1.26965	296777721.5496949
1.27252	269341814.8561832
1.27538	290542964.96555996
1.27825	294503576.40960497
1.28112	267757552.6483964
1.28399	291310220.65114254
1.28686	286539709.23336756
1.28973	226418417.63577324
1.2926	203462628.13207296
1.29546	238317909.9959974
1.29833	242682407.10330462
1.3012	196114874.25294074
1.30407	187221972.12017393
1.30694	172693573.79606202
1.30981	197452644.52111676
1.31267	175316560.65452877
1.31554	177916753.46642473
1.31841	179771220.94824773
1.32128	144901704.1645919
1.32414	90716087.10164277
1.32701	70954853.58432482
1.32987	65796624.92489672
1.33274	26236414.381177135
1.3356	11808123.182551157
1.33847	5220259.13389648
1.34133	2734166.9712340585
1.34419	5179876.016498342
1.34705	6826791.172834667
1.34991	4892313.296493806
1.35277	2953588.0441320916
1.35563	3086016.051352346
1.35849	3839583.89314468
1.36135	2558598.474398595
1.3642	4209059.234322512
1.36706	4585672.966998845
1.36991	4127938.3591953404
1.37277	7706620.951793514
1.37562	12132872.71139541
1.37847	13701760.264432602
1.38132	6524184.62874361
1.38417	1925949.9184999897
1.38701	3088212.030029483
1.38986	2630619.031871189
1.39271	2823275.8576921783
1.39555	3753672.580622714
1.39839	2664738.07054575
1.40123	4164499.2665190967
1.40407	7403643.551029478
1.40691	9440036.833056409
1.40974	5671659.705756908
1.41258	2475270.4121793164
1.41541	4395909.1483516535
1.41824	5574457.684529552
1.42107	4051955.638215817
1.4239	2961323.819673882
1.42673	5071822.668215692
1.42955	7130588.231567619
1.43237	4707142.017476655
1.43519	6347434.121861394
1.43801	5187662.866398021
1.44083	6177901.049490766
1.44365	8781169.569228716
1.44646	8858119.267021189
1.44927	13735706.860396378
1.45208	16496214.883821737
1.45489	13264184.05902063
1.45769	16215438.346987978
1.4605	17903092.34469763
1.4633	18292611.475622736
1.4661	19980388.42885157
1.4689	15540388.18516252
1.47169	16427035.689240586
1.47449	16582763.507223984
1.47728	17386099.67725726
1.48007	16895524.65067947
1.48286	21614008.4098401
1.48564	25533744.997990727
1.48842	24043504.505294796
1.4912	24383214.500385106
1.49398	24096937.107160363
1.49676	23012840.02091981
1.49953	28414425.19905454
1.5023	33708362.91448638
1.50507	33984217.024699196
1.50784	30828618.515742313
1.51061	30537627.1300502
1.51337	33336709.014257632
1.51613	36322821.071712635
1.51888	41139690.44619846
1.52164	51737262.15515849
1.52439	55478239.67183309
1.52714	48767902.91490823
1.52989	46822941.863300726
1.53263	51903259.07876419
1.53538	58793695.85778654
1.53812	58610624.9910327
1.54086	56953822.73762762
1.54359	59792013.30819936
1.54632	66903911.894025125
1.54905	68288068.2457392
1.55178	73686080.52878664
1.5545	72192337.93076943
1.55723	67338866.29251926
1.55995	69878124.51346311
1.56266	77955116.75033586
1.56538	89314059.36288835
1.56809	95386462.6836448
1.5708	94571931.96615157
1.57351	89287535.56080227
1.57621	89538061.31011151
1.57891	87850647.2364556
1.58161	96122765.31600651
1.5843	109104640.77497399
1.587	113781281.11659585
1.58969	114113850.8158597
1.59238	119125549.38224198
1.59506	119693308.28035346
1.59774	116507256.26644054
1.60042	126811825.97310553
1.6031	135450639.351965
1.60577	133479049.63339421
1.60844	134727139.4316964
1.61111	139688322.42212358
1.61378	142766246.46418
1.61644	148545326.86164993
1.6191	146450368.56115648
1.62176	150613606.33555773
1.62441	168686135.97852048
1.62707	179326663.47648
1.62971	174853692.04022402
1.63236	164948809.4790365
1.635	178228806.84651184
1.63764	191000722.5446261
1.64028	191022998.27434474
1.64292	197868623.63138667
1.64555	207257098.37062943
1.64818	202766705.20394394
1.65081	191015349.5191159
1.65343	190072288.40439826
1.65605	196325197.24313626
1.65867	187194554.13341677
1.66128	170350075.3964817
1.6639	173415156.09554863
1.66651	171826487.62100455
1.66911	154601170.47935677
1.67172	181758643.81853804
1.67432	226332439.34602445
1.67692	237679752.67223468
1.67951	239660535.34792286
1.68211	234890546.8990597
1.6847	231881646.72493687
