#wavelength	surface flux
0.676892	4600585.930100127
0.678297	4641992.372041356
0.679702	4539783.810671793
0.681109	4476005.507652816
0.682517	4739555.766780694
0.683926	4897877.093076189
0.685337	4964176.751632748
0.686749	5037524.000744242
0.688164	5070222.624232942
0.689581	5102753.386887136
0.691	4945290.11896043
0.692422	5017645.488327396
0.693847	5309227.627404108
0.695274	5483071.310470984
0.696705	5564738.665808467
0.698139	5634253.964402347
0.699576	5713267.340700338
0.701017	5794932.439077757
0.702461	5850121.881684057
0.70391	5919669.371151232
0.705362	6004548.350141604
0.706819	6079259.089673009
0.70828	6154422.927913307
0.709745	6231917.107342432
0.711216	6305951.7408359535
0.71269	6385638.960561439
0.71417	6465623.218299389
0.715655	6539118.255279469
0.717145	6600681.146849304
0.71864	6696288.293633659
0.72014	6782508.896421143
0.721647	6857998.723505721
0.723158	6934378.875874137
0.724676	7017349.933038351
0.726199	7107391.153196969
0.727728	7194417.041150374
0.729264	7278635.5603357265
0.730805	7370681.716546863
0.732353	7465792.846334114
0.733907	7548749.245227727
0.735468	7632182.971374984
0.737035	7722079.407153629
0.738609	7814982.197620648
0.74019	7914806.1558382725
0.741777	7999286.943680685
0.743372	8090178.32494198
0.744973	8173331.259936507
0.746582	8263227.553788067
0.748197	8359891.476356596
0.74982	8442477.668884547
0.751451	8516048.079145191
0.753088	8577093.699814247
0.754734	8623641.664755676
0.756386	8638579.438534629
0.758047	8606365.996839928
0.759715	8474575.826216336
0.76139	8102348.880914154
0.763074	7032889.005014374
0.764765	4343879.77272063
0.766464	1638515.7962770567
0.768172	2121233.371310436
0.769887	1550936.3998081011
0.77161	5293685.753641268
0.773341	8298800.459767157
0.775081	9245742.980653385
0.776829	9735008.300345773
0.778585	9972177.977071693
0.780349	10127358.174446965
0.782121	10449972.757697407
0.783902	10669693.803102443
0.785691	10846110.636019144
0.787489	11015319.015256131
0.789295	11173844.600066317
0.79111	11316947.276037117
0.792933	11163954.804941531
0.794764	9671073.23391705
0.796604	11251451.692834163
0.798453	11911422.91382736
0.80031	12067129.118892256
0.802176	12216027.229649005
0.804051	12366040.168665836
0.805934	12494439.098361453
0.807826	12624572.381223787
0.809727	12743202.842065858
0.811636	12871682.955196828
0.813554	13038817.857990673
0.81548	13226554.949827712
0.817416	13333363.463473922
0.81936	13437342.643257264
0.821313	13682664.339369398
0.823274	13846093.288673474
0.825244	14035929.592488559
0.827223	14197453.120770458
0.829211	14351410.712583002
0.831208	14524154.132794859
0.833213	14712754.105674691
0.835227	14876338.333936349
0.837249	15007327.413840376
0.83928	15170498.195106924
0.841321	15367768.213567449
0.843369	15568991.420133498
0.845427	15727384.012713159
0.847493	15911110.118295345
0.849567	16080341.701964261
0.851651	16271212.92268589
0.853742	16480696.006218618
0.855843	16667307.886793235
0.857952	16860511.505038798
0.86007	17026841.38067109
0.862196	16768964.858121006
0.864331	17057607.043084875
0.866474	17355230.86232753
0.868626	17544843.464218557
0.870786	17632142.394991916
0.872955	17863385.254312087
0.875132	18073388.162675645
0.877317	18361106.310920324
0.879511	18415426.091620415
0.881713	18660853.739412937
0.883923	18954676.40829641
0.886142	19144949.29471619
0.888369	19289035.418625187
0.890604	19426069.981646467
0.892847	19585376.63783438
0.895099	19915092.30814734
0.897358	20188847.695538245
0.899626	20417151.761791497
0.901901	20631520.68762767
0.904185	20914968.005486984
0.906476	21121814.613209713
0.908776	21319822.55693353
0.911083	21587840.962067515
0.913398	21752533.475788653
0.915721	21916693.92743267
0.918051	22091444.56326613
0.92039	22425893.051332477
0.922736	22617212.024364654
0.925089	22548117.584077265
0.927451	22175444.644639183
0.929819	21813286.585270155
0.932195	22523684.930440452
0.934579	22736441.55095917
0.93697	23118528.783329356
0.939369	23595879.4262088
0.941774	23870522.667673007
0.944187	23768004.342333827
0.946607	23912942.693203997
0.949035	24424817.198841527
0.951469	24516053.624960415
0.953911	24892620.782605734
0.956359	25394143.75892359
0.958814	25116741.901629698
0.961277	25039281.402351346
0.963746	25233888.485651333
0.966222	25541000.079944726
0.968705	25580015.556899454
0.971194	26417933.554858785
0.97369	27061354.73293212
0.976193	27167869.632265076
0.978702	27520898.532029986
0.981217	27801371.77066412
0.983739	28074103.700760074
0.986268	28343262.93677784
0.988802	28379232.39988097
0.991343	28094464.520255357
0.99389	28631945.31390884
