#wavelength	surface flux
0.676892	2355.5481977528834
0.678297	2444.7284814123077
0.679702	2530.9184932917365
0.681109	2614.704600216274
0.682517	2693.499083058114
0.683926	2770.293889966931
0.685337	2841.9701425018097
0.686749	2908.1465934445127
0.688164	2967.6473723683985
0.689581	2983.9064719874605
0.691	2976.33939155406
0.692422	2979.8923688682817
0.693847	3027.9315700845273
0.695274	3068.6359743886032
0.696705	3111.196357588788
0.698139	3140.337113183605
0.699576	3147.347813344449
0.701017	3154.6673110284773
0.702461	3148.016091004182
0.70391	3161.319420915581
0.705362	3152.8114691599453
0.706819	3138.872925589406
0.70828	3121.680851275875
0.709745	3086.4864655107076
0.711216	3055.1416153771847
0.71269	3014.598150280851
0.71417	2981.94932615724
0.715655	2899.261412163908
0.717145	2767.9530542875527
0.71864	2692.540618998098
0.72014	2684.4935581824943
0.721647	2661.210370478542
0.723158	2623.0996627875
0.724676	2533.278405439083
0.726199	2447.9015524665947
0.727728	2353.955472145073
0.729264	2356.3470221498965
0.730805	2282.0485241875976
0.732353	2316.908831423055
0.733907	2292.0628227153443
0.735468	2215.0124996883114
0.737035	2201.062028912059
0.738609	2151.3030826251684
0.74019	2110.44150328396
0.741777	2064.2054979663094
0.743372	2018.7997410069474
0.744973	1961.0165213819475
0.746582	1891.0588232960285
0.748197	1817.8387995859293
0.74982	1748.1218599474246
0.751451	1669.1341251344782
0.753088	1584.7144628055444
0.754734	1496.2595304203467
0.756386	1405.0586798636816
0.758047	1305.9410984056867
0.759715	1190.6498403318876
0.76139	1041.0089779176265
0.763074	838.4709791895283
0.764765	536.7942811293517
0.766464	211.62697532921592
0.768172	410.6159982456973
0.769887	302.1432825349685
0.77161	750.5880985987759
0.773341	1181.8439345599165
0.775081	1505.0278758495065
0.776829	1778.9148706399094
0.778585	1889.1990638698999
0.780349	1780.8266342476895
0.782121	2552.9024409260187
0.783902	2919.9808355596633
0.785691	3231.8803690718246
0.787489	3567.5410466441754
0.789295	3917.180299079222
0.79111	4270.7265031746165
0.792933	4399.203788923653
0.794764	3563.003812995055
0.796604	5182.82665549005
0.798453	5911.430296388823
0.80031	6449.55892187032
0.802176	7008.271414449196
0.804051	7611.34471119551
0.805934	8210.496749031881
0.807826	8863.056660222717
0.809727	9482.584357115005
0.811636	10054.892458606715
0.813554	10439.306342588763
0.81548	11510.015358641589
0.817416	12613.287124794815
0.81936	13658.905271043644
0.821313	14823.449649086193
0.823274	15365.977747324645
0.825244	16623.656900721362
0.827223	17903.181150742566
0.829211	18825.35554944833
0.831208	19631.531418892315
0.833213	21157.66022108719
0.835227	22314.029650801076
0.837249	23438.73348400744
0.83928	25168.202279461497
0.841321	26534.903845585468
0.843369	28200.118479011682
0.845427	29938.790657572787
0.847493	32227.520727364124
0.849567	33886.29097066139
0.851651	30201.472220378124
0.853742	37041.64846433217
0.855843	41332.17785676504
0.857952	43953.26163148787
0.86007	46700.451574967265
0.862196	49190.8863283042
0.864331	51802.73098012118
0.866474	54744.97924147567
0.868626	57885.71258364268
0.870786	60423.51656488431
0.872955	63207.8143054333
0.875132	65791.9997018979
0.877317	68057.62743541336
0.879511	70439.35610852615
0.881713	68905.04086926763
0.883923	68372.0088397811
0.886142	69884.50603988195
0.888369	69580.34675843119
0.890604	73080.75978596875
0.892847	67413.67883957416
0.895099	63034.268774119504
0.897358	78124.80358075531
0.899626	86320.90242905631
0.901901	98085.13670580965
0.904185	111362.69103414401
0.906476	118495.13266142343
0.908776	110821.47279474142
0.911083	121278.85596766332
0.913398	118938.28028473201
0.915721	127690.61860603151
0.918051	126672.51428721915
0.92039	137226.67740505072
0.922736	141582.74106791444
