#wavelength	surface flux
0.676892	119152.44906875181
0.678297	125790.71212452977
0.679702	132122.05681293376
0.681109	138170.67894654835
0.682517	143732.14173118633
0.683926	149031.48341228368
0.685337	153831.51770423795
0.686749	158015.16511901646
0.688164	161546.10364341357
0.689581	164305.88949359662
0.691	165544.877483268
0.692422	164796.8261911516
0.693847	166098.09200688498
0.695274	167055.14896662638
0.696705	167093.48198945724
0.698139	166166.74250868318
0.699576	163654.64557940216
0.701017	160680.75590820034
0.702461	156636.88556107128
0.70391	153151.55802385852
0.705362	148344.69597376644
0.706819	143375.31573515106
0.70828	138048.19017634162
0.709745	131618.69739470244
0.711216	125336.49978603286
0.71269	118777.99788583936
0.71417	112389.29611714957
0.715655	103767.82273055814
0.717145	94451.1363329465
0.71864	87439.4697085781
0.72014	82329.54775087388
0.721647	76765.17971733115
0.723158	71986.9789309869
0.724676	65514.38217912677
0.726199	59157.97589744774
0.727728	52450.61658983377
0.729264	49007.78950741046
0.730805	43787.04720053627
0.732353	40950.74019168509
0.733907	36936.22928787283
0.735468	32204.733021785578
0.737035	29497.895473008033
0.738609	26111.198763610948
0.74019	23150.540668594196
0.741777	20357.492344363414
0.743372	17907.697263298443
0.744973	15618.902024452964
0.746582	13532.168059360985
0.748197	11670.360329613364
0.74982	10105.518067391184
0.751451	8699.397985192461
0.753088	7474.99189908497
0.754734	6411.884719805866
0.756386	5477.754932246001
0.758047	4632.02085904631
0.759715	3845.3056257437684
0.76139	3081.9998495419836
0.763074	2266.2443090178444
0.764765	1249.910139344439
0.766464	396.6045258854122
0.768172	848.3684977081655
0.769887	593.5191161251789
0.77161	1855.2910079734338
0.773341	3322.6905015745333
0.775081	4617.6579356931015
0.776829	5981.402487781632
0.778585	6878.98892761011
0.780349	6898.776740490821
0.782121	11196.909500333986
0.783902	14050.920513862271
0.785691	17205.099940799308
0.787489	21006.55020743341
0.789295	25456.81032953247
0.79111	30528.208069608314
0.792933	32859.21695783941
0.794764	23416.892308840455
0.796604	46957.71751469843
0.798453	61523.97546967699
0.80031	73542.7412776132
0.802176	86514.00400595878
0.804051	101693.93550951958
0.805934	117758.26432489406
0.807826	136133.11780031782
0.809727	155578.46053127808
0.811636	175397.75580032682
0.813554	193400.9434386936
0.81548	226223.1173772224
0.817416	260897.1700819697
0.81936	290512.02173165104
0.821313	335244.6309276292
0.823274	369471.99398495187
0.825244	414771.2589165875
0.827223	473002.81275349425
0.829211	520275.35903535946
0.831208	566625.7747795187
0.833213	643960.9951298338
0.835227	706684.4272181765
0.837249	763761.2744864252
0.83928	861191.3050981964
0.841321	949010.1623957484
0.843369	1044187.8060640264
0.845427	1133008.4870978075
0.847493	1258446.3884531988
0.849567	1310909.00972491
0.851651	921377.1590694888
0.853742	1428069.3478692006
0.855843	1752092.969760593
0.857952	1915011.7716852892
0.86007	2054951.8002205398
0.862196	1981023.8421560498
0.864331	2163115.6184190367
0.866474	2377727.874394384
0.868626	2569561.7913977783
0.870786	2686622.5751439687
0.872955	2865922.58094111
0.875132	2965821.9005073463
0.877317	3413273.8622908415
0.879511	3634225.633782828
0.881713	3495473.091020706
0.883923	3582204.150479006
0.886142	3811348.1136656217
0.888369	3689216.371820649
0.890604	4061594.562792938
0.892847	3272654.379925713
0.895099	2775116.365314657
0.897358	4501324.277173518
0.899626	5227036.008344938
0.901901	6115067.078565363
0.904185	7041555.081683266
0.906476	7338922.708520314
0.908776	6748131.678506467
0.911083	7585398.605588492
0.913398	7563061.71406758
0.915721	8468364.402113082
0.918051	8539485.964759694
0.92039	9660147.060066253
0.922736	9874838.34279868
0.925089	8805489.45738049
0.927451	5872945.997690485
0.929819	3786759.108740606
0.932195	3416864.4666301995
0.934579	4071824.7515446777
0.93697	7880522.760966798
0.939369	9462795.803108664
0.941774	9280852.832101243
0.944187	7646310.5742763905
0.946607	9086905.26053985
0.949035	9680897.93301155
0.951469	7227261.596884579
0.953911	8240465.742414226
0.956359	6435179.744416126
0.958814	9654831.129183114
0.961277	6283823.453057542
0.963746	7660051.694505359
0.966222	10352484.645571422
0.968705	12575354.735431915
0.971194	14029784.450605435
0.97369	12635204.665714059
0.976193	16126450.953796478
0.978702	15988403.599973965
0.981217	16619215.783889212
0.983739	15144485.709468892
0.986268	18526784.36456075
0.988802	19244050.259613145
0.991343	19338604.14887419
0.99389	21606683.813956454
0.996444	22118585.28318365
0.999003	18038330.335517637
1.00157	19173551.758779723
1.00414	21873331.070634536
1.00672	23244182.590960097
1.0093	24516586.830315825
1.01189	26136840.553395573
1.01448	29132362.471635886
1.01708	30554909.530288342
1.01969	33337951.12242354
1.0223	34661835.847799405
1.02492	35855043.06651568
1.02754	36891983.05709904
1.03017	39987313.14501803
1.0328	40697501.769397445
1.03544	42037769.43278369
1.03808	46728672.976010926
1.04073	46599805.852719426
1.04339	47872666.99180792
1.04604	48298574.191216744
1.04871	49330010.3797165
1.05138	50852823.251377195
1.05405	53358532.39281238
1.05673	53531043.691104636
1.05941	56455124.50864404
1.0621	56415401.156982854
1.06479	58206126.02620601
1.06749	59202637.72969929
1.07019	61284442.26216793
1.07289	61605181.83041341
1.0756	62798193.81957904
1.07832	62769680.73253846
1.08104	63268705.653931364
1.08376	64683812.30489484
1.08649	58479145.47787643
1.08922	50503798.35552624
1.09195	43487127.91885044
1.09469	35916266.20130982
