age,mass,luminosity,temperature,gravity,radius
0.004,0.002,-4.843999999999999,916.0,3.387,0.15
0.004,0.003,-4.461,1125.0,3.536,0.1547
0.004,0.004,-4.171,1307.0,3.6310000000000002,0.1601
0.004,0.005,-3.95,1459.0,3.697,0.1658
0.004,0.006,-3.766,1593.0,3.7460000000000004,0.1717
0.004,0.006999999999999999,-3.6239999999999997,1700.0,3.784,0.1775
0.004,0.008,-3.495,1803.0,3.815,0.1832
0.004,0.009000000000000001,-3.386,1889.0,3.839,0.189
0.004,0.01,-3.2969999999999997,1960.0,3.859,0.1947
0.004,0.011000000000000001,-3.214,2027.0,3.8760000000000003,0.2002
0.004,0.012,-3.135,2093.0,3.89,0.2058
0.004,0.013000000000000001,-3.0639999999999996,2150.0,3.9010000000000002,0.2115
0.004,0.013999999999999999,-3.0010000000000003,2199.0,3.909,0.2174
0.004,0.015,-2.9410000000000003,2245.0,3.915,0.2236
0.004,0.016,-2.883,2287.0,3.917,0.2304
0.004,0.017,-2.825,2327.0,3.915,0.2379
0.004,0.018000000000000002,-2.7680000000000002,2364.0,3.911,0.2461
0.004,0.019,-2.71,2399.0,3.9019999999999997,0.2553
0.004,0.02,-2.6519999999999997,2434.0,3.891,0.2653
