#LAM	TRANSMISSION
17.141	0.0001
17.147	0.0001
17.153	0.0001
17.159	0.0001
17.165	0.0001
17.17	0.0001
17.176	0.0001
17.182	0.0001
17.188	0.0001
17.194	0.0002
17.199	0.0002
17.205	0.0002
17.211	0.0002
17.217	0.0002
17.223	0.0002
17.228	0.0002
17.234	0.0003
17.24	0.0003
17.246	0.0003
17.252	0.0003
17.257	0.0003
17.263	0.0003
17.269	0.0003
17.275	0.0003
17.281	0.0004
17.286	0.0004
17.292	0.0004
17.298	0.0004
17.304	0.0004
17.31	0.0003
17.315	0.0003
17.321	0.0003
17.327	0.0003
17.333	0.0003
17.339	0.0003
17.344	0.0003
17.35	0.0003
17.356	0.0003
17.362	0.0003
17.368	0.0003
17.373	0.0003
17.379	0.0003
17.385	0.0003
17.391	0.0003
17.397	0.0002
17.402	0.0002
17.408	0.0002
17.414	0.0002
17.42	0.0002
17.426	0.0002
17.431	0.0002
17.437	0.0002
17.443	0.0002
17.449	0.0002
17.455	0.0002
17.46	0.0002
17.466	0.0003
17.472	0.0003
17.478	0.0003
17.484	0.0003
17.489	0.0003
17.495	0.0003
17.501	0.0003
17.507	0.0003
17.513	0.0003
17.518	0.0004
17.524	0.0004
17.53	0.0004
17.536	0.0004
17.542	0.0005
17.547	0.0005
17.553	0.0005
17.559	0.0006
17.565	0.0006
17.571	0.0007
17.576	0.0007
17.582	0.0008
17.588	0.0008
17.594	0.0008
17.6	0.0009
17.605	0.0009
17.611	0.001
17.617	0.001
17.623	0.0011
17.629	0.0011
17.634	0.0012
17.64	0.0012
17.646	0.0012
17.652	0.0013
17.658	0.0013
17.663	0.0013
17.669	0.0014
17.675	0.0014
17.681	0.0014
17.687	0.0014
17.692	0.0014
17.698	0.0015
17.704	0.0015
17.71	0.0015
17.716	0.0015
17.721	0.0015
17.727	0.0016
17.733	0.0016
17.739	0.0016
17.745	0.0016
17.75	0.0017
17.756	0.0017
17.762	0.0017
17.768	0.0017
17.774	0.0018
17.779	0.0018
17.785	0.0019
17.791	0.0019
17.797	0.002
17.803	0.002
17.808	0.0021
17.814	0.0022
17.82	0.0022
17.826	0.0023
17.832	0.0024
17.837	0.0025
17.843	0.0025
17.849	0.0026
17.855	0.0027
17.861	0.0028
17.866	0.003
17.872	0.0031
17.878	0.0032
17.884	0.0033
17.89	0.0034
17.895	0.0036
17.901	0.0037
17.907	0.0038
17.913	0.004
17.919	0.0041
17.924	0.0043
17.93	0.0044
17.936	0.0046
17.942	0.0047
17.948	0.0049
17.953	0.0051
17.959	0.0052
17.965	0.0054
17.971	0.0056
17.977	0.0058
