#LAM	FLX
0.938600	0.00996000
0.938800	0.0100300
0.939000	0.0102800
0.939200	0.0106000
0.939400	0.0107400
0.939600	0.0109600
0.939800	0.0111500
0.940000	0.0113200
0.940200	0.0114100
0.940400	0.0117000
0.940600	0.0120200
0.940800	0.0123000
0.941000	0.0125000
0.941200	0.0127100
0.941400	0.0128600
0.941600	0.0131400
0.941800	0.0134100
0.942000	0.0137900
0.942200	0.0140400
0.942400	0.0142400
0.942600	0.0145700
0.942800	0.0148800
0.943000	0.0151100
0.943200	0.0154600
0.943400	0.0158700
0.943600	0.0162400
0.943800	0.0164200
0.944000	0.0166900
0.944200	0.0170600
0.944400	0.0172900
0.944600	0.0176100
0.944800	0.0179400
0.945000	0.0183700
0.945200	0.0186600
0.945400	0.0190600
0.945600	0.0195300
0.945800	0.0198800
0.946000	0.0204200
0.946200	0.0209500
0.946400	0.0214200
0.946600	0.0217700
0.946800	0.0222300
0.947000	0.0227200
0.947200	0.0233200
0.947400	0.0238000
0.947600	0.0244300
0.947800	0.0249900
0.948000	0.0255700
0.948200	0.0261400
0.948400	0.0267200
0.948600	0.0273100
0.948800	0.0279400
0.949000	0.0284900
0.949200	0.0290700
0.949400	0.0297900
0.949600	0.0305600
0.949800	0.0313700
0.950000	0.0320400
0.950200	0.0328200
0.950400	0.0335500
0.950600	0.0344100
0.950800	0.0353100
0.951000	0.0361300
0.951200	0.0369300
0.951400	0.0378400
0.951600	0.0387300
0.951800	0.0397000
0.952000	0.0407400
0.952200	0.0418500
0.952400	0.0429400
0.952600	0.0439300
0.952800	0.0450000
0.953000	0.0461300
0.953200	0.0474200
0.953400	0.0487100
0.953600	0.0499900
0.953800	0.0513800
0.954000	0.0527300
0.954200	0.0542000
0.954400	0.0557100
0.954600	0.0572500
0.954800	0.0589000
0.955000	0.0605000
0.955200	0.0621600
0.955400	0.0639600
0.955600	0.0657800
0.955800	0.0677200
0.956000	0.0696000
0.956200	0.0715200
0.956400	0.0733200
0.956600	0.0752600
0.956800	0.0773500
0.957000	0.0794200
0.957200	0.0814700
0.957400	0.0836200
0.957600	0.0858600
0.957800	0.0880900
0.958000	0.0904700
0.958200	0.0929100
0.958400	0.0952900
0.958600	0.0978700
0.958800	0.100450
0.959000	0.103010
0.959200	0.105760
0.959400	0.108630
0.959600	0.111620
0.959800	0.114610
0.960000	0.117610
0.960200	0.120730
0.960400	0.124020
0.960600	0.127290
0.960800	0.130720
0.961000	0.134170
0.961200	0.137620
0.961400	0.141330
0.961600	0.145020
0.961800	0.148680
0.962000	0.152540
0.962200	0.156480
0.962400	0.160460
0.962600	0.164520
0.962800	0.168640
0.963000	0.172930
0.963200	0.177310
0.963400	0.181790
0.963600	0.186330
0.963800	0.190990
0.964000	0.195570
0.964200	0.200390
0.964400	0.205410
0.964600	0.210210
0.964800	0.215330
0.965000	0.220570
0.965200	0.225780
0.965400	0.231050
0.965600	0.236470
0.965800	0.241870
0.966000	0.247480
0.966200	0.253140
0.966400	0.258740
0.966600	0.264370
0.966800	0.270070
0.967000	0.275940
0.967200	0.281860
0.967400	0.287800
0.967600	0.293750
0.967800	0.299870
0.968000	0.305830
0.968200	0.311950
0.968400	0.318120
0.968600	0.324490
0.968800	0.330670
0.969000	0.336980
0.969200	0.343260
0.969400	0.349550
0.969600	0.355960
0.969800	0.362350
0.970000	0.368820
0.970200	0.375240
0.970400	0.381610
0.970600	0.388000
0.970800	0.394330
0.971000	0.400680
0.971200	0.407000
0.971400	0.413190
0.971600	0.419420
0.971800	0.425550
0.972000	0.431720
0.972200	0.437870
0.972400	0.443920
0.972600	0.449980
0.972800	0.455990
0.973000	0.461870
0.973200	0.467680
0.973400	0.473500
0.973600	0.479280
0.973800	0.484850
0.974000	0.490510
0.974200	0.496000
0.974400	0.501460
0.974600	0.506790
0.974800	0.512020
0.975000	0.517060
0.975200	0.522250
0.975400	0.527180
0.975600	0.532090
0.975800	0.536900
0.976000	0.541580
0.976200	0.546190
0.976400	0.550610
0.976600	0.554840
0.976800	0.559070
0.977000	0.563190
0.977200	0.566990
0.977400	0.570850
0.977600	0.574660
0.977800	0.578380
0.978000	0.581920
0.978200	0.585490
0.978400	0.588760
0.978600	0.591980
0.978800	0.595150
0.979000	0.598130
0.979200	0.601090
0.979400	0.603880
0.979600	0.606660
0.979800	0.609330
0.980000	0.611920
0.980200	0.614430
0.980400	0.616930
0.980600	0.619260
0.980800	0.621520
0.981000	0.623700
0.981200	0.625820
0.981400	0.627820
0.981600	0.629780
0.981800	0.631710
0.982000	0.633440
0.982200	0.635130
0.982400	0.636800
0.982600	0.638410
0.982800	0.639980
0.983000	0.641460
0.983200	0.642840
0.983400	0.644300
0.983600	0.645600
0.983800	0.646930
0.984000	0.648160
0.984200	0.649430
0.984400	0.650700
0.984600	0.651930
0.984800	0.653060
0.985000	0.654220
0.985200	0.655330
0.985400	0.656330
0.985600	0.657380
0.985800	0.658390
0.986000	0.659380
0.986200	0.660480
0.986400	0.661530
0.986600	0.662490
0.986800	0.663530
0.987000	0.664520
0.987200	0.665530
0.987400	0.666520
0.987600	0.667420
0.987800	0.668350
0.988000	0.669330
0.988200	0.670180
0.988400	0.671020
0.988600	0.672030
0.988800	0.672850
0.989000	0.673780
0.989200	0.674560
0.989400	0.675370
0.989600	0.676210
0.989800	0.677080
0.990000	0.677920
0.990200	0.678770
0.990400	0.679630
0.990600	0.680420
0.990800	0.681230
0.991000	0.682110
0.991200	0.682950
0.991400	0.683870
0.991600	0.684810
0.991800	0.685650
0.992000	0.686610
0.992200	0.687480
0.992400	0.688550
0.992600	0.689470
0.992800	0.690340
0.993000	0.691270
0.993200	0.692200
0.993400	0.692990
0.993600	0.693790
0.993800	0.694600
0.994000	0.695500
0.994200	0.696210
0.994400	0.697010
0.994600	0.697720
0.994800	0.698490
0.995000	0.699190
0.995200	0.699910
0.995400	0.700640
0.995600	0.701260
0.995800	0.701890
0.996000	0.702590
0.996200	0.703170
0.996400	0.703770
0.996600	0.704380
0.996800	0.704940
0.997000	0.705490
0.997200	0.705990
0.997400	0.706530
0.997600	0.707000
0.997800	0.707460
0.998000	0.707950
0.998200	0.708440
0.998400	0.708890
0.998600	0.709210
0.998800	0.709630
0.999000	0.710050
0.999200	0.710310
0.999400	0.710630
0.999600	0.711000
0.999800	0.711350
1.00000	0.711750
1.00020	0.712040
1.00040	0.712270
1.00060	0.712510
1.00080	0.712710
1.00100	0.712940
1.00120	0.713030
1.00140	0.713130
1.00160	0.713200
1.00180	0.713260
1.00200	0.713300
1.00220	0.713350
1.00240	0.713420
1.00260	0.713470
1.00280	0.713500
1.00300	0.713500
1.00320	0.713360
1.00340	0.713360
1.00360	0.713380
1.00380	0.713320
1.00400	0.713330
1.00420	0.713180
1.00440	0.713120
1.00460	0.713070
1.00480	0.713010
1.00500	0.713010
1.00520	0.712840
1.00540	0.712690
1.00560	0.712660
1.00580	0.712590
1.00600	0.712340
1.00620	0.712170
1.00640	0.712020
1.00660	0.711870
1.00680	0.711670
1.00700	0.711460
1.00720	0.711260
