#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	1179.6996175172267
6301.3125	1709.370303470968
6302.6252734375	1955.3800870250077
6303.938320369467	2011.7265047069106
6305.251640852877	2078.3014514750225
6306.565234944722	2043.6467254686377
6307.8791027020025	2023.1126120424653
6309.193244181732	2105.9246535130337
6310.5076594409375	2109.401916762684
6311.822348536654	2051.4844624338916
6313.137311525933	2119.949788173706
6314.452548465834	2208.519626655345
6315.768059413431	2188.383425578456
6317.083844425809	2187.3633374477204
6318.399903560065	2218.442521045217
6319.716236873307	2188.7284448755618
6321.032844422655	2158.680506988236
6322.349726265244	2154.635189556048
6323.666882458216	2113.707843089277
6324.984313058728	2119.4121744447334
6326.302018123949	2184.9044126302892
6327.619997711058	2179.37363129253
6328.938251877249	2176.6559703875378
6330.256780679723	2237.215909174454
6331.575584175699	2252.746512633346
6332.894662422402	2251.069265071824
6334.214015477073	2306.855514596243
6335.533643396964	2347.325814200704
6336.853546239339	2351.0824915265825
6338.173724061472	2345.857256732416
6339.494176920652	2357.5180593525724
6340.814904874177	2421.730451221193
6342.135907979359	2471.8821478721075
6343.457186293522	2493.804062496631
6344.778739874001	2549.363669953872
6346.100568778142	2572.4825746345587
6347.422673063304	2607.270226051388
6348.745052786858	2641.649034370555
6350.067708006189	2591.7005698918942
6351.39063877869	2578.66787628825
6352.713845161769	2522.6240425123606
6354.037327212845	2407.2399308671065
6355.3610849893485	2355.6258185772085
6356.685118548721	2257.037085962769
6358.009427948419	2185.184127892037
6359.334013245908	2197.9480499146616
6360.658874498668	2192.9041983629527
6361.984011764189	2237.3973544123482
6363.309425099973	2273.4790470818984
6364.635114563535	2254.4581865080563
6365.961080212403	2230.1558881879446
6367.2873221041145	2235.913111062794
6368.61384029622	2288.6214103716247
6369.940634846282	2288.76652375269
6371.267705811875	2243.6499058876907
6372.595053250586	2266.5612350050696
6373.922677220014	2352.532690413117
6375.250577777768	2382.939346666115
6376.578754981471	2306.1537230182
6377.907208888761	2258.738880247517
6379.235939557279	2263.614418819562
6380.564947044686	2228.601814100091
6381.894231408654	2160.300751393483
6383.223792706865	2086.9078066625148
6384.553630997012	2093.6207680426587
6385.883746336804	2195.86546135955
6387.2141387839565	2279.578040826769
6388.544808396204	2274.8173412723486
6389.875755231287	2236.202531973185
6391.20697934696	2157.1386627021466
6392.53848080099	2070.9425724681882
6393.870259651158	2216.7770661156733
6395.202315955253	2463.614093702332
6396.534649771077	2537.7022644279605
6397.867261156446	2519.779104352251
6399.2001501691875	2474.692114458152
6400.533316867139	2390.589019598525
6401.866761308153	2272.3644179838016
6403.200483550093	2310.073587153412
6404.534483650832	2624.9980349290577
6405.868761668259	2937.441149255267
6407.2033176602745	3046.670217551529
6408.5381516847865	3019.2081446684538
6409.873263799722	2961.3868565579523
6411.2086540630135	2938.29663036529
6412.544322532611	2925.055836206121
6413.880269266471	2842.484056486021
6415.216494322568	2803.5569842695945
6416.552997758886	2866.7852896408913
6417.8897796334195	2970.7406252907767
6419.226840004177	3044.226107047193
6420.5641789291785	3009.5432725592154
6421.9017964664545	2900.9052448911657
6423.239692674053	2821.6182000280137
6424.577867610025	2896.5326120706036
6425.9163213324455	2934.4361774805266
6427.25505389939	2883.5269268299116
6428.594065368952	2926.932579096054
6429.933355799238	2992.972278731903
6431.272925248362	3057.7352535068208
6432.612773774456	3109.3975839802097
6433.9529014356585	3129.4761263355927
6435.293308290125	3177.663149850668
6436.63399439602	3250.783383757931
6437.974959811519	3315.204235857442
6439.316204594813	3316.184999788115
6440.657728804104	3241.4239720175383
6441.999532497605	3294.8647336639406
6443.341615733541	3513.878817612947
6444.683978570154	3633.2218747714464
6446.026621065689	3676.7206978590652
6447.369543278411	3734.4447248867095
6448.7127452665945	3659.884259727261
6450.056227088525	3466.567143041955
6451.399988802502	3412.5442651739695
6452.744030466836	3479.0396526937243
6454.088352139851	3557.31444191289
6455.43295387988	3620.7824308818363
6456.777835745272	3624.911516005306
6458.122997794385	3624.6802450007704
6459.468440085592	3611.8777801248684
6460.814162677278	3628.335664164565
6462.160165627836	3690.957161904046
6463.506448995675	3606.6239324171884
6464.853012839217	3571.234259702367
6466.199857216891	3859.6300268484492
6467.546982187145	4067.7530615065243
6468.894387808435	4107.080318295375
6470.242074139227	4210.53726621084
6471.590041238007	4253.473776226509
6472.938289163264	4150.899002189399
6474.286817973508	4048.1718903660585
6475.6356277272525	4020.575888013701
6476.984718483029	3960.6362671247803
6478.334090299379	3915.4023402173516
6479.683743234858	3771.5360746263477
6481.033677348033	3443.7026701401333
6482.38389269748	3323.222417178335
6483.734389341793	3404.032858611126
6485.085167339573	3421.013006061249
6486.436226749436	3388.7247048338036
6487.787567630007	3412.967909532765
6489.139190039932	3498.717416699355
