#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	2639.5923937789908
6301.3125	3875.8826554868365
6302.6252734375	4500.582733012303
6303.938320369467	4754.234477466578
6305.251640852877	5171.332214185112
6306.565234944722	5314.309746880122
6307.8791027020025	5302.033998847766
6309.193244181732	5583.642671606545
6310.5076594409375	6013.70512327463
6311.822348536654	6295.877161406759
6313.137311525933	6414.687139653873
6314.452548465834	6459.413451602155
6315.768059413431	6399.148636422511
6317.083844425809	6443.626771591379
6318.399903560065	6547.496062118098
6319.716236873307	6545.565237720918
6321.032844422655	6716.276815415018
6322.349726265244	6589.527990864243
6323.666882458216	5943.842542723895
6324.984313058728	5547.648427439479
6326.302018123949	5547.478240273769
6327.619997711058	5719.566180748553
6328.938251877249	6110.43161133789
6330.256780679723	6511.896484590941
6331.575584175699	6576.022684947205
6332.894662422402	6473.385000902063
6334.214015477073	6656.662707003799
6335.533643396964	6813.322791209724
6336.853546239339	6828.862283177679
6338.173724061472	7116.261147220295
6339.494176920652	7688.1829621316765
6340.814904874177	8298.400978605378
6342.135907979359	8505.137460574166
6343.457186293522	8732.638674257025
6344.778739874001	9049.04601890422
6346.100568778142	8264.39225094306
6347.422673063304	7085.832106940147
6348.745052786858	6942.788222784135
6350.067708006189	7474.81546823501
6351.39063877869	7982.553498837376
6352.713845161769	7359.642607567902
6354.037327212845	6190.721300101574
6355.3610849893485	6027.796036646903
6356.685118548721	6004.586136623785
6358.009427948419	5780.786939443905
6359.334013245908	5810.075052403706
6360.658874498668	5940.363744819574
6361.984011764189	6058.194982562252
6363.309425099973	6154.503136373545
6364.635114563535	6471.780714841081
6365.961080212403	6910.652203096926
6367.2873221041145	7130.959005278695
6368.61384029622	7210.997911603612
6369.940634846282	7524.576926908325
6371.267705811875	7791.241542020558
6372.595053250586	7759.634124242254
6373.922677220014	7799.049456354099
6375.250577777768	8192.225480641382
6376.578754981471	8671.791706525517
6377.907208888761	9005.263690723019
6379.235939557279	8721.833600101792
6380.564947044686	7778.964992755081
6381.894231408654	7488.432679706315
6383.223792706865	7790.403214040358
6384.553630997012	7884.974902909519
6385.883746336804	7481.873009497983
6387.2141387839565	7024.914743851544
6388.544808396204	7159.924143730584
6389.875755231287	7500.018601972715
6391.20697934696	7702.486687867585
6392.53848080099	7716.090269000053
6393.870259651158	8119.302060616106
6395.202315955253	8972.513504897845
6396.534649771077	9462.733433576122
6397.867261156446	9621.276982096188
6399.2001501691875	9867.471112305675
6400.533316867139	10250.723763353004
6401.866761308153	10315.269011796705
6403.200483550093	10348.202600562314
6404.534483650832	11291.275951353067
6405.868761668259	12345.611518426187
6407.2033176602745	12936.79446211416
6408.5381516847865	13217.612209388755
6409.873263799722	13067.649220789559
6411.2086540630135	12970.738187682144
6412.544322532611	12579.729167251971
6413.880269266471	11564.589997950014
6415.216494322568	10962.460360735984
6416.552997758886	10893.058435900946
6417.8897796334195	11336.282632649829
6419.226840004177	11430.110979642202
6420.5641789291785	10282.091294274684
6421.9017964664545	9073.999930742246
6423.239692674053	8456.697074832922
6424.577867610025	8834.559850651556
6425.9163213324455	9554.723606197334
6427.25505389939	9967.472418339856
6428.594065368952	10364.471697341985
6429.933355799238	10619.903639037464
6431.272925248362	10662.72348348574
6432.612773774456	10869.782972702422
6433.9529014356585	11414.70602395101
6435.293308290125	12107.789829400372
6436.63399439602	13053.777983749509
6437.974959811519	13484.463787339319
6439.316204594813	13046.663537876275
6440.657728804104	12904.485831712513
6441.999532497605	13709.332982265327
6443.341615733541	14790.14724983648
6444.683978570154	15757.689509342423
6446.026621065689	16197.24406873694
6447.369543278411	15387.052242253565
6448.7127452665945	13991.087317753228
6450.056227088525	12879.623696367353
6451.399988802502	12836.575877638441
6452.744030466836	13449.39836016716
6454.088352139851	13779.003601097882
6455.43295387988	13885.041139162746
6456.777835745272	14133.116813318851
6458.122997794385	14682.673536173346
6459.468440085592	14731.709503117907
6460.814162677278	14385.826379042664
6462.160165627836	14680.865599099374
6463.506448995675	15021.862227256293
6464.853012839217	15348.441501011162
6466.199857216891	16599.354691173143
6467.546982187145	17507.397920033007
6468.894387808435	18066.16619183486
6470.242074139227	19366.824718920452
6471.590041238007	19896.01210363834
6472.938289163264	19094.407058004235
6474.286817973508	17581.992134149546
6475.6356277272525	14121.743795379936
6476.984718483029	11280.67210320081
6478.334090299379	11944.25568020498
6479.683743234858	12998.27364502076
6481.033677348033	11829.192634665225
6482.38389269748	9716.023628214152
6483.734389341793	8571.665343519766
6485.085167339573	8492.76409723046
6486.436226749436	8847.26209834721
6487.787567630007	9290.464217676765
6489.139190039932	9605.826733687458
6490.491094037857	9952.619618574709
6491.843279682447	10382.4037139978
6493.195747032382	10656.810115580649
6494.548496146348	11085.067314226932
6495.901527083045	10988.558912570012
6497.254839901187	9719.71019345568
6498.6084346595	8807.576403315481
6499.962311416722	8823.410622417992
6501.316470231601	8805.492845498771
6502.670911162898	9141.167304937395
6504.025634269391	9730.417528239073
6505.3806396098635	10135.51650528227
6506.735927243117	10770.16531425785
6508.091497227958	11020.971457294183
6509.447349623215	9809.984165857608
6510.80348448772	8779.962879810024
6512.159901880322	9474.329274517338
6513.51660185988	10162.889632474204
6514.873584485267	9820.596650984908
6516.23084981537	9367.442425782861
6517.58839790908	9336.706896737129
6518.946228825313	9689.382842379377
6520.304342622985	10124.460501959687
6521.662739361031	10321.997978861438
6523.021419098398	10657.30986626106
6524.380381894044	11350.188261388
6525.739627806938	12144.68788112584
6527.099156896065	12769.5112581298
6528.458969220418	12893.40724377186
6529.819064839006	12840.524424137337
6531.179443810848	13520.045011309794
6532.540106194976	14716.68345950535
6533.9010520504335	15143.423462029428
6535.262281436278	15420.093214031043
6536.6237944115765	16360.054961504924
6537.985591035413	16951.82440005369
6539.347671366879	16891.77458289059
6540.71003546508	17222.24443514423
6542.072683389135	17961.90361734231
6543.435615198176	17048.774912342073
6544.798830951341	14640.969598692265
6546.162330707791	13119.273238877202
6547.526114526688	13428.434463463234
6548.890182467215	14041.378624059365
6550.254534588562	13656.1175070044
6551.619170949934	12847.25718812813
6552.984091610549	12144.274184573454
6554.349296629635	11720.56381129301
6555.7147860664345	11708.986013336551
6557.080559980198	12389.343876110599
6558.446618430195	13327.667486832857
6559.8129614757	13841.946646572482
6561.1795891760075	14173.874242984966
6562.54650159042	13974.268617926424
6563.913698778251	12634.551879129449
6565.281180798831	11325.24717969936
6566.648947711497	11182.673100581049
6568.016999575604	11122.613863927447
6569.385336450516	10893.952574934441
6570.753958395609	11345.166725883551
6572.122865470276	12376.436376211057
6573.492057733915	13124.302178921067
6574.861535245943	13131.315506100467
6576.231298065786	13090.21280132051
6577.601346252884	13031.285014780806
6578.971679866686	12352.414172484361
6580.342298966659	11093.5262912479
6581.7132036122775	10427.908650645453
6583.08439386303	11251.350049078801
6584.455869778419	12469.626642943942
6585.827631417956	12951.830422019852
6587.199678841168	13215.831679730736
6588.572012107595	13788.050210660896
6589.944631276783	14736.630687046289
6591.3175364083	15306.60392831047
6592.690727561718	14437.5731962384
6594.064204796627	13020.461358564813
6595.437968172626	11861.389999100922
6596.812017749329	10975.191528020914
6598.18635358636	11505.76937652953
6599.5609757433585	12713.060299356062
6600.935884279972	12912.521458702877
6602.311079255864	12626.01001799089
6603.686560730708	12609.616105712868
6605.062328764195	12531.54445883661
6606.43838341602	12282.056500968456
6607.814724745898	12181.330817575921
6609.191352813554	11597.021113827606
6610.568267678725	10944.471750995956
6611.9454694011565	11067.732376533653
6613.322958040616	11406.972467610647
6614.700733656875	11447.425047786348
6616.07879630972	11184.861096697316
6617.457146058951	11163.050670301289
6618.835782964381	11482.1059642242
6620.214707085831	10973.945983928676
6621.593918483141	10194.353116223543
6622.973417216159	10109.272204458954
6624.353203344746	9979.443593050437
6625.733276928776	9775.82535641848
6627.113638028136	9315.731576888757
6628.494286702727	8642.96438813331
6629.8752230124555	8636.479628870104
6631.25644701725	9196.886382568864
6632.637958777046	9972.685303813902
6634.019758351792	10875.038753961913
6635.401845801448	11108.623096876336
6636.784221185991	9978.166623695819
6638.166884565405	8339.034405450675
6639.54983599969	7851.076615159877
6640.933075548856	8265.109292508527
6642.316603272929	8890.609508442476
6643.700419231944	9525.602172899964
6645.084523485952	9766.008351260924
6646.468916095012	9785.731923213929
6647.853597119198	9822.431978154898
6649.238566618597	9764.590924045393
6650.623824653309	9095.715687378342
6652.009371283446	7475.486852026089
6653.39520656913	5888.133772267014
6654.781330570499	5744.164654798859
6656.167743347702	6367.78272896625
6657.554444960899	6518.309159322302
6658.941435470266	6459.631387403509
6660.328714935989	6617.021336911288
6661.716283418268	6996.782186025865
6663.104140977314	7369.341816967299
6664.492287673351	7602.217638679126
6665.880723566617	7816.6532721276835
6667.269448717359	8351.361913172226
6668.658463185843	8927.972573267687
6670.04776703234	9058.841556257941
6671.437360317139	8998.44193093691
6672.827243100539	9050.24595053866
6674.21741544285	9417.531898038118
6675.607877404403	9677.07712645132
6676.998629045529	9263.554519835323
6678.389670426579	8807.959306433246
6679.781001607919	8439.56426034446
6681.17262264992	7421.8383549737655
6682.564533612973	5967.32757216986
6683.956734557476	4970.328747791996
6685.349225543842	4919.647717014437
6686.742006632498	5360.316403497353
6688.135077883879	5930.0067506794485
6689.528439358438	6603.3111136893085
6690.9220911166385	7109.412358789244
6692.316033218955	7067.110474948236
6693.710265725876	6510.724517595591
6695.104788697902	5970.195473990001
6696.4996021955485	6009.247527650309
6697.894706279339	6457.364956718688
6699.290101009814	6775.653770744051
6700.685786447524	7055.072065374244
6702.081762653035	7377.736592798827
6703.478029686921	7721.153255051452
6704.874587609773	7964.847898465621
6706.27143648219	8078.198033736212
6707.668576364793	8331.501556000978
6709.066007318201	8299.851919265222
6710.46372940306	8110.854945989333
6711.861742680019	8300.435069544279
6713.260047209744	8365.103652676606
6714.658643052912	7696.872423630717
6716.0575302702155	6410.324559562214
6717.4567089223565	5401.437198602085
6718.856179070049	4813.987006734647
6720.255940774021	4292.250858078311
6721.6559940950165	4245.357194518104
