#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	3217.6674823738017
6301.3125	4775.050100781836
6302.6252734375	5572.575302801243
6303.938320369467	5822.132226610789
6305.251640852877	6257.009782243465
6306.565234944722	6353.302566318611
6307.8791027020025	6346.781744007912
6309.193244181732	6818.84415228779
6310.5076594409375	7349.479565020873
6311.822348536654	7607.657220099735
6313.137311525933	7803.186883246766
6314.452548465834	7934.938955093508
6315.768059413431	7851.236866303158
6317.083844425809	7964.011366527206
6318.399903560065	8127.577039893217
6319.716236873307	8058.07095748801
6321.032844422655	8201.228597835743
6322.349726265244	8010.279139231797
6323.666882458216	7193.175955194159
6324.984313058728	6747.673876984952
6326.302018123949	6833.319496940735
6327.619997711058	6981.640350841615
6328.938251877249	7406.124303803616
6330.256780679723	7998.217920194649
6331.575584175699	8125.302803886835
6332.894662422402	8010.728262377464
6334.214015477073	8331.809294452998
6335.533643396964	8592.929140489485
6336.853546239339	8641.316932083273
6338.173724061472	9016.760470136542
6339.494176920652	9637.031952789728
6340.814904874177	10368.8692384929
6342.135907979359	10697.436867982768
6343.457186293522	11072.933105560798
6344.778739874001	11803.748018603379
6346.100568778142	10884.045566915354
6347.422673063304	9029.929017695995
6348.745052786858	8716.957238714069
6350.067708006189	9559.830155680967
6351.39063877869	10536.893048870123
6352.713845161769	9767.842508254962
6354.037327212845	7912.38489553675
6355.3610849893485	7485.0917886456955
6356.685118548721	7404.903752794959
6358.009427948419	7148.27646425286
6359.334013245908	7171.227338582034
6360.658874498668	7215.538707025271
6361.984011764189	7328.456012547181
6363.309425099973	7421.100921711424
6364.635114563535	7706.196200970313
6365.961080212403	8178.6431360318975
6367.2873221041145	8481.95901249298
6368.61384029622	8603.012175864766
6369.940634846282	8859.41296031208
6371.267705811875	9030.962604214781
6372.595053250586	8971.020076703213
6373.922677220014	9108.787149135014
6375.250577777768	9522.716611892503
6376.578754981471	9842.742493941518
6377.907208888761	10123.421004318423
6379.235939557279	9946.220292842765
6380.564947044686	9037.200333504048
6381.894231408654	8611.951565827025
6383.223792706865	8605.72228402569
6384.553630997012	8522.52117372528
6385.883746336804	8300.815435991151
6387.2141387839565	8097.308280590883
6388.544808396204	8301.723314928662
6389.875755231287	8642.191303684122
