#wavelength (Angstrom)	surface_flux (erg / (Angstrom cm2 s))
6300.0	1417.192593398259
6301.3125	2099.303931929896
6302.6252734375	2446.251224350023
6303.938320369467	2459.542963806454
6305.251640852877	2465.6211430413355
6306.565234944722	2480.7605234225275
6307.8791027020025	2498.2843410142536
6309.193244181732	2515.8990648199756
6310.5076594409375	2533.6852245931095
6311.822348536654	2553.384703933701
6313.137311525933	2578.5594745095163
6314.452548465834	2609.4684083793095
6315.768059413431	2642.551777368127
6317.083844425809	2675.810491753454
6318.399903560065	2708.8961687566216
6319.716236873307	2738.141495871436
6321.032844422655	2751.8972716563026
6322.349726265244	2744.174750468533
6323.666882458216	2725.2393178785755
6324.984313058728	2704.7324288511536
6326.302018123949	2684.2699226929044
6327.619997711058	2666.6719796617544
6328.938251877249	2665.8882872445383
6330.256780679723	2696.217672885459
6331.575584175699	2748.399329903229
6332.894662422402	2805.4468663375915
6334.214015477073	2862.618534789186
6335.533643396964	2918.474050809389
6336.853546239339	2962.2239132061736
6338.173724061472	2975.8043138018697
6339.494176920652	2961.5238307853388
6340.814904874177	2938.2580390463763
6342.135907979359	2914.482368562513
6343.457186293522	2890.844989840812
6344.778739874001	2869.419550519869
6346.100568778142	2855.581570436576
6347.422673063304	2850.998168385136
6348.745052786858	2850.6138718106245
6350.067708006189	2850.6914069758914
6351.39063877869	2850.702166729855
6352.713845161769	2848.3800936281414
6354.037327212845	2834.413650862751
6355.3610849893485	2801.446473025784
6356.685118548721	2756.7476471538835
6358.009427948419	2709.9057684519425
6359.334013245908	2663.0509507928195
6360.658874498668	2618.8258193965203
6361.984011764189	2594.0807273314717
6363.309425099973	2611.837558881492
6364.635114563535	2664.5407190833994
6365.961080212403	2726.968365994829
6367.2873221041145	2789.8122283087528
6368.61384029622	2852.4022214777906
6369.940634846282	2911.6466315475463
6371.267705811875	2960.8155805542942
6372.595053250586	2999.062278174104
6373.922677220014	3033.031578218748
6375.250577777768	3066.6584902247914
6376.578754981471	3100.158276992038
6377.907208888761	3130.6405971865975
6379.235939557279	3148.5341242868863
6380.564947044686	3148.4470162773864
6381.894231408654	3138.647667227106
6383.223792706865	3127.403109475449
6384.553630997012	3116.1580899511155
