Wave,Flux,Noise
0.45,0.912,-0.999
0.5,0.961,-0.999
0.55,1.0,-0.999
0.6,1.019,-0.999
0.65,1.034,-0.999
0.7,1.045,-0.999
0.75,1.034,-0.999
0.8,0.936,-0.999
0.85,0.823,-0.999
0.9,0.745,-0.999
0.95,0.697,-0.999
1.0,0.68,-0.999
1.05,0.689,-0.999
1.1,0.719,-0.999
1.15,0.769,-0.999
1.2,0.843,-0.999
1.25,0.939,-0.999
1.3,1.039,-0.999
1.35,1.109,-0.999
1.4,1.143,-0.999
1.45,1.153,-0.999
1.5,1.147,-0.999
1.55,1.134,-0.999
1.6,1.117,-0.999
1.65,1.095,-0.999
1.7,1.071,-0.999
1.75,1.046,-0.999
1.8,1.017,-0.999
1.85,0.988,-0.999
1.9,0.962,-0.999
1.95,0.938,-0.999
2.0,0.921,-0.999
2.05,0.919,-0.999
2.1,0.93,-0.999
2.15,0.944,-0.999
2.2,0.956,-0.999
2.25,0.965,-0.999
2.3,0.974,-0.999
2.35,0.991,-0.999
2.4,1.022,-0.999
2.45,1.061,-0.999
