Wave Flux Noise
0.45 0.815 -0.9990000000000001
0.5 0.904 -0.9990000000000001
0.55 1.0 -0.9990000000000001
0.6 1.072 -0.9990000000000001
0.65 1.149 -0.9990000000000001
0.7 1.214 -0.9990000000000001
0.75 1.212 -0.9990000000000001
0.8 1.102 -0.9990000000000001
0.85 0.978 -0.9990000000000001
0.9 0.907 -0.9990000000000001
0.95 0.9 -0.9990000000000001
1.0 0.9540000000000001 -0.9990000000000001
1.05 1.028 -0.9990000000000001
1.1 1.109 -0.9990000000000001
1.15 1.185 -0.9990000000000001
1.2 1.239 -0.9990000000000001
1.25 1.287 -0.9990000000000001
1.3 1.3459999999999999 -0.9990000000000001
1.35 1.4080000000000001 -0.9990000000000001
1.4 1.455 -0.9990000000000001
1.45 1.496 -0.9990000000000001
1.5 1.515 -0.9990000000000001
1.55 1.506 -0.9990000000000001
1.6 1.4709999999999999 -0.9990000000000001
1.65 1.43 -0.9990000000000001
1.7 1.383 -0.9990000000000001
1.75 1.341 -0.9990000000000001
1.8 1.3159999999999998 -0.9990000000000001
1.85 1.306 -0.9990000000000001
1.9 1.305 -0.9990000000000001
1.95 1.31 -0.9990000000000001
2.0 1.3259999999999998 -0.9990000000000001
2.05 1.3630000000000002 -0.9990000000000001
2.1 1.412 -0.9990000000000001
2.15 1.463 -0.9990000000000001
2.2 1.506 -0.9990000000000001
2.25 1.537 -0.9990000000000001
2.3 1.565 -0.9990000000000001
2.35 1.5930000000000002 -0.9990000000000001
2.4 1.621 -0.9990000000000001
2.45 1.645 -0.9990000000000001
