#LAM	TRANSMISSION
10.251	0.0001
10.257	0.0001
10.263	0.0001
10.268	0.0001
10.274	0.0001
10.28	0.0001
10.286	0.0001
10.292	0.0001
10.297	0.0001
10.303	0.0001
10.309	0.0001
10.315	0.0001
10.321	0.0001
10.326	0.0002
10.332	0.0002
10.338	0.0002
10.344	0.0002
10.35	0.0002
10.355	0.0002
10.361	0.0002
10.367	0.0002
10.373	0.0002
10.379	0.0002
10.384	0.0002
10.39	0.0003
10.396	0.0003
10.402	0.0003
10.408	0.0003
10.413	0.0003
10.419	0.0003
10.425	0.0003
10.431	0.0004
10.437	0.0004
10.442	0.0004
10.448	0.0004
10.454	0.0004
10.46	0.0004
10.466	0.0004
10.471	0.0005
10.477	0.0005
10.483	0.0005
10.489	0.0006
10.495	0.0006
10.5	0.0006
10.506	0.0007
10.512	0.0007
10.518	0.0008
10.524	0.0008
10.529	0.0009
10.535	0.001
10.541	0.001
10.547	0.0011
10.553	0.0012
10.558	0.0012
10.564	0.0013
10.57	0.0014
10.576	0.0015
10.582	0.0017
10.587	0.0018
10.593	0.0019
10.599	0.0021
10.605	0.0022
10.611	0.0024
10.616	0.0026
10.622	0.0028
10.628	0.003
10.634	0.0033
10.64	0.0035
10.645	0.0038
10.651	0.0041
10.657	0.0044
10.663	0.0048
10.669	0.0052
10.674	0.0056
10.68	0.0061
10.686	0.0066
10.692	0.0072
10.698	0.0077
10.703	0.0084
10.709	0.0091
10.715	0.0098
10.721	0.0106
10.727	0.0115
10.732	0.0124
10.738	0.0134
10.744	0.0145
10.75	0.0157
10.756	0.0168
10.761	0.0181
10.767	0.0196
10.773	0.0211
10.779	0.0226
10.785	0.0244
10.79	0.0263
10.796	0.0281
10.802	0.0302
10.808	0.0326
10.814	0.035
10.819	0.0375
10.825	0.0405
10.831	0.0436
10.837	0.0467
10.843	0.0501
10.848	0.054
10.854	0.0579
10.86	0.0618
10.866	0.0667
10.872	0.0715
10.877	0.0763
10.883	0.0818
10.889	0.0877
10.895	0.0936
10.901	0.0996
10.906	0.1067
10.912	0.1138
