#LAM	FLX
1.94200	0.00000
1.95700	0.0280000
1.97100	0.121000
1.97500	0.242000
1.98100	0.362000
1.98600	0.483000
1.98700	0.572000
1.99500	0.592000
1.99900	0.644000
2.00600	0.322000
2.01200	0.467000
2.01500	0.431000
2.02100	0.564000
2.02700	0.725000
2.03600	0.870000
2.06300	0.749000
2.08700	0.886000
2.10800	0.934000
2.12300	0.934000
2.13900	0.966000
2.15400	0.946000
2.19500	0.978000
2.20100	0.964000
2.21900	1.00000
2.22500	1.00000
2.26700	0.960000
2.27800	0.970000
2.29700	0.886000
2.30300	0.725000
2.31400	0.564000
2.32000	0.403000
2.32900	0.242000
2.35000	0.0810000
2.38100	0.0160000
2.42600	0.00000
