Wave,Flux,Noise
0.45,0.914,0.019
0.5,0.961,0.007
0.55,1.0,0.0
0.6,1.034,0.006
0.65,1.073,0.011
0.7,1.109,0.015
0.75,1.143,0.015
0.8,1.159,0.012
0.85,1.177,0.016
0.9,1.202,0.017
0.95,1.228,0.018
1.0,1.249,0.021
1.05,1.268,0.024
1.1,1.289,0.025
1.15,1.305,0.025
1.2,1.321,0.026
1.25,1.334,0.029
1.3,1.347,0.031
1.35,1.364,0.032
1.4,1.378,0.031
1.45,1.393,0.032
1.5,1.403,0.031
1.55,1.414,0.032
1.6,1.426,0.033
1.65,1.437,0.035
1.7,1.446,0.038
1.75,1.46,0.038
1.8,1.472,0.039
1.85,1.483,0.04
1.9,1.495,0.04
1.95,1.506,0.042
2.0,1.515,0.043
2.05,1.524,0.043
2.1,1.533,0.042
2.15,1.542,0.043
2.2,1.549,0.044
2.25,1.557,0.045
2.3,1.565,0.046
2.35,1.572,0.046
2.4,1.581,0.046
2.45,1.586,0.044
