mass,age,temperature,luminosity,radius,gravity,metallicity,chemistry,eos
0.0005,0.001,598.3182193,-5.44534603,0.17655689,2.64361673,0,eq,SVCH
0.0005,0.00126638,573.5817068,-5.54359364,0.17156841,2.66850978,0,eq,SVCH
0.0005,0.001603719,548.4725547,-5.6455699,0.16685346,2.69271568,0,eq,SVCH
0.0005,0.002030918,523.7765022,-5.74912343,0.16239988,2.7162152,0,eq,SVCH
0.0005,0.002571914,498.8309145,-5.85651383,0.15822252,2.738848,0,eq,SVCH
0.0005,0.003257021,476.0936868,-5.95951318,0.15426862,2.76082974,0,eq,SVCH
0.0005,0.004124626,453.0742103,-6.06683651,0.1505488,2.78203075,0,eq,SVCH
0.0005,0.005223345,432.4305989,-6.16847779,0.1470136,2.80266924,0,eq,SVCH
0.0005,0.006614741,411.6611679,-6.2740527,0.14365686,2.82273277,0,eq,SVCH
0.0005,0.008376776,393.7749937,-6.37078787,0.14045523,2.84230856,0,eq,SVCH
0.0005,0.010608184,379.3124676,-6.45568163,0.13727613,2.86219518,0,eq,SVCH
0.0005,0.013433993,364.1824981,-6.54637816,0.13415288,2.88218484,0,eq,SVCH
0.0005,0.017012543,349.0500284,-6.63993273,0.1311249,2.90201453,0,eq,SVCH
0.0005,0.021544347,337.6634597,-6.71743585,0.12815521,2.92191271,0,eq,SVCH
0.0005,0.027283334,325.2722724,-6.8026755,0.1251953,2.94220902,0,eq,SVCH
0.0005,0.034551073,311.7725655,-6.89666051,0.12229826,2.96254454,0,eq,SVCH
0.0005,0.043754794,297.913057,-6.99554565,0.11952786,2.98244622,0,eq,SVCH
0.0005,0.055410203,286.1122275,-7.08493534,0.11691885,3.00161579,0,eq,SVCH
0.0005,0.070170383,273.6883324,-7.18112303,0.11438277,3.02066353,0,eq,SVCH
0.0005,0.088862382,260.46959,-7.285721,0.11195755,3.03927774,0,eq,SVCH
0.0005,0.112533558,247.9427716,-7.38918389,0.10967923,3.05713631,0,eq,SVCH
0.0005,0.142510267,238.7486232,-7.47266532,0.10745056,3.07496689,0,eq,SVCH
0.0005,0.180472177,228.6248438,-7.56590485,0.10525295,3.09291639,0,eq,SVCH
0.0005,0.228546386,217.4100751,-7.67093518,0.10313445,3.11057735,0,eq,SVCH
0.0005,0.289426612,205.4478842,-7.78610106,0.10115094,3.12744459,0,eq,SVCH
0.001,0.001,865.4279935,-4.81854079,0.17365881,2.95902313,0,eq,SVCH
0.001,0.00126638,829.6960594,-4.9188196,0.16833265,2.98607805,0,eq,SVCH
0.001,0.001603719,791.8935927,-5.02588386,0.16336695,3.01208774,0,eq,SVCH
