RA,DEC
1.6802,-7.5374
2.2247,20.8403
2.9709,22.9847
4.2346,5.1239
4.594,44.0228
4.6062,44.0271
7.1645,-6.6634
7.8975,-5.8699
8.0656,54.4841
9.6412,51.4661
10.3366,55.8346
12.573,8.6261
15.7124,18.9484
17.8559,15.4393
17.9818,4.918
19.6674,-0.8743
20.5428,22.1509
21.4028,9.7568
25.7994,21.0196
25.938,-6.0445
30.0533,13.0531
30.5675,10.3371
30.5932,1.2619
31.1148,-1.8822
31.1451,12.8293
33.0703,11.5172
33.3359,36.8141
35.6701,30.9211
38.1185,53.2294
39.064,6.872
39.1132,55.4764
43.2535,16.8815
43.3588,17.409
43.8989,26.8725
44.7942,36.6112
44.8196,31.7735
46.1806,61.736
48.3458,4.7748
48.6967,11.4576
49.3008,45.3728
49.6775,60.6077
50.9132,5.6876
52.5971,34.6757
53.1491,28.7321
53.665,-4.8425
54.0362,31.3111
54.1702,3.4887
57.0245,40.5396
57.7533,14.2277
58.1737,17.0182
59.776,15.1804
60.2815,51.3888
61.0257,30.7126
63.245,52.6117
65.6333,10.5219
66.973,11.7819
67.6053,39.85
69.5105,-5.937
69.8467,33.5304
70.7325,18.9579
70.7328,21.4731
71.801,20.6364
71.8377,28.1481
72.0602,32.6153
72.1975,10.0507
73.0239,6.4766
73.6242,65.0781
73.8108,18.4824
73.9769,4.6712
74.7819,16.8652
74.994,-3.5534
75.4861,1.1453
75.4895,-6.9461
76.5539,4.6576
77.4687,55.1891
79.6856,46.4999
80.2926,55.7643
82.2354,12.5317
82.4695,32.0812
82.8639,-3.6766
83.5628,10.3192
85.1071,24.8025
86.5807,1.2131
90.8732,47.8043
91.8827,47.2074
93.51,51.6689
94.2944,5.1173
94.5163,43.952
94.8366,-6.656
95.5863,33.449
97.4595,-2.796
97.9614,41.4961
98.3004,5.4648
102.2726,37.1148
102.7478,-9.1807
103.0752,-5.19
104.1289,44.0324
105.8466,34.6975
105.9819,52.7021
107.5075,38.5294
109.3211,-5.0175
112.7554,46.0074
114.1047,7.0787
116.6751,57.4482
117.4257,-3.3427
119.7745,15.3915
122.1368,53.0771
122.6429,-13.8143
123.9747,31.6109
124.4638,31.1293
127.4562,26.7763
127.9067,19.3943
127.9067,19.3943
128.6078,-1.1442
129.2833,15.1299
129.3452,26.2068
130.0666,31.4519
130.2468,-23.4565
130.3339,59.4974
131.189,18.2187
133.1702,28.3164
134.5633,19.7631
134.5633,19.7631
134.7347,8.4739
135.1356,46.5866
135.2097,5.2415
137.3775,32.8192
139.0425,1.8858
142.2222,-7.3708
142.5602,26.507
149.9415,47.2032
150.2096,31.9294
152.3749,51.2888
152.8424,49.4543
153.0737,-3.7456
153.2511,23.3474
153.9746,17.4909
154.1231,3.3104
157.2315,0.841
159.005,5.1202
159.6385,35.497
159.7369,25.0945
159.9192,-6.9238
160.4087,37.611
162.44,35.5477
162.6083,33.1014
162.7167,6.8081
163.0184,13.9975
163.0593,5.9194
163.6749,-7.3091
163.8609,-2.8286
164.1203,7.0147
165.7852,15.2977
165.8343,35.9699
166.371,43.5266
166.4299,10.2359
167.3011,-4.6069
